x,y,z
423a2b,0d8223,46678a
16,48,78
16,48,79
16,48,80
16,49,77
16,49,78
16,49,79
16,49,80
16,50,77
16,50,78
16,50,79
16,50,80
16,51,78
16,51,79
17,48,78
17,48,79
17,48,80
17,49,77
17,49,78
17,49,79
17,49,80
17,50,77
17,50,78
17,50,79
17,50,80
17,51,78
17,51,79
17,51,80
18,48,78
18,48,79
18,49,77
18,49,78
18,49,79
18,49,80
18,50,78
18,50,79
18,50,80
18,51,78
18,51,79
20,24,144
20,43,127
20,43,128
20,43,129
21,6,37
21,24,143
21,24,144
21,25,144
21,42,127
21,42,128
21,43,127
21,43,128
21,43,129
22,5,37
22,6,37
22,6,38
22,24,143
22,24,144
22,25,144
22,42,127
22,42,128
22,43,127
22,43,128
22,43,129
23,5,37
23,6,37
23,6,38
23,6,145
23,7,148
23,24,144
23,42,127
23,42,128
23,43,127
23,43,128
23,43,129
24,6,37
24,6,143
24,6,144
24,6,145
24,6,146
24,6,147
24,7,110
24,7,111
24,7,112
24,7,143
24,7,144
24,7,145
24,7,146
24,7,147
24,7,148
24,8,110
24,8,111
24,8,112
24,8,113
24,9,110
24,9,111
24,9,112
24,9,113
24,10,111
24,10,112
25,5,145
25,6,142
25,6,143
25,6,144
25,6,145
25,6,146
25,6,147
25,6,148
25,7,111
25,7,112
25,7,113
25,7,143
25,7,144
25,7,145
25,7,146
25,7,147
25,7,148
25,8,110
25,8,111
25,8,112
25,8,113
25,9,110
25,9,111
25,9,112
25,10,111
25,10,112
26,7,111
26,8,111
26,8,112
26,9,111
29,4,144
29,5,143
29,5,144
29,5,145
29,6,143
29,6,144
29,6,145
29,7,144
29,7,145
33,0,22
33,0,23
33,0,24
34,0,23
36,4,127
36,4,128
36,4,129
36,5,126
36,5,127
36,5,128
36,5,129
36,6,126
36,6,127
36,6,128
36,6,129
36,7,127
36,7,128
36,7,129
37,4,127
37,4,128
37,5,127
37,5,128
37,5,129
37,6,127
37,6,128
37,6,129
37,7,127
37,7,128
37,7,129
38,6,129
40,48,78
40,48,79
40,48,80
40,49,78
40,49,79
40,49,80
40,49,81
40,50,78
40,50,79
40,50,80
40,50,81
40,51,78
40,51,79
40,51,80
41,6,151
41,7,151
41,48,78
41,48,79
41,48,80
41,48,81
41,49,78
41,49,79
41,49,80
41,49,81
41,50,78
41,50,79
41,50,80
41,50,81
41,51,78
41,51,79
41,51,80
41,51,81
42,5,118
42,5,150
42,5,151
42,5,152
42,6,117
42,6,118
42,6,119
42,6,120
42,6,121
42,6,122
42,6,123
42,6,127
42,6,128
42,6,129
42,6,130
42,6,131
42,6,132
42,6,133
42,6,134
42,6,135
42,6,147
42,6,148
42,6,149
42,6,150
42,6,151
42,6,152
42,6,153
42,7,117
42,7,118
42,7,119
42,7,120
42,7,121
42,7,122
42,7,123
42,7,124
42,7,125
42,7,127
42,7,128
42,7,129
42,7,130
42,7,131
42,7,132
42,7,133
42,7,134
42,7,135
42,7,147
42,7,148
42,7,149
42,7,150
42,7,151
42,7,152
42,7,153
42,8,118
42,8,119
42,8,120
42,8,121
42,8,122
42,8,123
42,8,132
42,8,133
42,8,134
42,8,148
42,8,149
42,8,150
42,8,151
42,8,152
42,8,153
42,48,78
42,48,79
42,48,80
42,49,78
42,49,79
42,49,80
42,49,81
42,50,78
42,50,79
42,50,80
42,50,81
42,51,78
42,51,79
42,51,80
42,51,148
42,51,167
42,51,168
42,51,169
42,52,130
42,52,148
42,52,168
42,52,169
43,5,118
43,5,119
43,5,120
43,5,121
43,5,131
43,5,132
43,5,133
43,5,147
43,5,148
43,5,149
43,5,150
43,5,151
43,5,152
43,6,117
43,6,118
43,6,119
43,6,120
43,6,121
43,6,122
43,6,123
43,6,124
43,6,125
43,6,126
43,6,128
43,6,129
43,6,130
43,6,131
43,6,132
43,6,133
43,6,134
43,6,135
43,6,136
43,6,137
43,6,138
43,6,145
43,6,146
43,6,147
43,6,148
43,6,149
43,6,150
43,6,151
43,6,152
43,6,153
43,6,154
43,7,117
43,7,118
43,7,119
43,7,120
43,7,121
43,7,122
43,7,123
43,7,124
43,7,125
43,7,126
43,7,127
43,7,128
43,7,129
43,7,130
43,7,131
43,7,132
43,7,133
43,7,134
43,7,135
43,7,136
43,7,137
43,7,145
43,7,146
43,7,147
43,7,148
43,7,149
43,7,150
43,7,151
43,7,152
43,7,153
43,8,118
43,8,119
43,8,120
43,8,121
43,8,122
43,8,123
43,8,124
43,8,125
43,8,126
43,8,129
43,8,130
43,8,131
43,8,132
43,8,133
43,8,134
43,8,145
43,8,146
43,8,147
43,8,148
43,8,149
43,8,150
