"Group1; Group1 (2), x","Group1 (1), x","Group1 (1), y","Group1 (2), y"
597d67,bf0cbf,f19d93,5c98c9
13495.0,5118.0,4.71026e-05,Group1
16500.0,5198.564,4.81951e-05,Group1
16500.0,5279.128,4.9282e-05,Group1
13950.0,5359.692,5.03621e-05,Group1
17450.0,5440.256,5.14339e-05,Group1
15250.0,5520.82,5.2496e-05,Group1
17710.0,5601.384,5.3547e-05,Group1
18920.0,5681.948,5.45856e-05,Group1
23875.0,5762.512,5.56104e-05,Group1
16430.0,5843.076,5.662e-05,Group1
16925.0,5923.64,5.76131e-05,Group1
20970.0,6004.204,5.85884e-05,Group1
21105.0,6084.768,5.95444e-05,Group1
24565.0,6165.332,6.048e-05,Group1
30760.0,6245.896,6.1394e-05,Group1
41315.0,6326.46,6.2285e-05,Group1
36880.0,6407.024,6.31519e-05,Group1
5151.0,6487.588,6.39936e-05,Group1
6295.0,6568.152,6.4809e-05,Group1
6575.0,6648.716,6.5597e-05,Group1
5572.0,6729.28,6.63567e-05,Group1
6377.0,6809.844,6.7087e-05,Group1
7957.0,6890.408,6.77871e-05,Group1
6229.0,6970.972,6.84562e-05,Group1
6692.0,7051.536,6.90934e-05,Group1
7609.0,7132.1,6.96982e-05,Group1
8558.0,7212.664,7.02697e-05,Group1
8921.0,7293.228,7.08075e-05,Group1
12964.0,7373.792,7.1311e-05,Group1
6479.0,7454.356,7.17797e-05,Group1
6855.0,7534.92,7.22134e-05,Group1
5399.0,7615.484,7.26116e-05,Group1
6529.0,7696.048,7.29741e-05,Group1
7129.0,7776.612,7.33008e-05,Group1
7295.0,7857.176,7.35916e-05,Group1
7295.0,7937.74,7.38463e-05,Group1
7895.0,8018.304,7.40652e-05,Group1
9095.0,8098.868,7.42482e-05,Group1
8845.0,8179.432,7.43956e-05,Group1
10295.0,8259.996,7.45076e-05,Group1
12945.0,8340.56,7.45845e-05,Group1
10345.0,8421.124,7.46266e-05,Group1
6785.0,8501.688,7.46345e-05,Group1
11048.0,8582.252,7.46087e-05,Group1
32250.0,8662.816,7.45496e-05,Group1
35550.0,8743.38,7.44579e-05,Group1
36000.0,8823.944,7.43342e-05,Group1
5195.0,8904.508,7.41794e-05,Group1
6095.0,8985.072,7.39941e-05,Group1
6795.0,9065.636,7.37792e-05,Group1
6695.0,9146.2,7.35355e-05,Group1
7395.0,9226.764,7.3264e-05,Group1
8845.0,9307.328,7.29656e-05,Group1
8495.0,9387.892,7.26413e-05,Group1
10595.0,9468.456,7.2292e-05,Group1
10245.0,9549.02,7.19188e-05,Group1
10795.0,9629.584,7.15228e-05,Group1
11245.0,9710.148,7.11051e-05,Group1
