"Group1; Group1 (2), x","Group2; Group2 (2), x","Group3; Group3 (2), x","Group1 (1), x","Group1 (1), y","Group2 (1), x","Group2 (1), y","Group3 (1), x","Group3 (1), y","Group1 (2), y","Group2 (2), y","Group3 (2), y"
1f0cb1,40987f,eb9227,bdab8c,e73b79,5ad589,0214e3,f9b657,1d8dd8,8befb9,cf81ce,31f9d7
13495.0,13468.8727737212,13523.2818949999,5118.0,4.71026e-05,362.1160187962,3.9549e-06,5086.5066217782,4.41653e-05,Group1,Group2,Group3
16500.0,13468.8727737212,13523.2818949999,5198.564,4.81951e-05,450.39637702,4.2023e-06,5160.6884411317,4.52188e-05,Group1,Group2,Group3
16500.0,18093.1115381901,17991.8049481066,5279.128,4.9282e-05,538.6767352437,4.4644e-06,5234.8702604852,4.62691e-05,Group1,Group2,Group3
13950.0,10100.3086218737,10181.9316757645,5359.692,5.03621e-05,626.9570934674,4.7417e-06,5309.0520798388,4.73151e-05,Group1,Group2,Group3
17450.0,15299.8012434898,16145.9467178774,5440.256,5.14339e-05,715.2374516911,5.035e-06,5383.2338991923,4.83556e-05,Group1,Group2,Group3
15250.0,13886.923882413,14558.6252651039,5520.82,5.2496e-05,803.5178099148,5.3448e-06,5457.4157185458,4.93893e-05,Group1,Group2,Group3
17710.0,15327.2789103066,15018.0688269055,5601.384,5.3547e-05,891.7981681385,5.6719e-06,5531.5975378994,5.04151e-05,Group1,Group2,Group3
18920.0,15797.4244683728,15460.9727626003,5681.948,5.45856e-05,980.0785263622,6.0168e-06,5605.7793572529,5.14319e-05,Group1,Group2,Group3
23875.0,16436.5559928736,19240.9159771355,5762.512,5.56104e-05,1068.358884586,6.3801e-06,5679.9611766064,5.24384e-05,Group1,Group2,Group3
16430.0,10192.4294422385,10193.4039769894,5843.076,5.662e-05,1156.6392428097,6.7625e-06,5754.14299596,5.34336e-05,Group1,Group2,Group3
16925.0,10192.4294422385,10193.4039769894,5923.64,5.76131e-05,1244.9196010334,7.1645e-06,5828.3248153135,5.44162e-05,Group1,Group2,Group3
20970.0,18168.4150580798,16699.6386213874,6004.204,5.85884e-05,1333.1999592571,7.5866e-06,5902.506634667,5.53853e-05,Group1,Group2,Group3
21105.0,18403.4878371129,16689.6204456633,6084.768,5.95444e-05,1421.4803174808,8.0295e-06,5976.6884540206,5.63395e-05,Group1,Group2,Group3
24565.0,19578.9904902112,18762.6662010782,6165.332,6.048e-05,1509.7606757045,8.4936e-06,6050.8702733741,5.7278e-05,Group1,Group2,Group3
30760.0,26703.5533940836,27070.104028309,6245.896,6.1394e-05,1598.0410339283,8.9793e-06,6125.0520927276,5.81996e-05,Group1,Group2,Group3
41315.0,27344.6609732647,26278.2532418429,6326.46,6.2285e-05,1686.321392152,9.4872e-06,6199.2339120812,5.91032e-05,Group1,Group2,Group3
36880.0,27836.2692892589,28572.1809474064,6407.024,6.31519e-05,1774.6017503757,1.00175e-05,6273.4157314347,5.9988e-05,Group1,Group2,Group3
5151.0,362.1160187962,5086.5066217782,6487.588,6.39936e-05,1862.8821085994,1.05706e-05,6347.5975507882,6.08529e-05,Group1,Group2,Group3
6295.0,5526.9472388368,6097.8479766064,6568.152,6.4809e-05,1951.1624668231,1.11469e-05,6421.7793701418,6.1697e-05,Group1,Group2,Group3
6575.0,5676.5390073124,6037.3621191077,6648.716,6.5597e-05,2039.4428250468,1.17464e-05,6495.9611894953,6.25194e-05,Group1,Group2,Group3
5572.0,5444.0572024121,6373.8868638478,6729.28,6.63567e-05,2127.7231832706,1.23695e-05,6570.1430088488,6.33193e-05,Group1,Group2,Group3
6377.0,5380.085202427,6372.9072921242,6809.844,6.7087e-05,2216.0035414943,1.30162e-05,6644.3248282024,6.40957e-05,Group1,Group2,Group3
7957.0,7996.4266049198,9755.9462613762,6890.408,6.77871e-05,2304.283899718,1.36866e-05,6718.5066475559,6.4848e-05,Group1,Group2,Group3
6229.0,5769.0238004636,6329.8052308923,6970.972,6.84562e-05,2392.5642579417,1.43806e-05,6792.6884669094,6.55753e-05,Group1,Group2,Group3
6692.0,5863.0529120768,6334.1956471954,7051.536,6.90934e-05,2480.8446161654,1.50983e-05,6866.870286263,6.6277e-05,Group1,Group2,Group3
7609.0,5863.0529120768,6334.1956471954,7132.1,6.96982e-05,2569.1249743891,1.58393e-05,6941.0521056165,6.69524e-05,Group1,Group2,Group3
8558.0,8265.6917881758,9503.0677655779,7212.664,7.02697e-05,2657.4053326129,1.66036e-05,7015.23392497,6.7601e-05,Group1,Group2,Group3
8921.0,12035.755203612,10827.3657767461,7293.228,7.08075e-05,2745.6856908366,1.73907e-05,7089.4157443236,6.8222e-05,Group1,Group2,Group3
12964.0,18219.8394792056,19817.5085475976,7373.792,7.1311e-05,2833.9660490603,1.82004e-05,7163.5975636771,6.88151e-05,Group1,Group2,Group3
6479.0,5000.7583618759,5496.8575001748,7454.356,7.17797e-05,2922.246407284,1.90321e-05,7237.7793830306,6.93797e-05,Group1,Group2,Group3
6855.0,5551.7349553228,6996.6529537632,7534.92,7.22134e-05,3010.5267655077,1.98853e-05,7311.9612023842,6.99154e-05,Group1,Group2,Group3
5399.0,3892.9272252306,5562.3118047314,7615.484,7.26116e-05,3098.8071237314,2.07594e-05,7386.1430217377,7.04219e-05,Group1,Group2,Group3
6529.0,5983.5990692154,6747.2963032749,7696.048,7.29741e-05,3187.0874819552,2.16537e-05,7460.3248410912,7.08987e-05,Group1,Group2,Group3
7129.0,6051.9838776614,6723.9862931751,7776.612,7.33008e-05,3275.3678401789,2.25674e-05,7534.5066604448,7.13456e-05,Group1,Group2,Group3
7295.0,6282.7826061666,6667.8348910292,7857.176,7.35916e-05,3363.6481984026,2.34997e-05,7608.6884797983,7.17624e-05,Group1,Group2,Group3
7295.0,6342.6193135568,6658.9487940728,7937.74,7.38463e-05,3451.9285566263,2.44497e-05,7682.8702991518,7.21489e-05,Group1,Group2,Group3
7895.0,9452.3354601325,8863.7393723177,8018.304,7.40652e-05,3540.20891485,2.54163e-05,7757.0521185054,7.2505e-05,Group1,Group2,Group3
9095.0,9678.8601381099,8888.9626503709,8098.868,7.42482e-05,3628.4892730737,2.63984e-05,7831.2339378589,7.28304e-05,Group1,Group2,Group3
