x,y
f9cda9,9f6f36
0,0
3583,0
9637,2528
11304,2496
12096,2496
14652,2496
15074,2496
15216,2496
15519,2496
16401,2496
16914,2496
18672,2496
19185,2496
22822,2496
24976,2528
26148,2496
26657,2496
27942,2496
28450,2496
28987,2496
29645,2463
29656,2463
29710,2463
29714,2463
29719,2463
29730,2463
30014,2463
30019,2463
30364,2463
30369,2463
30391,2463
30398,2463
30401,2463
30405,2431
30407,2431
30411,2431
30411,2431
30418,2431
33596,1984
35647,1984
35787,1984
36147,1984
36249,1984
36643,1984
36839,1984
37344,1984
37758,1984
39086,1984
40015,1984
40307,1984
41237,1984
41301,1984
41305,1984
41470,2016
42418,2016
42571,2016
42656,2016
42738,2016
43414,2016
43521,2016
44569,2016
44699,2016
45369,2015
45373,2015
45693,2015
45899,2015
46105,2015
47418,2015
47712,2015
54422,2016
78943,1984
79084,1984
79212,1984
89447,1984
92340,1984
93689,2432
93883,2432
96554,2432
96555,2400
96882,2400
96930,2400
99942,2400
104800,2400
105357,2496
105803,2464
108100,2432
108293,2432
108527,2432
110147,2432
115941,2432
272250,2528
272254,2528
272371,2528
272375,2528
272533,2048
272545,2048
272718,2048
272723,2048
272807,2048
272811,2048
272815,2048
272819,2048
272929,2048
272933,2048
273666,2048
273676,2048
274326,2048
274334,2048
274355,2048
274363,2048
275361,2048
275365,2048
275821,2048
275827,2048
278264,2559
278268,2559
278385,2528
278389,2528
278474,2527
278479,2527
278560,2496
278564,2496
278625,2496
278628,2496
278677,2496
278681,2496
278719,2496
278724,2496
278823,2496
278827,2496
279179,2496
279185,2496
279579,2496
279587,2496
279725,2304
279735,2304
280082,2303
280091,2303
280134,2048
280145,2048
280308,2048
280319,2048
280349,2048
280360,2048
281001,2048
281011,2048
281058,2048
281068,2048
281170,2048
281180,2048
281938,2048
281944,2048
282038,2048
282048,2048
282161,2048
282166,2048
282263,2048
282269,2048
282301,2048
282311,2048
282430,2048
282440,2048
282701,2048
282705,2048
282857,2048
283035,2047
283039,2047
283046,2047
283138,2047
283142,2047
283938,2047
283942,2047
284093,2047
284097,2047
284130,2047
284134,2047
284226,2047
284230,2047
284322,2047
284331,2047
284945,2047
284951,2047
284998,2047
285184,2047
285193,2047
285285,2047
285291,2047
285313,2047
285319,2047
285365,2047
285374,2047
285385,2047
285394,2047
285429,2047
285436,2047
285542,2047
285552,2047
285599,2047
286054,2047
286087,2047
286097,2047
286250,2047
287289,2047
287290,2043
287291,1787
287291,1531
287292,1275
287297,763
287303,251
287331,251
287654,251
287684,251
287698,251
287814,251
287815,251
287816,0
287908,0
287913,0
287918,0
287926,0
287926,0
287929,0
287932,0
287942,0
287943,0
287945,0
288503,0
288503,0
288506,0
288617,0
288621,0
288631,0
288632,0
288634,0
289129,0
289280,0
289288,0
289993,0
290011,0
290019,0
290157,0
290158,0
290159,0
290160,0
290161,0
290162,0
290173,0
290175,0
294297,0
294327,0
294694,0
294704,0
294713,0
294868,0
294878,0
294949,0
294950,0
294982,0
294983,0
294984,0
294985,0
294986,0
295007,0
295013,0
295054,0
295060,0
295104,0
295113,0
295161,0
295167,0
295471,0
295477,0
295498,0
295507,0
295548,0
295558,0
295603,0
295613,0
295654,0
295665,0
295698,0
295709,0
295758,0
295768,0
295945,0
295955,0
296081,0
296091,0
296308,0
296314,0
296386,0
296395,0
296444,0
296453,0
296500,0
296514,0
296622,0
296628,0
296964,0
296971,0
296975,0
296981,0
305907,2496
306360,2496
318357,2496
318810,2496
323630,2496
324083,2496
324367,2496
324819,2496
354583,2559
354590,2559
354844,2559
354850,2559
355003,2544
355012,2544
355236,2496
355246,2496
355752,2496
355758,2496
355965,2496
355971,2496
367046,2530
367055,2530
367491,2530
368342,2470
368446,2469
368560,2459
369118,2458
369125,2458
369146,2429
369195,2229
369317,1729
369357,1329
369619,1269
369671,1253
369682,1253
369805,1237
369817,1237
370052,1205
370065,1205
371234,1205
371290,1179
371324,1119
371417,619
371545,119
371756,118
371790,108
371861,78
371895,78
374250,48
375799,48
380006,78
381015,78
381042,78
381046,78
381239,78
381404,78
381405,78
381418,78
381445,78
381654,78
381665,78
381683,78
381772,78
381810,78
381845,78
382098,78
382200,78
382243,78
382258,78
382383,78
382415,78
382614,78
382631,78
382644,78
382657,78
382669,78
382671,78
382733,78
382966,78
383466,78
383495,78
383624,276
383663,276
383675,276
383696,276
383751,276
383764,276
383789,276
383857,276
389562,276
438138,2528
438207,2528
438895,2528
438904,2528
439201,2528
440576,2528
440607,2528
440616,2528
441410,2528
441420,2528
441787,2528
443062,2544
443070,2544
443125,2544
443253,2544
443312,2544
443350,2544
443909,2544
444540,2544
445031,2520
445871,2488
445913,2488
446498,2488
447484,2488
447492,2488
448972,2488
448980,2488
449237,2488
449245,2488
449666,2520
449678,2520
449873,2520
449881,2520
450223,2520
450232,2520
450557,2520
450568,2520
451101,2520
451113,2520
451606,2040
451607,1528
451608,1016
451610,504
451611,504
451975,504
451977,504
451978,504
451979,504
451980,504
452001,472
452012,472
452194,472
452207,472
453755,472
453828,472
453858,472
454598,472
454626,408
454713,376
454722,376
455141,376
455483,376
455491,376
455569,216
455586,216
455594,216
455671,216
455737,216
455739,216
455741,216
455743,216
455745,216
455747,216
455749,216
455751,216
455753,216
455755,216
455757,216
455758,216
455759,216
455761,216
455763,216
455765,216
455767,216
455881,216
455915,216
455918,216
455920,216
455922,216
455925,216
455927,216
455929,216
455931,216
455933,216
455935,216
455937,216
455939,216
455942,216
455944,216
455946,216
455948,216
455950,216
455952,216
455954,216
455956,216
455958,216
455960,216
455963,216
455965,216
456132,216
456135,216
456148,216
456203,216
456660,216
457032,216
457038,216
457045,216
457129,216
457148,216
457340,216
457433,216
457513,216
457859,216
457884,184
457890,184
458551,184
459075,184
459194,184
459213,168
459221,168
459223,168
459557,168
459623,168
459728,168
459772,168
459826,168
459839,168
459890,168
459998,168
460067,168
460112,120
460433,116
460448,116
460480,116
460736,116
460838,116
460866,116
460895,116
461269,116
461530,116
461913,116
462644,116
462893,116
463083,116
463278,116
463314,116
463320,116
463559,116
465518,0
465682,0
465886,0
466648,0
466677,0
466689,0
467377,0
467386,0
467395,0
467630,0
467741,0
468261,0
468538,0
468795,0
468899,0
469926,0
470075,0
470078,0
471011,0
471014,0
471700,0
471705,0
472769,0
472775,0
472949,0
473123,0
473407,0
473416,0
474077,0
474126,0
474196,0
474292,0
474296,0
474572,0
475344,0
476347,0
480855,0
481699,0
482168,0
485470,0
486112,0
486141,0
486151,0
487982,0
488026,0
488032,0
494436,0
494868,0
495119,0
496323,0
496555,0
496711,0
496717,0
496717,0
496717,0
496721,0
496723,0
496723,0
496723,0
496729,0
496729,0
496729,0
496730,0
496732,0
496734,0
496951,0
496973,0
496976,0
496985,0
496987,0
497126,0
497245,0
497265,0
497296,0
497316,0
497431,0
497681,0
498158,0
498567,0
498672,0
498842,0
498855,0
498871,0
499236,0
499253,0
499259,0
499284,0
499362,0
499467,0
499704,0
499837,0
500073,0
500407,0
500943,0
501603,0
502012,13
503600,78
505715,78
505719,78
508190,78
508763,78
509408,78
514093,78
516042,78
516966,617
517035,617
518316,617
518330,617
518333,617
521081,617
521554,626
527279,626
527325,626
527326,626
535884,626
539915,759
539919,758
539920,757
540515,757
540912,757
541775,757
542382,735
542609,735
543744,735
543752,735
544061,735
544661,735
545604,735
546204,735
546298,743
546422,743
547253,743
547259,743
548049,757
550310,753
550319,753
550991,753
550997,753
551399,753
552141,753
552143,753
552145,753
552433,753
552458,753
552463,739
552474,739
552567,739
552684,739
552741,739
553663,732
553667,731
553800,731
553999,731
554326,731
554435,731
556191,731
556211,730
556220,730
556627,730
556633,730
557380,730
557793,729
557803,729
557806,729
557876,729
558264,729
558685,725
558696,725
559023,713
559033,713
560124,713
560209,713
560268,713
560361,696
560369,696
562328,696
562342,696
562351,696
562354,696
563632,696
563664,696
563730,696
564375,728
564448,728
566818,728
567764,858
567967,858
568567,858
570770,852
570781,852
571370,827
577380,827
577387,827
577438,827
577552,827
578366,827
578372,827
578986,827
579872,827
582367,928
582669,928
582670,928
582676,928
582697,928
582708,928
582710,928
582904,928
583346,928
583458,928
583661,928
583663,928
583684,928
583862,928
583872,928
584214,928
584814,928
584820,928
586416,1120
586421,1120
587157,1120
587312,1120
589288,1120
589394,1120
589744,1120
590129,1120
590478,1120
590486,1120
590854,1120
590915,1120
591242,1120
592611,1120
596195,1120
599932,1759
608024,1759
618699,1759
618868,1760
623620,1766
623620,1765
623671,1764
624329,1763
624492,1763
628642,1763
638160,1763
638192,1763
639129,1763
639143,1763
639294,1763
639344,1763
639977,1765
639983,1765
640230,1765
642261,1767
642296,1767
643211,1884
643909,1883
643939,1879
644289,1875
644300,1875
644643,1875
644651,1875
644806,1875
644817,1875
644882,1875
645108,1875
645119,1875
645772,1875
645778,1875
645935,1875
646115,1875
646121,1875
646666,1875
646672,1875
647581,1873
647691,1872
647740,1872
648211,1872
653477,1880
653526,1880
654682,1866
655116,1859
655128,1859
655628,1859
655629,1859
655639,1859
656249,1859
656286,1859
657804,1859
657811,1859
658389,1859
658395,1859
658758,1862
658765,1862
659234,1885
659334,1888
659383,1888
660049,1882
660058,1882
660070,1882
660076,1882
660236,1882
660247,1882
660400,1882
660626,1881
660733,1880
660739,1880
660849,1880
660921,1880
661092,1880
661193,1880
661195,1880
661312,1879
661314,1875
661437,1875
661622,1875
661664,1874
661672,1874
661756,1873
662222,1872
662446,1871
662474,1871
663169,1848
663867,1848
663906,1848
664121,1848
664816,1848
665514,1848
665546,1848
667204,1848
667485,1848
670414,1849
671927,1853
671986,1852
681219,1852
681754,1852
682697,1852
682800,1852
683270,1852
685358,1852
686321,1833
686323,1801
686325,1769
686326,1737
686329,1705
686330,1673
686332,1641
686334,1609
686336,1577
686337,1545
686339,1513
686341,1513
686341,1513
686343,1481
686344,1449
686346,1417
686348,1385
686374,1353
686376,1321
686378,1289
686379,1257
686381,1225
686383,1193
686385,1161
686386,1129
686388,1097
686390,1065
686392,1033
686394,1001
686396,969
686398,937
686400,905
686401,873
686411,873
686467,873
686846,873
687726,873
688384,873
692021,873
696215,937
696501,921
696983,921
697736,921
697945,920
698385,919
698399,895
698554,894
701129,893
701135,893
701509,893
701515,893
701665,862
701802,861
701808,861
701973,861
702118,861
702129,861
702135,861
702258,861
702264,861
702971,861
704011,861
704069,861
704172,845
704226,845
704347,845
704406,845
704510,845
704859,845
707578,845
707634,845
707657,845
707884,846
708128,889
708664,889
708838,874
708848,874
708963,874
709075,874
709971,874
710183,874
710194,874
710252,874
711801,874
712255,874
712396,874
713713,891
714475,987
714487,987
714753,985
714764,985
714836,985
714913,985
714932,985
715080,984
715091,984
715139,984
715418,984
715710,984
716922,984
716932,984
717062,984
717068,984
717405,984
717486,984
717492,984
717622,984
717628,984
717820,984
719364,984
721147,989
721403,990
722041,990
723115,990
723141,990
723412,990
723418,990
723854,990
723861,990
724428,990
724436,990
724580,990
724586,990
724620,990
724932,990
724935,990
724936,990
724938,990
725005,990
725663,990
726332,990
726334,990
726342,990
726365,990
726385,990
726888,990
726894,990
727174,990
727270,990
727322,990
727330,990
727495,990
727594,990
727805,990
727827,990
727937,990
728137,990
728798,990
729258,991
729265,991
729565,991
729710,991
729716,991
730303,991
730759,989
730767,989
730779,989
731061,989
731091,989
733992,989
733999,989
734127,989
734543,1004
734556,1004
734783,1004
734790,1004
735040,1004
735052,1004
735126,1004
735504,1004
735506,1004
735839,1004
735879,1003
735889,1003
737285,1003
737298,1003
738173,1003
738192,1003
738478,1003
738499,1003
739237,1003
739243,1003
739927,1003
739956,1003
739965,1003
739965,1003
741155,1004
741487,1004
743146,1004
743152,1004
744019,1125
744029,1125
744455,1125
744461,1125
744513,1125
744524,1125
744557,1125
744578,1125
744720,1125
745441,1139
745450,1139
745452,1139
745605,1139
745611,1139
746279,1139
746285,1139
746650,1139
746656,1139
747268,1139
748061,1139
748093,1139
748134,1139
748138,1139
749497,1146
749515,1146
750351,1146
750370,1146
750573,1146
750584,1146
751072,1146
752323,1146
752678,1275
752685,1275
752697,1275
752940,1275
752952,1275
