"Interval: 13600s, x; Interval: 3600s, x","Interval: 13600s, y","Interval: 3600s, y"
90adb4,3a1569,053366
0,0,0
3583,0,0
9637,0,2528
11304,0,2496
12096,0,2496
14652,0,2496
15074,2496,2496
15216,2496,2496
15519,2496,2496
16401,2496,2496
16914,2496,2496
18672,2496,2496
19185,2496,2496
22822,2496,2496
24976,2496,2528
26148,2496,2496
26657,2496,2496
27942,2496,2496
28450,2496,2496
28987,2496,2496
29645,2463,2463
29656,2463,2463
29710,2463,2463
29714,2463,2463
29719,2463,2463
29730,2463,2463
30014,2463,2463
30019,2463,2463
30364,2463,2463
30369,2463,2463
30391,2463,2463
30398,2463,2463
30401,2463,2463
30405,2431,2431
30407,2431,2431
30411,2431,2431
30411,2431,2431
30418,2431,2431
33596,1984,1984
35647,1984,1984
35787,1984,1984
36147,1984,1984
36249,1984,1984
36643,1984,1984
36839,1984,1984
37344,1984,1984
37758,1984,1984
39086,1984,1984
40015,1984,1984
40307,1984,1984
41237,1984,1984
41301,1984,1984
41305,1984,1984
41470,1984,2016
42418,1984,2016
42571,1984,2016
42656,1984,2016
42738,1984,2016
43414,1984,2016
43521,1984,2016
44569,1984,2016
44699,1984,2016
45369,1984,2015
45373,1984,2015
45693,1984,2015
45899,1984,2015
46105,1984,2015
47418,1984,2015
47712,1984,2015
54422,2015,2016
78943,1984,1984
79084,1984,1984
79212,1984,1984
89447,1984,1984
92340,1984,1984
93689,1984,2432
93883,1984,2432
96554,1984,2432
96555,1984,2400
96882,1984,2400
96930,1984,2400
99942,1984,2400
104800,1984,2400
105357,2400,2496
105803,2400,2464
108100,2400,2432
108293,2400,2432
108527,2400,2432
110147,2400,2432
115941,2400,2432
272250,2528,2528
272254,2528,2528
272371,2528,2528
272375,2528,2528
272533,2048,2048
272545,2048,2048
272718,2048,2048
272723,2048,2048
272807,2048,2048
272811,2048,2048
272815,2048,2048
272819,2048,2048
272929,2048,2048
272933,2048,2048
273666,2048,2048
273676,2048,2048
274326,2048,2048
274334,2048,2048
274355,2048,2048
274363,2048,2048
275361,2048,2048
275365,2048,2048
275821,2048,2048
275827,2048,2048
278264,2048,2559
278268,2048,2559
278385,2048,2528
278389,2048,2528
278474,2048,2527
278479,2048,2527
278560,2048,2496
278564,2048,2496
278625,2048,2496
278628,2048,2496
278677,2048,2496
278681,2048,2496
278719,2048,2496
278724,2048,2496
278823,2048,2496
278827,2048,2496
279179,2048,2496
279185,2048,2496
279579,2048,2496
279587,2048,2496
279725,2048,2304
279735,2048,2304
280082,2048,2303
280091,2048,2303
280134,2048,2048
280145,2048,2048
280308,2048,2048
280319,2048,2048
280349,2048,2048
280360,2048,2048
281001,2048,2048
281011,2048,2048
281058,2048,2048
281068,2048,2048
281170,2048,2048
281180,2048,2048
281938,2048,2048
281944,2048,2048
282038,2048,2048
282048,2048,2048
282161,2048,2048
282166,2048,2048
282263,2048,2048
282269,2048,2048
282301,2048,2048
282311,2048,2048
282430,2048,2048
282440,2048,2048
282701,2048,2048
282705,2048,2048
282857,2048,2048
283035,2047,2047
283039,2047,2047
283046,2047,2047
283138,2047,2047
283142,2047,2047
283938,2047,2047
283942,2047,2047
284093,2047,2047
284097,2047,2047
284130,2047,2047
284134,2047,2047
284226,2047,2047
284230,2047,2047
284322,2047,2047
284331,2047,2047
284945,2047,2047
284951,2047,2047
284998,2047,2047
285184,2047,2047
285193,2047,2047
285285,2047,2047
285291,2047,2047
285313,2047,2047
285319,2047,2047
285365,2047,2047
285374,2047,2047
285385,2047,2047
285394,2047,2047
285429,2047,2047
285436,2047,2047
285542,2047,2047
285552,2047,2047
285599,2047,2047
286054,2047,2047
286087,2047,2047
286097,2047,2047
286250,2047,2047
287289,2047,2047
287290,2043,2043
287291,1787,1787
287291,1531,1531
287292,1275,1275
287297,763,763
287303,251,251
287331,251,251
287654,251,251
287684,251,251
287698,251,251
287814,251,251
287815,251,251
287816,0,0
287908,0,0
287913,0,0
287918,0,0
287926,0,0
287926,0,0
287929,0,0
287932,0,0
287942,0,0
287943,0,0
287945,0,0
288503,0,0
288503,0,0
288506,0,0
288617,0,0
288621,0,0
288631,0,0
288632,0,0
288634,0,0
289129,0,0
289280,0,0
289288,0,0
289993,0,0
290011,0,0
290019,0,0
290157,0,0
290158,0,0
290159,0,0
290160,0,0
290161,0,0
290162,0,0
290173,0,0
290175,0,0
294297,0,0
294327,0,0
294694,0,0
294704,0,0
294713,0,0
294868,0,0
294878,0,0
294949,0,0
294950,0,0
294982,0,0
294983,0,0
294984,0,0
294985,0,0
294986,0,0
295007,0,0
295013,0,0
295054,0,0
295060,0,0
295104,0,0
295113,0,0
295161,0,0
295167,0,0
295471,0,0
295477,0,0
295498,0,0
295507,0,0
295548,0,0
295558,0,0
295603,0,0
295613,0,0
295654,0,0
295665,0,0
295698,0,0
295709,0,0
295758,0,0
295768,0,0
295945,0,0
295955,0,0
296081,0,0
296091,0,0
296308,0,0
296314,0,0
296386,0,0
296395,0,0
296444,0,0
296453,0,0
296500,0,0
296514,0,0
296622,0,0
296628,0,0
296964,0,0
296971,0,0
296975,0,0
296981,0,0
305907,0,2496
306360,0,2496
318357,2496,2496
318810,2496,2496
323630,2496,2496
324083,2496,2496
324367,2496,2496
324819,2496,2496
354583,2559,2559
354590,2559,2559
354844,2559,2559
354850,2559,2559
355003,2544,2544
355012,2544,2544
355236,2496,2496
355246,2496,2496
355752,2496,2496
355758,2496,2496
355965,2496,2496
355971,2496,2496
367046,2496,2530
367055,2496,2530
367491,2496,2530
368342,2470,2470
368446,2469,2469
368560,2459,2459
369118,2458,2458
369125,2458,2458
369146,2429,2429
369195,2229,2229
369317,1729,1729
369357,1329,1329
369619,1269,1269
369671,1253,1253
369682,1253,1253
369805,1237,1237
369817,1237,1237
370052,1205,1205
370065,1205,1205
