x,y
fe53a7,64575a
0,0
85,259
35,10
55,126
98,141
72,41
48,1296
90,501
94,22
86,162
95,549
0,22
54,0
97,216
92,685
81,80
0,7
0,0
86,20
32,28
88,254
95,765
97,1114
0,36
58,156
70,35
95,59
95,1535
78,124
4,175
0,5
88,57
61,212
49,90
0,0
50,62
0,0
0,4
0,10
95,202
84,297
90,71
98,437
0,35
2,12
97,4
95,116
65,101
61,84
93,337
64,201
88,36
94,1008
85,24
90,280
11,16
78,75
86,115
85,28
91,215
95,285
80,311
98,16
93,319
98,90
0,4
0,4
92,124
0,9
81,61
0,11
0,6
91,0
66,2814
78,193
0,1
90,54
83,111
72,139
64,1953
0,5
0,13
54,31
9,251
68,115
88,48
75,131
84,95
0,7
51,38
48,71
88,1
0,53
0,17
92,106
45,75
84,17
86,196
4,135
84,33
82,59
0,10
88,92
83,211
87,96
79,147
74,286
88,728
0,0
91,235
51,18
92,154
31,337
0,5
55,93
97,45
99,40
90,11
94,1151
0,1
0,5
95,374
90,89
71,39
96,665
95,381
75,140
86,39
77,182
85,172
74,66
71,215
98,14
95,40
0,50
0,11
91,166
0,27
98,26
5,36
36,27
84,264
81,450
0,16
90,97
34,37
0,2
96,1071
0,11
0,9
36,25
94,1116
93,152
0,17
0,15
78,235
90,133
96,165
0,0
73,45
96,31
85,186
0,13
95,204
86,88
11,8
96,492
80,94
72,136
0,19
63,22
84,2
0,9
80,222
0,4
94,49
100,24
0,10
97,2632
0,8
94,197
88,57
55,209
67,149
71,73
0,8
88,95
93,63
95,10
96,30
89,271
94,212
97,24
93,43
92,448
90,127
83,35
0,15
94,480
0,4
42,94
88,691
90,37
96,843
52,62
0,8
78,52
0,39
95,71
88,59
93,20
0,1
0,8
25,37
96,103
90,319
94,15
0,67
94,33
92,562
86,75
0,1
76,608
95,108
14,75
89,230
9,0
38,54
98,270
96,88
54,79
84,1560
93,53
0,3
85,31
76,2465
2,1
40,56
0,39
82,76
84,879
94,27
0,7
96,203
92,97
0,18
0,20
0,5
98,308
59,21
90,1138
96,451
58,10
54,196
0,24
90,66
73,175
0,90
98,15
86,351
0,0
96,118
0,12
98,28
69,80
0,18
45,204
80,1515
86,7
96,1798
0,6
65,23
0,7
92,173
95,6
0,4
49,117
70,67
0,0
42,59
0,3
39,10
93,179
55,1
85,198
79,36
0,8
96,81
72,125
49,98
0,33
90,670
96,479
0,5
70,21
0,0
41,63
59,230
0,3
90,65
0,32
79,958
0,15
97,137
78,35
84,64
92,254
72,26
98,148
4,89
0,8
95,189
0,0
99,498
80,30
40,54
83,1421
97,163
98,651
48,121
70,42
46,199
92,250
68,48
95,425
0,10
0,13
87,26
86,162
3,0
0,6
0,0
90,115
85,34
0,14
89,309
15,42
96,56
89,358
0,16
97,651
0,13
16,53
0,19
0,28
76,177
85,45
93,42
95,552
94,28
0,13
68,288
88,100
93,295
96,36
86,77
73,40
76,62
51,13
76,35
85,35
95,11
1,0
0,3
97,30
75,37
78,78
61,29
84,179
97,727
87,63
85,121
68,121
69,292
0,8
0,7
94,439
90,47
90,19
0,7
83,92
91,3
0,10
95,28
78,443
0,1
0,3
31,29
0,7
0,7
82,55
92,23
0,0
87,201
87,648
0,23
94,118
0,1
96,558
22,89
0,2
92,32
79,973
0,34
50,36
84,341
92,552
93,81
36,19
81,52
0,3
89,13
89,41
0,18
0,14
87,906
0,0
51,114
96,49
91,253
0,0
89,2830
0,2
68,2
0,13
95,251
96,38
54,119
0,17
97,707
0,9
95,738
93,208
58,36
0,14
91,286
71,61
0,11
97,1481
92,25
88,8
38,7
91,117
0,9
93,266
91,183
96,1137
67,443
97,428
68,45
74,215
0,6
92,1086
0,1
22,43
84,215
78,59
82,89
0,4
92,136
84,149
35,158
92,46
95,22
0,108
65,226
51,58
72,248
79,65
1,8
95,71
0,4
88,955
0,6
93,92
0,9
92,152
0,4
81,66
57,15
90,376
98,97
0,10
21,158
81,558
92,1620
0,1
88,21
0,9
93,1580
71,13
0,1
75,39
98,169
98,831
7,146
91,142
92,15
97,622
46,40
84,53
77,122
0,20
92,30
0,16
0,1
0,2
83,19
41,633
88,9
0,29
5,125
91,50
0,30
52,86
50,39
94,349
87,956
13,114
93,16
0,0
87,14
90,14
93,83
0,2
84,54
88,310
90,1293
93,800
66,51
84,27
0,0
91,75
97,591
92,381
88,32
86,41
94,95
90,34
95,156
77,2091
51,18
95,1794
0,5
95,99
68,16
0,1
86,20
97,431
0,28
0,7
0,21
41,107
85,69
96,2166
86,261
0,0
72,84
92,82
82,251
61,375
90,920
97,14
99,510
0,6
85,213
0,3
0,19
0,8
88,255
0,21
80,1598
