"pm2.5, x; pm10, x","pm2.5, y","pm10, y"
fc53cc,c463da,7c513d
2018-01-05 19:00:07,11,24.8
2018-01-05 19:15:06,13.6,32.5
2018-01-05 19:30:06,20.3,40.9
2018-01-05 19:45:06,97.2,228.1
2018-01-05 20:00:05,59.8,140.1
2018-01-05 20:15:05,25.6,50.5
2018-01-05 20:30:06,20.5,39.3
2018-01-05 20:45:06,19.8,44.9
2018-01-05 21:00:06,21.8,39.8
2018-01-05 21:15:05,24,49.2
2018-01-05 21:30:05,28.1,56.2
2018-01-05 21:45:06,25,49.9
2018-01-05 22:00:05,26.3,50.4
2018-01-05 22:15:06,29.8,55.7
2018-01-05 22:30:05,28.8,54.9
2018-01-05 22:45:06,24.3,47.9
2018-01-05 23:00:05,21,38
2018-01-05 23:15:05,21.9,39.8
2018-01-05 23:30:06,23,40.8
2018-01-05 23:45:07,23.2,41.1
2018-01-06 00:00:06,24.6,43.1
2018-01-06 00:15:06,22.7,40
2018-01-06 00:30:06,25.9,51.5
2018-01-06 00:45:07,27.9,50.9
2018-01-06 01:00:06,32.7,60.5
2018-01-06 01:15:06,34.4,60.1
2018-01-06 01:30:06,34.1,65.9
2018-01-06 01:45:05,35.1,68.3
2018-01-06 02:00:06,38.8,75.7
2018-01-06 02:15:06,42.2,74.9
2018-01-06 02:30:06,50.1,100.8
2018-01-06 02:45:06,52.9,115
2018-01-06 03:00:05,50.5,100.4
2018-01-06 03:15:07,50.2,101.6
2018-01-06 03:30:06,55,113.4
2018-01-06 03:45:06,51,99.5
2018-01-06 04:00:07,39.6,76.1
2018-01-06 04:15:06,29.6,52.3
2018-01-06 04:30:06,30.6,53.1
2018-01-06 04:45:06,36.6,67.9
2018-01-06 05:00:06,34.8,68.9
2018-01-06 05:15:06,35.7,66.2
2018-01-06 05:30:06,28.8,48
2018-01-06 05:45:06,31,56.4
2018-01-06 06:00:05,33.8,60.5
2018-01-06 06:15:07,31.6,55.8
2018-01-06 06:30:06,33.9,56.7
2018-01-06 06:45:06,38.3,64.7
2018-01-06 07:00:07,40.3,70.1
2018-01-06 07:15:07,35.9,55.6
2018-01-06 07:30:06,42.4,73.2
2018-01-06 07:45:07,50.9,88.3
2018-01-06 08:00:06,45.1,73.3
2018-01-06 08:15:06,54.1,95.3
2018-01-06 08:30:06,45.7,75.7
2018-01-06 08:45:05,34,53.2
2018-01-06 09:00:07,38.1,66.1
2018-01-06 09:15:06,37.6,63.8
2018-01-06 09:30:06,37.2,63.5
2018-01-06 09:45:05,36.4,64.1
2018-01-06 10:00:07,31.1,53.3
2018-01-06 10:15:06,29.4,50.9
2018-01-06 10:30:06,28.9,47.9
2018-01-06 10:45:06,21.5,35.2
2018-01-06 11:00:05,18.9,30.1
2018-01-06 11:15:06,19.8,33.5
2018-01-06 11:30:06,19.2,31.4
2018-01-06 11:45:06,14,25.7
2018-01-06 12:00:06,14.9,22.1
2018-01-06 12:15:08,14.5,23.4
2018-01-06 12:30:06,16.2,24.7
2018-01-06 12:45:06,16.1,28.4
2018-01-06 13:00:06,20.1,32.4
2018-01-06 13:15:06,29.6,42.9
2018-01-06 13:30:07,44.2,71.4
2018-01-06 13:45:06,21.8,33.5
2018-01-06 14:00:06,31.4,51.8
2018-01-06 14:15:07,54.4,99.3
2018-01-06 14:30:06,47.5,83.3
2018-01-06 14:45:06,49.9,86.2
2018-01-06 15:00:06,48.7,84.5
2018-01-06 15:15:06,61.5,117.3
2018-01-06 15:30:06,45.1,75.6
2018-01-06 15:45:06,44.1,75.2
2018-01-06 16:00:06,40.3,72.4
2018-01-06 16:15:07,43.4,75.5
2018-01-06 16:30:07,77.3,135.5
2018-01-06 16:45:06,52,97.8
2018-01-06 17:00:06,95.5,180.3
2018-01-06 17:15:07,92.9,181.9
2018-01-06 17:30:06,85.8,159.6
2018-01-06 17:45:06,114.8,223.3
2018-01-06 18:00:06,120.2,232.8
2018-01-06 18:15:06,167,342.8
2018-01-06 18:30:06,246.7,460.5
2018-01-06 18:45:05,230.1,440.4
2018-01-06 19:00:06,211,410.9
2018-01-06 19:15:06,275.7,491
2018-01-06 19:30:07,298,512.6
2018-01-06 19:45:05,281.9,496.7
2018-01-06 20:00:06,261.2,470.3
2018-01-06 20:15:06,240.4,445.7
2018-01-06 20:30:06,230.8,431.4
2018-01-06 20:45:06,215.1,401.1
2018-01-06 21:00:06,245,460
2018-01-06 21:15:06,223.4,427.9
2018-01-06 21:30:05,214.9,392.5
2018-01-06 21:45:06,234,434.6
2018-01-06 22:00:06,245.6,455.4
2018-01-06 22:15:06,239.5,437.8
2018-01-06 22:30:06,237.3,446.9
2018-01-06 22:45:06,235,437.9
2018-01-06 23:00:06,239.8,435.3
2018-01-06 23:15:06,253.7,457.9
2018-01-06 23:30:06,253.5,456.5
2018-01-06 23:45:07,234.5,443.9
2018-01-07 00:00:06,231.9,435.3
2018-01-07 00:15:06,240.9,448.1
2018-01-07 00:30:06,250.7,442.8
2018-01-07 00:45:07,224.4,418.4
2018-01-07 01:00:06,208.5,398
2018-01-07 01:15:06,231,427.8
2018-01-07 01:30:06,224.5,415.9
2018-01-07 01:45:07,212.9,392.2
2018-01-07 02:00:06,224.3,407.4
2018-01-07 02:15:06,218.3,403.6
2018-01-07 02:30:06,210.5,383.6
2018-01-07 02:45:06,205.9,364
2018-01-07 03:00:06,226.1,407.6
2018-01-07 03:15:06,199.8,366.5
2018-01-07 03:30:06,193.1,344.4
2018-01-07 03:45:06,159.1,289.7
2018-01-07 04:00:06,155.7,296
2018-01-07 04:15:06,138.2,254.8
2018-01-07 04:30:06,129.7,227.4
2018-01-07 04:45:06,117.8,213.5
2018-01-07 05:00:06,112.9,204.6
2018-01-07 05:15:07,94.1,168.3
2018-01-07 05:30:07,88.2,159.3
2018-01-07 05:45:06,75.6,139.6
2018-01-07 06:00:06,68,129.1
2018-01-07 06:15:06,67.5,121
2018-01-07 06:30:06,64.2,119.8
2018-01-07 06:45:05,64.3,116.9
2018-01-07 07:00:05,60.7,103.6
2018-01-07 07:15:06,59.5,104
2018-01-07 07:30:06,55.2,100.1
2018-01-07 07:45:07,61.6,113.1
2018-01-07 08:00:07,60.8,111.7
2018-01-07 08:15:06,58.3,102.2
2018-01-07 08:30:06,64.3,116.1
2018-01-07 08:45:06,55.1,97.3
2018-01-07 09:00:05,54.3,97.3
2018-01-07 09:15:05,45.2,77.2
2018-01-07 09:30:05,36.4,60.3
2018-01-07 09:45:06,26.3,41.5
2018-01-07 10:00:06,25.3,40.9
2018-01-07 10:15:06,26,41.9
2018-01-07 10:30:06,31.7,52.6
2018-01-07 10:45:06,34.6,53.8
2018-01-07 11:00:07,37.1,58.1
2018-01-07 11:15:06,45.3,79.3
2018-01-07 11:30:06,41.8,71.6
