"Total, x; Bitstamp, x; Bittrex, x; Bitfinex, x; Buy and Hold BTC, x; Market cap (relative), x","Total, y","Bitstamp, y","Bittrex, y","Bitfinex, y","Buy and Hold BTC, y","Market cap (relative), y","Pace, x","Pace, y"
7d52cd,ca6a78,609cf5,3f89fa,24e340,796a14,762ab0,2de475,2fe372
2017-10-26 17:14:13.215275,26541.0,17501.4458772621,2957.9882631041,6081.833549872,17877.0,,2017-10-26 17:14:13.215275,26541
2017-10-26 18:14:19.874616,26618.0,17555.8198891078,2960.038343439,6102.9913947278,17637.0,,2018-01-12 20:27:48.700419,204225.7228530292
2017-10-26 19:14:28.742470,26332.0,17368.5498663961,2945.0904674504,6019.085772727,17724.0,,,
2017-10-26 20:14:34.275326,26421.0,17424.8417253767,2942.1379957853,6054.5067669258,17526.0,,,
2017-10-26 21:14:41.133134,26135.0,17217.815667259,2941.0932646084,5977.0825619056,17487.0,,,
2017-10-26 22:14:47.940902,26359.0,17362.3512603745,2970.0422790213,6027.5932625118,17658.0,,,
2017-10-26 23:14:55.239132,26496.0,17442.3877175266,2978.8847252384,6074.7977348604,17673.0,25932.0,,
2017-10-27 00:15:00.322971,26410.0,17404.372791007,2958.874879145,6047.561671592,17994.0,,,
2017-10-27 01:15:11.892206,26767.0,17639.8242373883,2970.1320632459,6157.231682088,17838.0,,,
2017-10-27 02:15:17.419314,26605.0,17524.0868492543,2963.5449060472,6118.0407812784,17811.0,,,
2017-10-27 03:15:22.754057,26478.0,17492.7834927581,2929.4400958264,6056.7545989424,17787.0,,,
2017-10-27 04:15:27.487809,26510.0,17480.3629244791,2944.5971624146,6086.0066550508,17685.0,,,
2017-10-27 05:15:34.372080,26293.0,17349.3960626228,2929.1265437062,6015.1344267606,17553.0,,,
2017-10-27 06:15:41.213324,26089.0,17217.3932336495,2933.2287763926,5938.5569387332,17547.0,,,
2017-10-27 07:15:46.489366,26291.0,17344.5143078397,2937.6754987985,6009.257807632,17679.0,,,
2017-10-27 08:15:51.844611,26381.0,17410.0435077286,2930.4426368821,6040.7476157928,17652.0,,,
2017-10-27 09:15:56.978972,26498.0,17494.1867431291,2944.1907277076,6060.0406672716,17733.0,,,
2017-10-27 10:16:02.103707,26473.0,17449.7027217446,2974.8584913656,6048.7511073676,17523.0,,,
2017-10-27 11:16:08.293556,26280.0,17306.5134717462,2981.4339462545,5992.6157867378,17556.0,,,
2017-10-27 12:16:17.853232,26227.0,17281.5026008291,2978.859146985,5966.6598789228,17355.0,,,
2017-10-27 13:16:24.570755,25978.0,17098.0443852652,2973.9262752036,5906.442172792,17250.0,,,
2017-10-27 14:16:32.315670,25977.0,17119.0371757417,2940.1856702363,5917.8526922664,17253.0,,,
2017-10-27 15:16:38.242622,25932.0,17083.9383488401,2949.3691958334,5899.0737189618,17268.0,,,
2017-10-27 16:16:46.541505,26065.0,17177.7166380408,2952.8250558633,5934.8979117286,17316.0,,,
2017-10-27 17:16:55.453077,25980.0,17109.7914918113,2960.3502675793,5909.86936062,17205.0,,,
2017-10-27 18:17:04.375607,25844.0,17013.254265157,2978.1050333887,5852.665563785,17199.0,,,
2017-10-27 19:17:11.553716,25889.0,17072.5101190277,2926.9545011224,5890.2537502868,17253.0,,,
2017-10-27 20:17:17.075063,25782.0,16996.6013276204,2922.8190626967,5863.5116052642,17280.0,,,
2017-10-27 21:17:23.886955,25951.0,17122.1829073579,2927.0954866615,5902.3900271836,17286.0,,,
2017-10-27 22:17:29.794919,25962.0,17131.99020112,2921.5212994086,5908.9319239494,17343.0,,,
2017-10-27 23:17:35.543787,25864.0,17074.666607215,2910.643330194,5879.1657896668,17340.0,,,
2017-10-28 00:17:41.693487,26207.0,17299.5198416591,2929.889419844,5977.9695987552,17565.0,,,
2017-10-28 01:17:49.146653,26311.0,17366.7758888895,2930.4891023419,6014.297789732,17583.0,,,
2017-10-28 02:17:54.551060,26144.0,17243.3718411782,2937.2754960918,5963.4846901998,17424.0,,,
2017-10-28 03:18:01.096278,25869.0,17071.5932416344,2909.1669323976,5888.600636158,17307.0,,,
2017-10-28 04:18:08.115140,25929.0,17129.4752694043,2902.7905331839,5897.067806086,17370.0,,,
2017-10-28 05:18:15.060340,25892.0,17105.3229558445,2901.0016942754,5886.383044034,17454.0,,,
2017-10-28 06:18:21.459361,25960.0,17166.1868524118,2905.0999416364,5888.852635263,17454.0,,,
2017-10-28 07:18:26.531154,25993.0,17181.8436733668,2906.9819900736,5904.8213145486,17487.0,,,
2017-10-28 08:18:32.673827,25981.0,17171.7058377307,2908.8408324718,5901.3507828746,17400.0,,,
2017-10-28 09:18:38.020750,25971.0,17159.6987714583,2911.2867509351,5900.79739284,17400.0,,,
2017-10-28 10:26:44.733749,25942.0,17143.1440704505,2906.1395539281,5893.5095787234,17334.0,,,
2017-10-28 11:26:50.329103,25708.0,16996.4476872779,2879.9808244756,5831.951237354,17205.0,,,
2017-10-28 12:26:56.834558,25560.0,16896.0499798068,2860.19980866,5804.281735625,17217.0,,,
2017-10-28 13:27:03.004027,25629.0,16951.201839983,2857.4648928025,5820.750381135,17223.0,,,
2017-10-28 14:27:09.627231,25739.0,17002.7398504522,2886.1694409084,5850.195972556,17175.0,,,
2017-10-28 15:27:17.233753,25526.0,16892.4699272643,2842.1995565717,5792.1656186566,17145.0,,,
2017-10-28 16:27:21.974524,25652.0,16971.6075888351,2857.6982650305,5823.080868858,17160.0,,,
2017-10-28 17:27:28.184805,25626.0,16942.5461446351,2851.3704339443,5832.2526282836,17211.0,,,
2017-10-28 18:27:34.837835,25755.0,17033.3278362344,2860.0446190954,5862.090330312,17259.0,,,
2017-10-28 19:27:45.460808,25842.0,17094.855696155,2864.3922274338,5883.308654953,17415.0,,,
2017-10-28 20:27:52.100778,25823.0,17082.9257186246,2848.5635527033,5891.7556649526,17265.0,,,
2017-10-28 21:36:01.139692,25682.0,16995.718702838,2833.4150273174,5853.068762353,17217.0,,,
2017-10-28 22:36:07.631435,25750.0,17033.220976786,2838.7229359817,5879.0549100606,17310.0,,,
2017-10-28 23:36:13.531116,25706.0,17027.2061358738,2809.9286556182,5869.2874247508,17256.0,,,
2017-10-29 00:36:22.984192,25639.0,16994.0685599925,2806.9564741638,5837.999215874,17220.0,,,
2017-10-29 01:36:30.548604,25656.0,16998.2152186889,2804.8460630951,5853.0082825678,17190.0,,,
2017-10-29 02:36:36.799802,25630.0,16985.5456109051,2806.4974328809,5838.3419346568,17190.0,,,
2017-10-29 03:36:43.322968,25685.0,17013.0104392119,2823.4257060726,5848.633578105,17283.0,,,
2017-10-29 04:36:48.940156,25880.0,17137.0945785636,2845.1194297168,5898.5697207518,17382.0,,,
2017-10-29 05:36:53.645479,25831.0,17105.6846620005,2824.5172013949,5900.998992124,17385.0,,,
2017-10-29 06:36:59.875576,25862.0,17130.4856519609,2826.6669946017,5905.232577088,17406.0,,,
2017-10-29 07:37:04.654521,26080.0,17263.6882749485,2847.3107993863,5969.9862671088,17535.0,,,
