"PM 2.5, x; PM 10, x","PM 2.5, y","PM 10, y"
3da527,09e7d4,c03d82
2018-01-11 20:31:38,9.6,10.6
2018-01-11 21:01:37,11.1,12.4
2018-01-11 21:31:37,10.0,11.3
2018-01-11 22:01:38,9.9,11.0
2018-01-11 22:31:37,9.0,10.1
2018-01-11 23:01:37,10.3,11.3
2018-01-11 23:31:37,9.4,10.3
2018-01-12 00:01:38,9.4,10.2
2018-01-12 00:31:37,9.4,10.3
2018-01-12 01:01:38,9.1,9.9
2018-01-12 01:31:37,8.6,9.4
2018-01-12 02:01:38,8.4,9.1
2018-01-12 02:31:37,8.3,9.1
2018-01-12 03:01:38,8.2,8.9
2018-01-12 03:31:38,7.6,8.2
2018-01-12 04:01:38,7.5,8.1
2018-01-12 04:31:37,7.1,7.7
2018-01-12 05:01:38,6.5,7.1
2018-01-12 05:31:38,5.9,6.3
2018-01-12 06:01:38,5.7,6.2
2018-01-12 06:31:38,7.0,11.0
2018-01-12 07:01:38,6.8,9.2
2018-01-12 07:31:37,5.8,7.7
2018-01-12 08:01:38,5.4,7.0
2018-01-12 08:31:38,5.2,6.8
2018-01-12 09:01:38,5.3,6.6
2018-01-12 09:31:38,5.8,6.4
2018-01-12 10:01:37,6.4,7.6
2018-01-12 10:31:38,6.7,7.4
2018-01-12 11:01:37,8.7,11.3
2018-01-12 11:31:38,8.3,9.6
2018-01-12 12:01:38,7.3,8.1
2018-01-12 12:31:38,6.4,7.1
2018-01-12 13:01:38,6.2,6.9
2018-01-12 13:31:37,5.6,6.3
2018-01-12 14:01:38,5.2,5.7
2018-01-12 14:31:38,5.3,5.8
2018-01-12 15:01:37,5.3,6.5
2018-01-12 15:31:38,5.3,11.4
2018-01-12 16:01:38,4.7,8.4
2018-01-12 16:31:37,4.1,8.0
2018-01-12 17:01:38,4.2,9.2
2018-01-12 17:31:38,4.3,7.0
2018-01-12 18:01:38,4.6,6.6
2018-01-12 18:31:37,4.7,7.0
2018-01-12 19:01:38,5.5,9.6
2018-01-12 19:31:38,5.5,8.8
2018-01-12 20:01:37,5.7,8.9
2018-01-12 20:31:37,4.8,7.3
2018-01-12 21:01:38,5.2,7.5
