Power Five,Others,Power Five (1),Others (1),Power Five (2),Others (2),Power Five (3),Others (3)
b6d162,94e4be,83ee79,0e2085,d53066,206ae5,627bbb,9aa1ac
6950203.0,2200000.0,6932395.0,2200000.0,9004000.0,3000000.0,11132000.0,2095793.0
5611845.0,2019718.0,7004000.0,1890000.0,6939395.0,2200000.0,8504600.0,2000000.0
5058333.0,1800000.0,5860000.0,1637803.0,6003000.0,2000000.0,7004000.0,2000000.0
5000000.0,1574810.0,5400000.0,1550000.0,5550000.0,1800000.0,6431240.0,1900000.0
5000000.0,1500000.0,5150000.0,1457745.0,5250000.0,1700000.0,5631563.0,1860000.0
4486640.0,1500000.0,5100000.0,1450000.0,5200000.0,1700000.0,5700000.0,1750000.0
4300000.0,1457284.0,5000000.0,1414610.0,5000000.0,1700000.0,5680441.0,1645867.0
4300000.0,1400000.0,4400000.0,1400000.0,4725000.0,1624730.0,5486316.0,1550004.0
4075000.0,1250000.0,4300000.0,1350000.0,4700000.0,1518480.0,5104077.0,1550000.0
4000000.0,1150000.0,4300000.0,1187272.0,4500000.0,1450000.0,5000000.0,1550000.0
4008150.0,1025000.0,4236073.0,1150000.0,4500000.0,1300004.0,4725000.0,1412000.0
3850000.0,1006779.0,4000000.0,1100004.0,4417500.0,1100000.0,4600000.0,1398038.0
3681720.0,1000000.0,4100000.0,1050000.0,4300000.0,1041739.0,4550000.0,1150000.0
3591667.0,1000004.0,4075000.0,926000.0,4300000.0,1000000.0,4500000.0,1137500.0
3500000.0,866250.0,4000000.0,892500.0,4268325.0,932521.0,4457400.0,1050000.0
3400000.0,867000.0,4000000.0,883000.0,4200000.0,909000.0,4380492.0,1050000.0
3200000.0,850000.0,3983359.0,882000.0,4100000.0,903556.0,4200000.0,1000000.0
2898500.0,834667.0,3954166.0,801504.0,4110000.0,885000.0,4200000.0,1000000.0
3250000.0,832000.0,3940026.0,806300.0,4067219.0,835000.0,4125000.0,991416.0
3200000.0,801504.0,3768889.0,805088.0,4014723.0,822690.0,4110000.0,950000.0
3150000.0,800000.0,3671520.0,800000.0,3880434.0,816360.0,3930434.0,900000.0
3135146.0,772690.0,3650000.0,772690.0,3775000.0,815000.0,3750000.0,826304.0
3080000.0,780243.0,3610000.0,755500.0,3753600.0,810632.0,3753600.0,822690.0
3077646.0,759436.0,3400000.0,750000.0,3650000.0,805600.0,3687917.0,801504.0
3000000.0,710000.0,3350000.0,720000.0,3600000.0,801504.0,3550000.0,800000.0
3000000.0,700000.0,3300000.0,700000.0,3500000.0,800000.0,3505000.0,800000.0
3000000.0,700000.0,3250000.0,700000.0,3450000.0,762570.0,3503975.0,800000.0
2960000.0,550000.0,2878844.0,660000.0,3350638.0,700000.0,3500000.0,772883.0
2900000.0,607070.0,3196724.0,648633.0,3300000.0,675000.0,3500000.0,762570.0
2854000.0,600000.0,3150000.0,550000.0,3306575.0,660000.0,3400000.0,750000.0
2750000.0,575000.0,3108000.0,610800.0,3275000.0,650000.0,3333333.0,700000.0
2724500.0,575000.0,3000000.0,604190.0,3200000.0,623000.0,3305818.0,700000.0
2700000.0,553000.0,3000000.0,600000.0,3100000.0,609731.0,3250000.0,675000.0
2700000.0,550000.0,3000000.0,575000.0,3100000.0,600000.0,3200000.0,675000.0
2420913.0,525000.0,2880000.0,550000.0,3000000.0,591250.0,3200000.0,650000.0
2605000.0,518788.0,2800000.0,562760.0,2980000.0,575000.0,3200000.0,630000.0
2588000.0,500000.0,2535925.0,525000.0,2950000.0,572715.0,3100000.0,625000.0
2500000.0,510000.0,2750000.0,560000.0,2900000.0,554590.0,3075000.0,623000.0
2480967.0,503864.0,2700000.0,540745.0,2884361.0,525000.0,3000000.0,600000.0
2298413.0,500000.0,2600000.0,533500.0,2500000.0,546745.0,2970891.0,581916.0
2200000.0,500000.0,2585655.0,523500.0,2800000.0,545640.0,2900000.0,535260.0
2250943.0,500000.0,2539315.0,525000.0,2700000.0,537405.0,2900000.0,565000.0
2200000.0,475000.0,2500000.0,514250.0,2556877.0,525000.0,2803500.0,545640.0
2100000.0,470500.0,2490858.0,500000.0,2550000.0,515332.0,2721834.0,530000.0
2090000.0,435000.0,2450000.0,509541.0,2412000.0,500000.0,2650000.0,522715.0
2033680.0,450000.0,2300000.0,500000.0,2350000.0,510000.0,2613638.0,522300.0
2012666.0,450000.0,2224435.0,495000.0,2333628.0,500000.0,2462000.0,515332.0
2008500.0,425000.0,2200000.0,450000.0,2320773.0,500000.0,2448949.0,500000.0
2000000.0,406000.0,2200000.0,450000.0,2320000.0,472300.0,2350000.0,472654.0
1950000.0,405000.0,2140000.0,425000.0,2200000.0,467965.0,2290000.0,450000.0
1840341.0,400000.0,2110648.0,425000.0,2190000.0,434840.0,2212600.0,446214.0
1830000.0,400000.0,2049055.0,425000.0,2113166.0,425000.0,2116666.0,442420.0
1800000.0,400000.0,2009778.0,413526.0,2011050.0,417104.0,2100000.0,431375.0
1800000.0,400011.0,2000000.0,413000.0,2000000.0,411000.0,2100000.0,428655.0
1800000.0,400000.0,1931000.0,406000.0,2000000.0,410000.0,1830000.0,414030.0
1578757.0,392500.0,1312277.0,400000.0,1986265.0,405912.0,1827735.0,411000.0
1510008.0,382500.0,1302721.0,400000.0,1809179.0,405500.0,1827370.0,405500.0
1301644.0,380210.0,1250000.0,390150.0,1400000.0,400008.0,1601109.0,400008.0
975000.0,376044.0,915000.0,376044.0,801109.0,390000.0,1600000.0,400000.0
,360000.0,801169.0,375000.0,,376044.0,1160000.0,390000.0
,357000.0,,360000.0,,,,376044.0
,225000.0,,,,,,
,,,,,,,
,,,,,,,
