"Trace 0, x","Trace 0, y","Trace 0, z","Trace 1, x","Trace 1, y","Trace 1, z","Trace 2, x","Trace 2, y","Trace 2, z","Trace 3, x","Trace 3, y","Trace 3, z","Trace 4, x","Trace 4, y","Trace 4, z","Trace 5, x","Trace 5, y","Trace 5, z","Trace 6, x","Trace 6, y","Trace 6, z","Trace 7, x","Trace 7, y","Trace 7, z"
496681,2a68c0,fe975c,9cc6d9,7bb3d1,1092c7,2fc25e,d098f3,41e7cb,94182a,558628,780dbe,985220,4ce745,0e5f0a,4ad656,2d078c,b2d2b7,39c3c2,007985,0e03a6,71f004,8f4e51,e23412
2.741143447,31.893463911,3.0738316677,19.840523387,7.5318201091,5.6628079077,9.5150654338,24.4460854623,8.5225272225,13.5305677624,88.8719090866,2.418483903,-2.1136315558,43.4772941676,4.9577613623,20.0844026145,-15.0072844252,11.5366834183,5.9516301893,34.1283045058,12.5147489579,18.2046690343,70.6848031988,-0.1419607283
0.2925682493,60.1121761513,8.1298040946,19.0018469226,10.2502619924,6.8348243209,8.5226048917,13.401172566,11.0251028135,16.1319461099,77.519332195,3.9440891562,8.49878137,23.6752165826,5.8321680294,20.9283006427,8.4681228679,-5.1712779874,6.0250842789,27.1655888106,21.3748677242,13.0805279704,95.406013571,-1.5333404629
2.9838080838,51.3002366615,0.7089610651,19.9853662819,6.6503660083,3.5928771081,8.4862675969,33.9206144494,0.3455531736,15.440482805,66.9103907717,2.3122748088,4.9662501754,15.5999324229,-5.030414609,20.380078126,9.4376355218,-2.8331271442,6.2951341948,36.3570940457,12.8793412327,,,
3.3093054221,47.5288106892,3.5845050552,19.5252648591,10.6832145922,0.6524523703,8.522501219,31.5981260183,9.147918295,13.2511864783,86.2306721428,-5.17950909,4.1751703423,19.0688580976,9.6571763698,20.5548515721,-3.6288672833,-2.5052941306,6.383423808,43.2566990808,8.1610223134,,,
2.8491034892,46.1356320555,5.569077889,22.9405559907,-0.8536933756,9.2354624929,8.3665305705,26.8642588795,7.6619804157,16.3684478778,69.0180399814,1.165340453,-0.3697622503,60.9388175126,-8.1336695158,20.5217100328,2.4415576838,14.6929636442,6.3945992921,36.6102052528,0.9946218217,,,
3.1264731985,42.8274735321,-2.3218000743,18.6215658966,3.4408210898,0.0720061851,9.0464573379,18.2398155696,5.0415384061,14.7329908764,75.9301427752,0.1595310689,1.3025564059,52.7529582769,-7.4571759806,21.9668772009,-6.5167847388,14.8381716606,12.1004033528,11.2592383518,13.9773312103,,,
2.0628228657,23.4799713462,-3.6540235321,17.1272463824,12.3084861759,7.803989844,9.894289372,12.3705474033,6.7036076679,14.1896871019,78.6022503051,-0.1366419976,1.853331677,52.224419407,-7.1641569092,19.9139551309,2.78572756,15.8318274647,6.0250842789,27.1655888106,21.3748677242,,,
-2.1136315558,43.4772941676,4.9577613623,18.9399031944,18.7290262658,3.3671118725,8.8544932404,16.756893314,3.8337320617,15.572689002,81.0774773197,7.8742302371,1.7613682691,57.3178313731,-7.1355476189,20.3506222717,-2.0030441454,16.2907726778,,,,,,
0.3915898033,55.2838306833,0.8519185342,19.320483857,10.793712159,1.0409379072,10.5563588378,21.4974184827,11.2862414342,15.9227300983,63.4325850951,5.8278996839,2.6886618508,55.1533638127,13.0966040689,,,,,,,,,
0.827034296,54.5179719645,3.1822249631,18.4152026084,8.2159722179,6.8571718982,8.0358221476,25.4377091111,8.5178011879,13.3711078844,82.3998920768,-6.412211058,2.0458192777,43.9405291923,13.39498113,,,,,,,,,
3.665050383,35.2795292719,-3.5401953922,21.7496308263,1.1190104448,6.457170024,8.7605077446,25.6362797786,14.0814367243,16.373277293,58.1661852837,-4.6989812972,0.1474445662,54.7116362053,13.5248131604,,,,,,,,,
