"Trace 0; Trace 3, x; Trace 6, x","Trace 1, x; Trace 4; Trace 7, x","Trace 1, y; Trace 2, y","Trace 1, color; Trace 2, color; Trace 3, color; Trace 5, color; Trace 6, color; Trace 7, color","Trace 2, x; Trace 5, x; Trace 8","Trace 3, y; Trace 5, y","Trace 6, y; Trace 7, y"
b3d64e,6eb7b7,5e4eef,f9deb3,a8e4f6,ca40b9,500e66
19.840523387,7.5318201091,19.840523387,1.0,5.6628079077,7.5318201091,5.6628079077
2.741143447,31.893463911,2.741143447,2.0,3.0738316677,31.893463911,3.0738316677
13.5305677624,88.8719090866,13.5305677624,3.0,2.418483903,88.8719090866,2.418483903
9.5150654338,24.4460854623,9.5150654338,4.0,8.5225272225,24.4460854623,8.5225272225
8.5226048917,13.401172566,8.5226048917,5.0,11.0251028135,13.401172566,11.0251028135
16.1319461099,77.519332195,16.1319461099,6.0,3.9440891562,77.519332195,3.9440891562
8.4862675969,33.9206144494,8.4862675969,7.0,0.3455531736,33.9206144494,0.3455531736
8.522501219,31.5981260183,8.522501219,8.0,9.147918295,31.5981260183,9.147918295
19.0018469226,10.2502619924,19.0018469226,9.0,6.8348243209,10.2502619924,6.8348243209
19.9853662819,6.6503660083,19.9853662819,10.0,3.5928771081,6.6503660083,3.5928771081
8.3665305705,26.8642588795,8.3665305705,11.0,7.6619804157,26.8642588795,7.6619804157
15.440482805,66.9103907717,15.440482805,12.0,2.3122748088,66.9103907717,2.3122748088
0.2925682493,60.1121761513,0.2925682493,13.0,8.1298040946,60.1121761513,8.1298040946
2.9838080838,51.3002366615,2.9838080838,14.0,0.7089610651,51.3002366615,0.7089610651
3.3093054221,47.5288106892,3.3093054221,15.0,3.5845050552,47.5288106892,3.5845050552
2.8491034892,46.1356320555,2.8491034892,16.0,5.569077889,46.1356320555,5.569077889
9.0464573379,18.2398155696,9.0464573379,17.0,5.0415384061,18.2398155696,5.0415384061
3.1264731985,42.8274735321,3.1264731985,18.0,-2.3218000743,42.8274735321,-2.3218000743
13.2511864783,86.2306721428,13.2511864783,19.0,-5.17950909,86.2306721428,-5.17950909
19.5252648591,10.6832145922,19.5252648591,20.0,0.6524523703,10.6832145922,0.6524523703
9.894289372,12.3705474033,9.894289372,21.0,6.7036076679,12.3705474033,6.7036076679
22.9405559907,-0.8536933756,22.9405559907,22.0,9.2354624929,-0.8536933756,9.2354624929
8.8544932404,16.756893314,8.8544932404,23.0,3.8337320617,16.756893314,3.8337320617
10.5563588378,21.4974184827,10.5563588378,24.0,11.2862414342,21.4974184827,11.2862414342
8.0358221476,25.4377091111,8.0358221476,25.0,8.5178011879,25.4377091111,8.5178011879
18.6215658966,3.4408210898,18.6215658966,26.0,0.0720061851,3.4408210898,0.0720061851
17.1272463824,12.3084861759,17.1272463824,27.0,7.803989844,12.3084861759,7.803989844
18.9399031944,18.7290262658,18.9399031944,28.0,3.3671118725,18.7290262658,3.3671118725
2.0628228657,23.4799713462,2.0628228657,29.0,-3.6540235321,23.4799713462,-3.6540235321
8.7605077446,25.6362797786,8.7605077446,30.0,14.0814367243,25.6362797786,14.0814367243
8.7541945509,26.6206472025,8.7541945509,31.0,9.0288645306,26.6206472025,9.0288645306
7.7565284731,29.2281191121,7.7565284731,32.0,9.8753433482,29.2281191121,9.8753433482
16.3684478778,69.0180399814,16.3684478778,33.0,1.165340453,69.0180399814,1.165340453
19.320483857,10.793712159,19.320483857,34.0,1.0409379072,10.793712159,1.0409379072
-2.1136315558,43.4772941676,-2.1136315558,35.0,4.9577613623,43.4772941676,4.9577613623
18.4152026084,8.2159722179,18.4152026084,36.0,6.8571718982,8.2159722179,6.8571718982
0.3915898033,55.2838306833,0.3915898033,37.0,0.8519185342,55.2838306833,0.8519185342
8.9650892132,24.2245290253,8.9650892132,38.0,6.609513185,24.2245290253,6.609513185
0.827034296,54.5179719645,0.827034296,39.0,3.1822249631,54.5179719645,3.1822249631
3.665050383,35.2795292719,3.665050383,40.0,-3.5401953922,35.2795292719,-3.5401953922
21.7496308263,1.1190104448,21.7496308263,41.0,6.457170024,1.1190104448,6.457170024
14.7329908764,75.9301427752,14.7329908764,42.0,0.1595310689,75.9301427752,0.1595310689
8.3881453844,29.5697957544,8.3881453844,43.0,7.5024573465,29.5697957544,7.5024573465
20.4747965997,3.3342540177,20.4747965997,44.0,1.5412329546,3.3342540177,1.5412329546
10.2239191277,10.694157241,10.2239191277,45.0,12.6240898248,10.694157241,12.6240898248
9.7264050512,20.3070157267,9.7264050512,46.0,15.5276984015,20.3070157267,15.5276984015
3.6003395975,66.3708082153,3.6003395975,47.0,5.4401255763,66.3708082153,5.4401255763
9.1129348592,21.296188593,9.1129348592,48.0,12.770896552,21.296188593,12.770896552
4.9985560679,49.6542957714,4.9985560679,49.0,-1.12550561,49.6542957714,-1.12550561
6.9481272742,28.0402989335,6.9481272742,50.0,7.9312263823,28.0402989335,7.9312263823
3.7030977205,51.020010708,3.7030977205,51.0,7.1292173107,51.020010708,7.1292173107
14.1896871019,78.6022503051,14.1896871019,52.0,-0.1366419976,78.6022503051,-0.1366419976
19.7409684757,2.3848106321,19.7409684757,53.0,-0.3928381431,2.3848106321,-0.3928381431
0.8347604218,50.1460473382,0.8347604218,54.0,2.5041452188,50.1460473382,2.5041452188
10.4432747882,25.2826366268,10.4432747882,55.0,10.6255701586,25.2826366268,10.6255701586
