x,y
62952d,f0ea28
736.042,100
736.063,100
736.083,100
736.104,100
736.125,100
736.146,100
736.167,100
736.188,100
736.208,100
736.229,100
736.25,100
736.271,100
736.292,100
736.313,100
736.333,100
736.354,100
736.375,100
736.396,100
736.417,100
736.438,100
736.458,100
736.479,100
736.5,100
736.521,100
736.563,99.9044
736.583,100
736.604,100
736.625,100
736.646,100
736.667,100
736.688,100
736.708,100
736.729,100
736.75,100
736.771,100
736.792,100
736.813,100
736.833,100
736.854,100
736.875,100
736.896,100
736.917,100
736.938,100
736.958,100
736.979,100
737,100
737.021,100
737.042,100
737.063,99.4213
737.083,88.4535
737.104,91.4785
737.125,82.1303
737.146,86
737.167,86
737.188,86
737.208,86
737.229,89.1784
737.25,92.2475
737.271,96.9741
737.292,100
737.313,97.3291
737.333,85.0623
737.354,83.1523
737.375,89.5008
737.396,84.8099
737.417,95.5247
737.438,100
737.458,100
737.479,100
737.5,100
737.521,100
737.542,100
737.563,95.3757
737.583,100
737.604,100
737.625,100
737.646,100
737.667,100
737.688,100
737.708,100
737.729,100
737.75,100
737.771,100
737.792,100
737.813,100
737.833,100
737.854,100
737.875,100
737.896,100
737.917,100
737.938,92.0404
737.958,67.1014
737.979,36.9256
738,26
738.021,26
738.042,26
738.063,25.9713
738.083,25.5163
738.104,26
738.125,26
738.146,26
738.167,31.0898
738.188,42.4662
738.208,74.4932
738.229,100
738.25,100
738.271,100
738.292,100
738.313,100
738.333,100
738.354,100
738.375,100
738.396,100
738.417,100
738.438,100
738.458,100
738.479,100
738.5,100
738.521,100
738.542,100
738.563,100
738.583,100
738.604,100
738.625,100
738.646,100
738.667,100
738.688,100
738.708,100
738.729,100
738.75,100
738.771,100
738.792,100
738.813,100
738.833,100
738.854,100
738.875,100
738.896,100
738.917,100
738.938,100
738.958,100
738.979,100
739,100
739.021,100
739.042,100
739.063,100
739.083,100
739.104,100
739.125,100
739.146,100
739.167,97.2976
739.188,99.8705
739.208,91.5713
739.229,77.6753
739.25,68.246
739.271,61.8637
739.292,70.1279
739.313,69.1719
739.333,66.1274
739.354,59.5469
739.375,57.2879
739.396,67.0123
739.417,78.0216
739.438,89.6929
739.458,99.8584
739.479,100
739.5,90.668
739.521,84.046
739.542,98.9376
739.563,100
739.583,99.9992
739.604,70.8515
739.625,70.9286
739.646,98.2691
739.667,100
739.688,100
739.708,99.9969
739.729,97.7183
739.75,100
739.771,88.3975
739.792,98.0392
739.813,100
739.833,98.1139
739.854,96.2632
739.875,85.7721
739.896,85.9077
739.917,95.3668
739.938,100
739.958,100
739.979,97.1316
740,85.5757
740.021,85.1527
740.042,74.7603
740.063,89.4822
740.083,95.9711
740.104,100
740.125,100
740.146,100
740.167,100
740.188,100
740.208,90.6152
740.229,82.1915
740.25,83.0969
740.271,84.0479
740.292,83.2088
740.313,81.967
740.333,72.9807
740.354,60.2296
740.375,69.4158
740.396,72.7559
740.417,78.5572
740.438,63.2308
740.458,51.9579
740.479,58.4933
740.5,85.4039
740.521,93.5497
740.542,88.1887
740.563,98.25
740.583,99.3299
740.604,93.4306
740.625,91.791
740.646,87.6871
740.667,88.6025
740.688,93
740.708,96.6159
740.729,100
740.75,100
740.771,100
740.792,100
740.813,100
740.833,100
740.854,100
740.875,100
740.896,100
740.917,100
740.938,100
740.958,100
740.979,100
741,100
741.021,78.6587
741.042,53.9733
741.063,55.4912
741.083,61.1503
741.104,59.2434
741.125,49.1099
741.146,57.4403
741.167,60
741.188,60.9823
741.208,66
741.229,71.1271
741.25,82.544
741.271,97.5516
741.292,100
741.313,100
741.333,100
741.354,100
741.375,100
741.396,100
741.417,100
741.438,100
741.458,100
741.479,100
741.5,100
741.521,100
741.542,100
741.563,100
741.583,100
741.604,100
741.625,100
741.646,100
741.667,100
741.688,100
741.708,100
741.729,100
741.75,100
741.771,100
741.792,100
741.813,100
741.833,100
741.854,100
741.875,100
741.896,100
741.917,100
741.938,100
741.958,95.5787
741.979,95.2956
742,95.8983
742.021,86.8432
742.042,100
742.063,100
742.083,100
742.104,100
742.125,89.7489
742.146,76.8487
742.167,46.7206
742.188,57.1706
742.208,95.6145
742.229,100
742.25,100
742.271,100
742.292,100
742.313,100
742.333,100
742.354,100
742.375,100
742.396,100
742.417,100
742.438,100
742.458,100
742.479,100
742.5,100
742.521,100
742.542,100
742.563,100
742.583,100
742.604,100
742.625,100
742.646,100
742.667,100
742.688,100
742.708,100
742.729,100
742.75,100
742.771,100
742.792,100
742.813,100
742.833,100
742.854,100
742.875,100
742.896,100
742.917,100
742.938,100
742.958,100
742.979,100
743,100
743.021,100
743.042,100
743.063,95.5457
