"H_2O sig strength, x; CO_2 sig strength, x","H_2O sig strength, y","CO_2 sig strength, y"
d3e043,ace9f3,a6a15b
736.104,0.961445,0.943411
736.125,0.967336,0.948445
736.146,0.968166,0.94905
736.167,0.968405,0.949241
736.188,0.967921,0.948853
736.208,0.965686,0.946751
736.229,0.959532,0.941378
736.25,0.961885,0.943257
736.271,0.965144,0.946425
736.292,0.96817,0.949176
736.313,0.968309,0.949198
736.333,0.967497,0.948521
736.354,0.962881,0.944351
736.375,0.968078,0.948902
736.396,0.968947,0.949651
736.417,0.969911,0.950468
736.438,0.970195,0.950489
736.458,0.972801,0.953459
736.479,0.972203,0.952533
736.5,0.971856,0.951712
736.521,0.972135,0.951859
736.542,0.972735,0.952249
736.563,0.972993,0.952305
736.583,0.973147,0.952331
736.604,0.97336,0.952463
736.625,0.973457,0.952421
736.646,0.973576,0.952464
736.667,0.973704,0.95262
736.688,0.973882,0.952822
736.708,0.973854,0.952932
736.729,0.973202,0.952223
736.75,0.972457,0.951511
736.771,0.972287,0.951458
736.792,0.971968,0.951203
736.813,0.971862,0.951222
736.833,0.971716,0.951213
736.854,0.971216,0.950786
736.875,0.97111,0.950793
736.896,0.970753,0.950446
736.917,0.969563,0.949029
736.938,0.970621,0.950384
736.958,0.970804,0.950524
736.979,0.97102,0.950639
737,0.971175,0.950822
737.021,0.971255,0.950905
737.042,0.971111,0.950835
737.063,0.970927,0.950719
737.083,0.96989,0.949696
737.104,0.930646,0.915313
737.125,0.943484,0.926386
737.146,0.952023,0.932732
737.167,0.857475,0.841392
737.188,0.840818,0.830834
737.208,0.864252,0.85275
737.229,0.924043,0.90848
737.25,0.966171,0.946724
737.271,0.968709,0.94879
737.292,0.96882,0.948932
737.313,0.968857,0.94903
737.333,0.968973,0.949145
737.354,0.967799,0.948318
737.375,0.965653,0.946258
737.396,0.968802,0.94887
737.417,0.968791,0.948836
737.438,0.968922,0.948872
737.458,0.968663,0.948617
737.479,0.969075,0.948862
737.5,0.969352,0.949017
737.521,0.96962,0.949106
737.542,0.969911,0.949414
737.563,0.9698,0.94922
737.583,0.969911,0.949412
737.604,0.969754,0.94938
737.625,0.96997,0.949654
737.646,0.968695,0.948421
737.667,0.970323,0.949979
737.688,0.971173,0.951064
737.708,0.971046,0.950933
737.729,0.970965,0.950865
737.75,0.970695,0.950658
737.771,0.969358,0.949195
737.792,0.969113,0.949057
737.813,0.968978,0.948949
737.833,0.968948,0.948943
737.854,0.969043,0.949016
737.875,0.969053,0.949044
737.896,0.969046,0.949061
737.917,0.968851,0.948959
737.938,0.968733,0.948906
737.958,0.968785,0.94889
737.979,0.968718,0.948871
738,0.968901,0.948996
738.021,0.969158,0.949115
738.042,0.969435,0.949304
738.063,0.969502,0.949373
738.083,0.969497,0.949331
738.104,0.969734,0.949529
738.125,0.969639,0.949503
738.146,0.969648,0.949472
738.167,0.969589,0.949386
738.188,0.969402,0.949196
738.208,0.969636,0.949477
738.229,0.969502,0.949384
738.25,0.969148,0.948927
738.271,0.969167,0.948962
738.292,0.969005,0.948841
738.313,0.969237,0.949025
738.333,0.969577,0.949333
738.354,0.969069,0.949119
738.375,0.968917,0.94903
738.396,0.969216,0.949051
738.417,0.969691,0.949396
738.438,0.971101,0.951006
738.458,0.971594,0.951813
738.479,0.971364,0.951401
738.5,0.971673,0.951684
738.521,0.971949,0.951935
738.542,0.972416,0.952398
738.563,0.972077,0.951803
738.583,0.972485,0.95198
738.604,0.972696,0.951946
738.625,0.972901,0.952105
738.646,0.973161,0.952185
738.667,0.97329,0.952322
