x,y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10],z[11],z[12],z[13],z[14],z[15],z[16],z[17],z[18],z[19],z[20],z[21],z[22],z[23],z[24],z[25],z[26],z[27],z[28],z[29],z[30],z[31],z[32],z[33],z[34],z[35],z[36],z[37],z[38],z[39],z[40],z[41],z[42],z[43],z[44],z[45],z[46],z[47],z[48],z[49]
c161ff,0b4b6b,2b8b94,e7d6f8,cddb22,dbd8ea,62dc5a,d36a73,020d9b,93b7f3,fae36d,f30cdc,fb9cd9,988e76,3f0763,d8e68a,3e1141,1a208b,f6825e,98b707,53decd,71687c,ce635e,125334,786a17,ca5167,cb13b4,dc4915,6886be,7cb578,a8f1aa,62bf51,220331,8ee855,de5f19,27ebee,2a35c5,8281e6,361e27,a20f6e,095e52,d7d4ce,39810b,431913,663ed3,6b242d,eecbb7,26a953,29dade,3be04c,5bee6c,a12496
161176000,11:46:23,-75.2976,-74.8743,-75.1074,-77.2038,-76.3283,-76.2477,-78.6156,-76.3022,-77.6194,-76.0341,-79.4302,-77.4429,-76.9607,-76.712,-82.4286,-77.6748,-77.4275,-76.8988,-75.9787,-76.4147,-77.0029,-79.3066,-76.9203,-76.1329,-76.9035,-76.449,-76.6719,-90.5602,-78.0812,-77.0455,-80.4508,-77.6398,-77.021,-77.1203,-78.1618,-76.0368,-76.5514,-76.8527,-76.6331,-76.8706,-76.8178,-77.2007,-75.5386,-77.017,-76.9208,-77.3296,-82.2077,-76.4973,-76.6852,-76.3503
161180000,11:46:23,-73.0503,-72.6381,-72.5175,-74.9476,-76.609,-75.0097,-75.9887,-74.3782,-77.1376,-73.8155,-77.6584,-76.4191,-75.2923,-74.7129,-80.3365,-76.2016,-75.7989,-74.9449,-75.9596,-75.237,-74.4342,-75.8375,-75.3661,-74.8718,-75.6685,-75.1993,-75.6193,-87.5931,-75.7311,-75.9092,-79.0989,-76.1215,-75.6916,-75.3118,-77.1488,-75.1151,-75.3888,-76.6003,-75.2833,-76.6613,-75.6663,-74.7923,-74.0276,-75.3654,-76.0677,-75.6066,-80.2456,-76.4744,-75.3086,-74.8026
161184000,11:46:23,-72.6438,-72.8647,-72.1678,-74.1052,-77.332,-75.1911,-75.4143,-74.1834,-75.4125,-73.9126,-77.406,-77.1724,-74.3988,-74.3623,-79.9411,-75.4933,-75.7193,-75.0275,-76.6342,-75.1539,-73.3418,-74.4919,-75.2628,-74.8807,-74.502,-74.287,-75.0567,-85.8691,-76.1741,-76.514,-79.9997,-76.1859,-75.0949,-75.2181,-76.9423,-75.0712,-74.5108,-76.6508,-75.5489,-75.7912,-75.7826,-74.4723,-75.2592,-75.571,-75.6667,-75.7912,-79.8461,-75.7873,-75.0587,-74.5632
161188000,11:46:23,-74.2582,-73.6986,-73.6772,-74.4085,-77.4812,-76.4697,-76.1559,-76.0375,-75.9654,-75.437,-77.9421,-77.3146,-74.3743,-75.5638,-81.7432,-76.4161,-77.485,-75.2895,-76.6329,-76.9409,-75.6777,-77.2551,-75.9969,-75.6864,-75.8314,-75.6481,-76.8122,-86.7862,-76.7871,-76.8352,-79.1448,-76.9732,-77.9581,-76.7468,-75.9631,-76.9902,-75.4635,-75.9777,-76.749,-75.9154,-76.3807,-75.3716,-77.2683,-76.2307,-76.5584,-75.4129,-80.925,-75.9799,-76.898,-76.9477
161192000,11:46:23,-72.8731,-70.4996,-72.0312,-72.5023,-74.8274,-76.6293,-73.2534,-73.3502,-76.0144,-73.4662,-78.1187,-73.606,-72.6053,-74.386,-82.008,-73.7715,-76.4588,-72.9375,-75.7937,-75.4004,-75.0787,-74.8484,-72.4012,-72.0948,-73.4584,-73.4452,-75.2522,-87.0165,-75.8336,-74.2132,-77.4334,-76.341,-77.6972,-75.6398,-73.671,-73.1098,-73.4296,-73.8168,-75.6511,-75.2527,-74.4586,-72.7193,-74.7202,-74.2895,-76.4254,-72.8265,-79.8606,-74.5149,-75.209,-75.691
161196000,11:46:23,-73.925,-72.2956,-72.8871,-74.0585,-75.2991,-76.7365,-75.2911,-75.0036,-75.7259,-74.1617,-78.5517,-74.704,-74.8232,-75.9745,-81.5007,-74.9595,-76.798,-75.1926,-76.5028,-76.2583,-76.0232,-76.4888,-73.7039,-75.123,-74.2902,-75.4936,-75.699,-87.5181,-76.8374,-76.7535,-78.34,-76.3889,-78.0016,-76.279,-75.6342,-74.7692,-74.8335,-75.3567,-77.8251,-75.5188,-74.82,-74.7963,-76.0991,-75.0934,-76.4173,-74.2365,-79.9719,-76.11,-76.5637,-76.6909
161200000,11:46:24,-74.0957,-74.5282,-73.5948,-75.7597,-75.2679,-76.4944,-78.5839,-77.9933,-76.9483,-75.6365,-80.5968,-76.0506,-76.3423,-77.6048,-81.0762,-76.6295,-76.4339,-77.5939,-77.752,-76.7041,-77.2856,-76.9753,-75.8071,-76.8385,-75.0753,-77.6663,-77.9084,-89.0275,-77.9071,-79.239,-79.1337,-76.947,-77.5147,-76.5441,-76.6477,-77.0461,-77.7838,-76.3322,-77.6162,-75.5732,-76.9639,-75.929,-76.1905,-75.7359,-76.8494,-75.5954,-80.9287,-76.7571,-76.5019,-78.6233
161204000,11:46:24,-73.9229,-74.3421,-73.4249,-75.0182,-74.2659,-74.6854,-75.6869,-78.0701,-75.8146,-75.379,-80.6677,-77.0102,-74.9984,-76.635,-81.2568,-76.6776,-77.0509,-76.8456,-76.3576,-76.6941,-77.4865,-76.762,-76.1752,-76.6841,-76.4239,-76.9761,-77.9354,-88.5799,-77.7942,-78.4276,-80.3825,-78.0679,-77.2873,-77.3407,-76.7342,-76.4789,-75.4719,-77.9125,-76.9034,-76.9104,-78.1274,-76.1793,-76.539,-77.6809,-77.6619,-75.4969,-80.5934,-77.296,-75.1722,-77.4858
161208000,11:46:24,-73.786,-73.1098,-73.7591,-74.462,-74.6993,-74.502,-75.8768,-76.766,-75.3654,-74.7211,-78.6114,-75.23,-75.628,-76.3148,-81.9386,-76.0341,-76.3,-75.0651,-74.734,-76.0443,-76.3065,-75.6675,-76.713,-77.2073,-76.4596,-75.3636,-75.7737,-88.1808,-77.5468,-76.5914,-79.5742,-77.1289,-75.8456,-77.6574,-76.4752,-76.6859,-76.3405,-76.8777,-75.1699,-76.3345,-75.9144,-76.2358,-75.739,-76.4766,-77.1145,-75.8158,-79.9793,-74.8863,-75.3749,-76.6612
