x (1),y (1)
d4ec63,d5fb69
2018-01-10 20:06:15,20.1
2018-01-10 21:06:15,20.0
2018-01-10 22:06:15,20.1
2018-01-10 23:06:15,20.4
2018-01-11 00:06:15,20.4
2018-01-11 01:06:15,20.2
2018-01-11 02:06:15,19.8
2018-01-11 03:06:15,19.5
2018-01-11 04:06:15,19.4
2018-01-11 05:06:15,19.2
2018-01-11 06:06:15,19.1
2018-01-11 07:06:15,19.0
2018-01-11 08:06:15,19.5
2018-01-11 09:06:15,19.5
2018-01-11 10:06:15,19.2
2018-01-11 11:06:15,19.4
2018-01-11 12:06:15,19.5
2018-01-11 13:06:15,19.4
2018-01-11 14:06:15,19.5
2018-01-11 15:06:15,19.4
2018-01-11 16:06:15,19.3
2018-01-11 17:06:15,19.4
2018-01-11 18:06:15,20.2
2018-01-11 19:06:15,20.5
2018-01-11 20:06:15,20.3
2018-01-11 21:06:15,20.3
2018-01-11 22:06:15,20.5
2018-01-11 23:06:15,20.3
2018-01-12 00:06:15,20.5
2018-01-12 01:06:15,19.8
2018-01-12 02:06:15,19.4
2018-01-12 03:06:15,19.2
2018-01-12 04:06:15,19.1
2018-01-12 05:06:15,19.0
2018-01-12 06:06:15,19.2
2018-01-12 07:06:15,19.0
2018-01-12 08:06:15,19.2
2018-01-12 09:06:15,19.9
2018-01-12 10:06:15,19.8
2018-01-12 11:06:15,19.7
2018-01-12 12:06:15,20.1
2018-01-12 13:06:15,19.6
2018-01-12 14:06:15,19.7
2018-01-12 15:06:15,19.7
2018-01-12 16:06:15,19.4
2018-01-12 17:06:15,19.4
2018-01-12 18:06:15,19.6
2018-01-12 19:06:15,20.8
2018-01-12 20:06:15,21.2
2018-01-12 21:06:15,21.1
