"Past, x","Past, y","True value, x; DeepAR, x; DeepAR23, x; Slim4, x; GBM","True value, y","DeepAR, y","DeepAR, array","DeepAR, arrayminus","DeepAR23, y","DeepAR23, array","DeepAR23, arrayminus","Slim4, y"
eafc4f,2898b1,005f8b,e8f10f,21cde3,e80600,dc5117,2dbbc6,93d5e3,935203,f62bd3
2016-05-09,1037,2017-05-08,1322,1392,501,368,1881,509,428,1473
2016-05-16,1124,2017-05-15,1851,1636,526,464,2136,738,599,1472
2016-05-23,1119,2017-05-22,2216,1747,636,487,2015,801,613,1475
2016-05-30,1169,2017-05-29,2305,1632,747,574,1780,852,574,1475
2016-06-06,1059,2017-06-05,1555,1460,720,529,1878,756,618,1476
2016-06-13,1232,2017-06-12,1420,1708,845,669,2120,887,690,1475
2016-06-20,1768,2017-06-19,1464,1751,830,866,1922,964,578,1665
2016-06-27,1957,2017-06-26,1557,1457,777,606,1700,963,553,2101
2016-07-04,1213,2017-07-03,1216,1372,892,658,1758,880,663,2101
2016-07-11,1537,2017-07-10,1217,1600,892,820,1727,960,567,2101
2016-07-18,1812,2017-07-17,1888,1581,996,713,1672,805,656,2101
2016-07-25,1619,2017-07-24,2738,1584,1032,781,1654,886,640,2518
2016-08-01,1638,2017-07-31,2327,1710,868,760,1693,849,560,2538
2016-08-08,1736,2017-08-07,,,,,,,,
2016-08-15,3322,2017-08-14,,,,,,,,
2016-08-22,3606,2017-08-21,,,,,,,,
2016-08-29,2273,2017-08-28,,,,,,,,
2016-09-05,2948,2017-09-04,,,,,,,,
2016-09-12,4062,2017-09-11,,,,,,,,
2016-09-19,2734,2017-09-18,,,,,,,,
2016-09-26,2034,2017-09-25,,,,,,,,
2016-10-03,2087,2017-10-02,,,,,,,,
2016-10-10,1975,2017-10-09,,,,,,,,
2016-10-17,2271,2017-10-16,,,,,,,,
2016-10-24,2831,2017-10-23,,,,,,,,
2016-10-31,1941,2017-10-30,,,,,,,,
2016-11-07,1653,2017-11-06,,,,,,,,
2016-11-14,1593,2017-11-13,,,,,,,,
2016-11-21,2203,2017-11-20,,,,,,,,
2016-11-28,2558,2017-11-27,,,,,,,,
2016-12-05,1186,2017-12-04,,,,,,,,
2016-12-12,1406,2017-12-11,,,,,,,,
2016-12-19,1728,2017-12-18,,,,,,,,
2016-12-26,2179,2017-12-25,,,,,,,,
2017-01-02,2175,2018-01-01,,,,,,,,
2017-01-09,1095,2018-01-08,,,,,,,,
2017-01-16,1924,2018-01-15,,,,,,,,
2017-01-23,2286,2018-01-22,,,,,,,,
2017-01-30,1234,2018-01-29,,,,,,,,
2017-02-06,1029,2018-02-05,,,,,,,,
2017-02-13,1516,2018-02-12,,,,,,,,
2017-02-20,2304,2018-02-19,,,,,,,,
2017-02-27,1285,2018-02-26,,,,,,,,
2017-03-06,1249,2018-03-05,,,,,,,,
2017-03-13,1551,2018-03-12,,,,,,,,
2017-03-20,1286,2018-03-19,,,,,,,,
2017-03-27,1206,2018-03-26,,,,,,,,
2017-04-03,1112,2018-04-02,,,,,,,,
2017-04-10,2246,2018-04-09,,,,,,,,
2017-04-17,1541,2018-04-16,,,,,,,,
2017-04-24,1749,2018-04-23,,,,,,,,
2017-05-01,1478,2018-04-30,,,,,,,,
