"sell, x; profit, x; change_bal, x","sell, y","buy, x","buy, y","ma1h, x; ma24h, x; close, x; ticker, x","ma1h, y","profit, y","allTimeHigh, x","allTimeHigh, y","ma24h, y","close, y; ticker, y","change_bal, y"
8e18fb,a797f3,d45860,265162,bc0273,0b16b6,378799,97d747,6a8027,a08df8,9f6aef,e1b81c
2017-05-28 13:40:00,2190.9,2016-11-26 15:40:00,731.87,2016-11-26 15:40:00,,7238.8917244715,2016-11-26 15:40:00,731.87,,731.87,7238.8917244715
2017-06-06 06:30:00,2798.2,2017-05-28 13:45:00,2167.6,2016-11-26 15:45:00,,10351.3982005019,2016-11-26 17:00:00,732,,731.86,3112.5064760304
2017-06-06 06:45:00,2825,2017-06-06 06:35:00,2780,2016-11-26 15:50:00,,10521.2212777039,2016-11-26 17:05:00,732.34,,731.42,169.823077202
2017-07-21 02:50:00,2819,2017-06-06 07:30:00,2780.4,2016-11-26 15:55:00,,10660.5744705808,2016-11-27 01:10:00,732.48,,731.26,139.3531928769
2017-07-21 03:25:00,2815.5,2017-07-21 03:20:00,2742,2016-11-26 16:00:00,,10985.5243465249,2016-11-27 15:45:00,735,,731.25,324.9498759441
2017-07-21 03:35:00,2809.4,2017-07-21 03:30:00,2766.2,2016-11-26 16:05:00,,11154.727032931,2016-11-27 16:50:00,735.33,,729.59,169.2026864061
2017-07-21 03:55:00,2865.1,2017-07-21 03:40:00,2785.6,2016-11-26 16:10:00,,11516.4749253986,2016-11-27 16:55:00,736.18,,730.21,361.7478924676
2017-08-05 07:15:00,3135.6,2017-07-21 04:00:00,2835.5,2016-11-26 16:15:00,,13054.9346125568,2016-11-30 11:40:00,736.61,,729.07,1538.4596871583
2017-08-05 07:25:00,3146.5,2017-08-05 07:20:00,3100,2016-11-26 16:20:00,,13237.7877986357,2016-11-30 11:45:00,739.55,,728.99,182.8531860789
2017-08-05 07:35:00,3180,2017-08-05 07:30:00,3099.9,2016-11-26 16:25:00,,13604.9994836349,2016-11-30 11:50:00,739.89,,729.78,367.2116849992
2017-08-05 08:30:00,3240,2017-08-05 07:40:00,3143.4,2016-11-26 16:30:00,,14064.2750843006,2016-11-30 12:30:00,739.98,,731.3,459.2756006657
2017-08-05 13:15:00,3219.1,2017-08-05 08:35:00,3179.9,2016-11-26 16:35:00,,14211.0130049754,2016-11-30 12:45:00,739.99,,731.67,146.7379206748
2017-08-05 21:45:00,3331.3,2017-08-05 13:45:00,3200.7,2016-11-26 16:40:00,730.6525,14865.6330750564,2016-11-30 13:00:00,740.57,,731.43,654.620070081
2017-09-15 18:50:00,3625.9,2017-08-05 21:50:00,3296.5,2016-11-26 16:45:00,730.575,16634.7018512275,2016-11-30 15:25:00,741.36,,730.93,1769.0687761711
