x,y,z[0],z[1],z[2],z[3],z[4],z[5],z[6],z[7],z[8],z[9],z[10],z[11],z[12],z[13],z[14],z[15],z[16],z[17],z[18],z[19],z[20],z[21],z[22],z[23]
3cac34,c21a30,85f866,17fa3c,de5391,732111,2dd450,bb799b,fa8da2,cf87a7,023fe5,97f257,bcc8a7,1c6076,aca87d,8f4a8d,c225ab,ab4475,30d30a,dd0e25,fcd866,d19842,8b68f2,f6f407,69b022,ffbb86
12 AM,Monday,533.0,416.0,102.0,12.0,0.0,0.0,0.0,5.0,133.0,76.0,130.0,295.0,273.0,165.0,459.0,247.0,192.0,336.0,1244.0,1145.0,661.0,643.0,511.0,1096.0
01 AM,Tuesday,868.0,396.0,24.0,7.0,0.0,0.0,0.0,52.0,211.0,23.0,97.0,382.0,262.0,211.0,175.0,70.0,127.0,802.0,1191.0,1136.0,1115.0,911.0,1036.0,1019.0
02 AM,Wednesday,822.0,209.0,51.0,0.0,0.0,0.0,0.0,46.0,190.0,40.0,25.0,270.0,295.0,465.0,428.0,387.0,116.0,423.0,1271.0,1353.0,750.0,658.0,999.0,1352.0
03 AM,Thursday,1105.0,342.0,153.0,9.0,0.0,0.0,0.0,15.0,280.0,75.0,203.0,350.0,420.0,330.0,70.0,238.0,156.0,477.0,1200.0,1423.0,1203.0,762.0,986.0,1168.0
04 AM,Friday,890.0,354.0,54.0,0.0,0.0,0.0,0.0,35.0,242.0,76.0,189.0,208.0,91.0,157.0,270.0,157.0,129.0,379.0,655.0,814.0,601.0,603.0,830.0,663.0
05 AM,Saturday,1012.0,820.0,351.0,165.0,0.0,0.0,0.0,0.0,19.0,58.0,303.0,1003.0,1121.0,1044.0,942.0,767.0,528.0,385.0,539.0,641.0,545.0,569.0,598.0,461.0
06 AM,Sunday,780.0,572.0,388.0,11.0,0.0,0.0,0.0,0.0,23.0,105.0,312.0,465.0,1051.0,802.0,678.0,591.0,392.0,231.0,371.0,443.0,384.0,492.0,1122.0,1123.0
07 AM,,,,,,,,,,,,,,,,,,,,,,,,,
08 AM,,,,,,,,,,,,,,,,,,,,,,,,,
09 AM,,,,,,,,,,,,,,,,,,,,,,,,,
10 AM,,,,,,,,,,,,,,,,,,,,,,,,,
11 AM,,,,,,,,,,,,,,,,,,,,,,,,,
12 PM,,,,,,,,,,,,,,,,,,,,,,,,,
01 PM,,,,,,,,,,,,,,,,,,,,,,,,,
02 PM,,,,,,,,,,,,,,,,,,,,,,,,,
03 PM,,,,,,,,,,,,,,,,,,,,,,,,,
04 PM,,,,,,,,,,,,,,,,,,,,,,,,,
05 PM,,,,,,,,,,,,,,,,,,,,,,,,,
06 PM,,,,,,,,,,,,,,,,,,,,,,,,,
07 PM,,,,,,,,,,,,,,,,,,,,,,,,,
08 PM,,,,,,,,,,,,,,,,,,,,,,,,,
09 PM,,,,,,,,,,,,,,,,,,,,,,,,,
10 PM,,,,,,,,,,,,,,,,,,,,,,,,,
11 PM,,,,,,,,,,,,,,,,,,,,,,,,,
