x,y
f7a8b6,ae6cfa
2015-10-15,44
2015-10-16,66
2015-10-17,37
2015-10-18,36
2015-10-19,31
2015-10-20,33
2015-10-21,57
2015-10-22,64
2015-10-23,81
2015-10-24,41
2015-10-25,237
2015-10-26,69
2015-10-27,130
2015-10-28,145
2015-10-29,254
2015-10-30,128
2015-10-31,124
2015-11-01,130
2015-11-02,130
2015-11-03,125
2015-11-04,114
2015-11-05,149
2015-11-06,137
2015-11-07,94
2015-11-08,331
2015-11-09,175
2015-11-10,181
2015-11-11,124
2015-11-12,135
2015-11-13,155
2015-11-14,85
2015-11-15,167
2015-11-16,242
2015-11-17,195
2015-11-18,137
2015-11-19,112
2015-11-20,150
2015-11-21,160
2015-11-22,81
2015-11-23,169
2015-11-24,63
2015-11-25,153
2015-11-26,43
2015-11-27,15
2015-11-28,33
2015-11-29,179
2015-11-30,189
2015-12-01,651
2015-12-02,446
2015-12-03,381
2015-12-04,436
2015-12-05,422
2015-12-06,109
2015-12-07,424
2015-12-08,638
2015-12-09,351
2015-12-10,686
2015-12-11,305
2015-12-12,216
2015-12-13,626
2015-12-14,506
2015-12-15,457
2015-12-16,511
2015-12-17,489
2015-12-18,252
2015-12-19,708
2015-12-20,305
2015-12-21,133
2015-12-22,331
2015-12-23,577
2015-12-24,324
2015-12-25,99
2015-12-26,314
2015-12-27,221
2015-12-28,128
2015-12-29,173
2015-12-30,423
2015-12-31,208
2016-01-01,249
2016-01-02,156
2016-01-03,255
2016-01-04,188
2016-01-05,170
2016-01-06,78
2016-01-07,163
2016-01-08,150
2016-01-09,162
2016-01-10,232
2016-01-11,208
2016-01-12,191
2016-01-13,218
2016-01-14,154
2016-01-15,109
2016-01-16,226
2016-01-17,123
2016-01-18,106
2016-01-19,128
2016-01-20,79
2016-01-21,148
2016-01-22,214
2016-01-23,41
2016-01-24,271
2016-01-25,140
2016-01-26,219
2016-01-27,79
2016-01-28,201
2016-01-29,173
2016-01-30,661
2016-01-31,305
2016-02-01,477
2016-02-02,543
2016-02-03,157
2016-02-04,417
2016-02-05,623
2016-02-06,266
2016-02-07,319
2016-02-08,324
2016-02-09,196
2016-02-10,420
2016-02-11,435
2016-02-12,402
2016-02-13,591
2016-02-14,204
2016-02-15,196
2016-02-16,137
2016-02-17,232
2016-02-18,23
