x,y
677c4d,3766a3
0,3.0341666667
1,2.7529166667
2,2.29
3,2.2545833333
4,1.8133333333
5,2.25375
6,2.385
7,2.5120833333
8,2.7166666667
9,2.8133333333
10,2.6241666667
11,3.1333333333
12,3.3866666667
13,3.4033333333
14,3.5066666667
15,3.8920833333
16,3.7545833333
17,3.4620833333
18,3.0645833333
19,3.4016666667
20,3.5691666667
21,3.4508333333
22,2.6395833333
23,2.6804166667
24,2.0316666667
25,2.1966666667
26,2.73375
27,2.3991666667
28,3.3433333333
29,3.1954166667
30,3.1095833333
31,2.75375
32,2.1391666667
33,2.3733333333
34,1.8854166667
35,2.3354166667
36,2.4470833333
37,2.43875
38,2.6120833333
39,2.38625
40,2.69125
41,2.6979166667
42,3.1683333333
43,3.4016666667
44,3.2054166667
45,3.5691666667
46,3.98875
47,3.67125
48,3.5579166667
49,3.1758333333
50,3.5604166667
51,3.4083333333
52,3.4654166667
53,2.595
54,2.7666666667
55,1.8991666667
56,2.2925
57,2.81125
58,2.45125
59,3.175
60,3.1270833333
61,2.9954166667
62,2.8466666667
63,2.2779166667
64,2.3795833333
65,1.8016666667
66,2.2670833333
67,2.3225
68,2.4745833333
69,2.63625
70,2.4191666667
71,2.6720833333
72,2.6575
73,3.1725
74,3.5308333333
75,3.4179166667
76,3.5208333333
77,3.8770833333
78,3.6991666667
79,3.56375
80,2.96375
81,3.4745833333
82,3.5279166667
83,3.4554166667
84,2.6283333333
85,2.6833333333
86,1.89
87,2.2745833333
88,2.8195833333
89,2.4154166667
90,3.2216666667
91,3.3025
92,3.0054166667
93,2.7058333333
94,2.23875
95,2.3975
96,1.8004166667
97,2.2766666667
98,2.31875
99,2.50375
