"Adults, lat","Adults, lon","Adults, Larvae, lat","Adults, Larvae, lon","Larvae, lat","Larvae, lon","Unknown, lat","Unknown, lon"
67f95d,608944,87cb6f,61ce75,afdd07,609203,ae66de,5a2dae
7.669,36.869,-12.787,45.209,15.1134,-23.5639,16.417,-14.067
-28.133,31.866,-24.556,33.983,15.0538,-23.6086,7.1083,-5.3583
-28.2275,32.2767,-24.965,34.033,15.234,-23.654,17.1997,8.1006
-27.8333,32.1667,-22.0834,31.6832,-16.9963,32.6673,5.2667,-3.2833
10.366,7.1261,-22.871,31.978,-8.203,36.713,14.401,-16.167
-27.5667,32.3,-12.8008,45.2061,4.2,9.299,6.9167,-7.5833
-27.1322,31.9942,-12.85,45.116,15.0888,-23.6383,16.5749,-14.2174
-30.5,29.567,-24.6889,33.2597,15.0958,-23.6685,14.497,-16.505
-26.8424,32.0202,-25.04,33.639,-16.0894,30.6977,5.8333,-7.4
17.9893,0.3619,-22.04,34.13,4.1578,9.3164,5.05,-5.7833
16.3847,-0.0514,-24.6231,33.1122,14.9548,-23.4761,9.33,-5.65
16.1933,-0.0317,-24.7397,33.2958,15.133,-23.567,5.7807,36.5716
6.5701,-2.1554,13.8073,8.9694,4.12,9.41,7.0667,-5.6
6.6244,-1.2179,-25.966,32.465,-8.283,36.672,5.0667,-5.7667
6.6186,-1.2097,11.179,8.226,4.102,9.6283,5.7833,36.55
10.433,7.167,10.668,7.484,15.0107,-23.599,4.8,35.9666
6.7667,-1.1,13.4926,2.1536,15.192,-23.6443,9.5833,-5.6833
-28.738,29.8374,10.6955,7.5112,15.2795,-23.7522,16.484,-14.135
-29.1036,26.1974,10.539,7.4695,15.0179,-23.4814,5.1306,-5.0233
7.0258,-2.3408,10.4998,7.388,-8.7967,13.4804,7.1167,-5.55
6.7673,-2.5078,10.668,7.382,-10.776,14.249,14.534,-16.351
7.0567,-1.3901,11.18,7.27,16.135,-22.885,7.0167,-5.4833
-16.0289,34.9791,10.5706,7.4545,-8.8167,13.2747,5.3,-6.2833
6.8833,-1.2833,10.5769,7.4572,4.3636,18.6232,7.1292,-5.275
-15.332,35.481,13.5023,2.073,4.1,9.31,-1.127,12.503
-26.1461,27.97,13.5054,2.0867,15.028,-24.332,7.65,-7.3167
10.5077,7.0402,13.4959,2.104,-6.2034,39.2077,6.36,2.43
6.744,-1.5608,10.5702,7.4553,-8.8584,13.2541,-1.5207,33.8023
10.1,43.7833,10.55,7.65,4.3772,18.5676,14.083,-16.168
6.708,-1.6214,10.4001,7.4958,-8.8077,13.297,,
12.6614,-7.9444,10.614,7.23,4.05,9.699,7.2333,-7.4167
10.5414,7.1386,11.2,7.75,10.924,14.9978,7.3833,-7.6667
-29.752,24.787,13.457,2.117,15.183,-23.233,7.4667,-7.6333
6.8667,-1.5,13.5018,2.1145,-11.4062,14.2983,-11.758,43.378
6.9438,-2.5146,13.5069,2.1092,16.7543,-22.9762,4.8167,-6.6333
6.8,-1.0833,13.5465,2.096,4.0713,9.6808,5.0333,-6.5
-26.8729,32.249,13.5174,2.1058,14.9213,-23.5022,4.639,-6.9186
13.383,-16.751,13.4765,2.1772,4.0473,9.7114,-1.2597,29.9971
13.235,-16.502,13.5029,2.1229,4.09,9.37,5.0667,-6.45
13.1933,-16.5804,13.504,2.1141,10.3667,15.45,-15.38,27.8
13.186,-16.5738,13.4992,2.1182,-8.067,36.721,5.2358,-6.2627
-27.567,32.083,8.717,8.533,4.0456,9.694,-12.2111,44.4253
-29.3333,31.3333,8.486,8.521,4.024,9.7149,6.3901,2.427
13.3724,-16.6339,13.5146,2.1165,-18.0805,29.8555,5.1951,-3.7818
13.228,-16.091,6.549,3.4788,4.0288,9.7316,5.9667,-6.45
13.2431,-16.3799,6.604,3.324,4.0191,9.7727,5.5994,36.2329
-28.5306,30.8958,6.422,2.892,5.764,10.593,16.7131,-9.6379
13.216,-16.2,8.817,4.649,5.6103,10.6067,14.482,-16.399
13.5,-14.018,12.21,4.02,4.0034,9.8083,5.6833,-6.05
-28.666,31.033,12.544,7.827,5.633,10.232,7.0917,-5.4
13.4127,-14.1202,12.101,8.75,4.0096,9.7003,7.2417,-5.3333
-28.5667,31.9667,12.21,8.28,9.2941,13.4391,7.125,-5.3333
6.601,-1.217,9.582,8.29,8.5179,16.7761,4.912,-6.1508
13.4038,-16.6752,13.5267,2.1142,-21.0466,31.6723,7.6125,-5.5333
13.268,-16.767,12.43,9.195,9.3,13.3833,7.2667,-5.2861
6.466,-1.784,6.338,5.625,9.433,13.367,7.5944,-5.5708
6.452,-1.8,14.7528,0.8763,-5.366,12.499,8.5,36.8669
6.1304,-1.8233,14.548,1.083,-12.3,15.433,11.8668,-15.7669
6.2333,-1.7167,14.583,1.114,6.2,10.67,7.7916,-11.3674
6.1667,-1.7183,13.797,8.991,9.1333,15.8,8.0428,-11.1056
-27.8333,32.1667,13.6793,8.531,,,16.4438,-16.28
13.0902,-16.7544,13.706,9.159,-15.3999,13.4839,11.664,8.266
6.9516,-1.5101,14.953,0.781,-8.7115,15.3786,6.4719,2.4121
6.3149,-1.4937,13.7851,8.929,9.4497,13.519,7.9331,38.7167
-27.5667,32.3,13.917,8.983,-9.4799,14.7088,-5.1833,38.8666
6.2896,-1.4591,14.548,1.245,9.4,15.9833,9.666,42.333
6.268,-1.468,14.702,1.264,9.3167,15.8,4.8175,36.9503
-27.065,32.233,13.692,9.513,-6.2298,39.2583,10.684,-2.951
6.2591,-1.4448,14.916,0.847,10.95,15.5333,6.4833,38.1
14.2635,-10.5015,13.837,8.9801,10.9333,15.5333,6.7328,39.5333
14.4312,-10.3766,13.98,10.275,10.7833,15.7667,7.3,2.0667
6.783,-2.418,13.665,9.832,8.6062,16.4359,,
6.9338,-2.3544,14.301,10.065,-9.098,36.721,11.5938,37.3786
5.416,-1.116,14.535,1.1,-17.3827,15.8883,11.5001,39.6
-16.9825,35.1971,6.467,7.416,4.0435,9.7424,11.0866,39.7367
5.39,-0.97,14.735,0.92,-18.9782,32.664,11.325,39.6886
5.6695,-0.6151,14.801,0.365,-8.766,13.432,13.7,31.116
5.701,-0.618,13.796,5.2503,-16.8726,32.4851,11.1199,39.9534
5.12,-1.2133,5.58,5.85,-9.83,14.864,10.3488,39.9346
5.3848,-0.5879,6.818,8.667,4.0892,9.7428,13.5167,29.9667
5.1953,-1.2294,14.818,5.649,-11.033,14.599,11.4222,40.764
7.4961,-2.0255,15.0986,4.9636,4.0394,9.687,11.7833,41.5
7.813,-1.9096,14.8768,5.0762,-8.09,36.721,15.9403,38.2823
7.217,-2.236,15.0459,5.3763,4.0286,9.7317,2.9471,30.9337
7.22,-2.183,15.4098,5.7343,-11.051,14.7,3.1023,31.6678
7.1849,-2.027,15.8969,5.7985,4.3783,18.5181,12.0667,3.1833
7.252,-2.235,13.9997,2.6581,-17.982,20.733,,
5.2442,-1.2314,14.352,3.334,-11.208,13.849,7.725,-5.5125
7.3349,-2.1307,13.671,1.815,4.0741,9.685,-2.446,32.43
-16.8833,35.2833,15.103,2.714,-8.082,36.719,8.7,38.616
5.416,-0.6122,14.75,0.631,4.3402,18.5419,7.6667,-5.5333
5.116,-1.368,14.9709,8.8877,3.9883,9.7416,7.5458,-5.5167
5.1454,-1.3918,14.654,0.53,-17.22,31.8442,7.85,-5.45
10.5358,7.457,14.767,0.532,-4.773,12.557,7.6667,-5.6
5.0896,-1.3577,14.7184,0.9225,-12.3833,16.9333,7.6417,-5.5667
-14.382,35.198,-25.898,32.483,-12.805,17.061,7.7417,-5.525
