x,y
a2e628,0b833b
19.11.2016 16:30:40,11.9
19.11.2016 16:38:51,11.9
19.11.2016 16:52:51,11.9
19.11.2016 17:52:58,11.9
19.11.2016 18:53:05,12.0
19.11.2016 19:53:11,12.0
19.11.2016 20:53:17,12.1
19.11.2016 21:53:23,12.0
19.11.2016 22:53:28,11.9
19.11.2016 23:53:34,11.9
20.11.2016 00:53:40,11.8
20.11.2016 01:53:46,11.8
20.11.2016 02:53:52,11.7
20.11.2016 03:53:59,11.7
20.11.2016 04:01:35,11.7
20.11.2016 05:01:42,11.6
20.11.2016 06:01:48,11.7
20.11.2016 07:01:54,11.6
20.11.2016 08:02:00,11.6
20.11.2016 09:02:14,11.8
20.11.2016 10:02:26,11.9
20.11.2016 11:04:41,11.8
20.11.2016 12:04:55,12.1
20.11.2016 13:05:08,12.0
20.11.2016 14:05:20,12.1
20.11.2016 14:26:48,12.0
20.11.2016 14:50:30,12.1
20.11.2016 15:50:36,11.9
20.11.2016 16:50:42,12.0
20.11.2016 17:50:49,12.1
20.11.2016 18:50:56,12.1
20.11.2016 19:51:02,12.0
20.11.2016 20:51:08,12.0
20.11.2016 21:51:14,12.1
20.11.2016 22:51:40,11.9
20.11.2016 23:51:47,12.0
21.11.2016 00:52:48,12.0
21.11.2016 01:53:49,12.1
21.11.2016 02:54:50,12.1
21.11.2016 03:55:51,12.2
21.11.2016 04:01:17,12.1
21.11.2016 05:02:18,12.1
21.11.2016 06:03:19,12.1
21.11.2016 07:04:20,12.1
21.11.2016 08:05:21,12.1
21.11.2016 09:06:43,12.2
21.11.2016 10:08:06,12.3
21.11.2016 11:09:28,12.7
21.11.2016 12:10:50,12.9
21.11.2016 13:12:12,13.9
21.11.2016 14:13:35,13.2
21.11.2016 15:14:57,12.4
21.11.2016 16:15:58,12.4
21.11.2016 17:16:59,12.3
21.11.2016 18:18:00,12.3
21.11.2016 19:19:01,12.3
21.11.2016 20:20:02,12.2
21.11.2016 21:21:04,12.3
21.11.2016 22:22:05,12.2
21.11.2016 23:23:06,12.2
22.11.2016 00:24:07,12.2
22.11.2016 01:25:08,12.1
22.11.2016 02:26:09,12.2
22.11.2016 03:27:10,12.3
22.11.2016 04:01:16,12.3
22.11.2016 05:02:17,12.4
22.11.2016 06:03:18,12.3
22.11.2016 07:04:19,12.3
22.11.2016 08:05:21,12.3
22.11.2016 09:06:43,12.4
22.11.2016 10:08:05,12.4
22.11.2016 11:09:27,12.5
22.11.2016 12:10:50,12.5
22.11.2016 13:12:12,12.6
22.11.2016 14:13:34,12.5
22.11.2016 15:14:57,12.5
22.11.2016 16:15:58,12.5
22.11.2016 17:16:59,12.5
22.11.2016 18:18:00,12.6
22.11.2016 19:19:01,12.6
22.11.2016 20:20:02,12.6
22.11.2016 21:21:03,12.6
22.11.2016 22:22:04,12.6
22.11.2016 23:23:05,12.6
23.11.2016 00:24:06,12.6
23.11.2016 01:25:07,12.6
23.11.2016 02:26:09,12.6
23.11.2016 03:27:10,12.7
23.11.2016 04:01:16,12.7
23.11.2016 05:02:17,12.8
23.11.2016 06:03:18,12.8
23.11.2016 07:04:19,12.8
23.11.2016 08:05:20,12.8
23.11.2016 09:06:43,12.9
23.11.2016 10:09:18,13.2
23.11.2016 11:09:31,13.4
23.11.2016 12:10:01,13.4
23.11.2016 13:10:17,14.4
23.11.2016 14:10:32,13.4
23.11.2016 15:10:46,13.3
23.11.2016 16:10:53,13.0
23.11.2016 17:10:59,12.9
23.11.2016 18:11:05,12.8
23.11.2016 19:11:11,12.8
23.11.2016 20:11:19,12.8
23.11.2016 21:11:25,12.8
23.11.2016 22:11:41,12.7
23.11.2016 23:11:49,12.6
24.11.2016 00:11:55,12.6
24.11.2016 01:12:02,12.4
24.11.2016 02:12:08,12.4
24.11.2016 03:12:27,12.3
24.11.2016 04:01:36,12.3
24.11.2016 05:01:43,12.3
24.11.2016 06:01:49,12.3
24.11.2016 07:01:55,12.3
24.11.2016 08:02:01,12.3
24.11.2016 09:03:22,12.3
24.11.2016 10:03:33,12.4
24.11.2016 11:03:49,12.4
24.11.2016 12:04:02,12.5
24.11.2016 13:04:15,12.4
24.11.2016 14:04:28,12.4
24.11.2016 15:04:43,12.4
24.11.2016 16:04:50,12.4
24.11.2016 17:04:56,12.5
24.11.2016 18:05:03,12.5
24.11.2016 19:05:09,12.6
24.11.2016 20:05:15,12.6
24.11.2016 21:05:21,12.4
24.11.2016 22:05:27,12.4
24.11.2016 23:05:33,12.4
25.11.2016 00:05:39,12.4
25.11.2016 01:05:49,12.3
25.11.2016 02:05:55,12.3
25.11.2016 03:06:01,12.3
25.11.2016 04:01:35,12.3
25.11.2016 05:01:43,12.3
25.11.2016 06:01:49,12.3
25.11.2016 07:01:55,12.4
25.11.2016 08:02:08,12.4
25.11.2016 09:02:22,12.4
25.11.2016 10:02:35,12.6
25.11.2016 11:02:47,12.6
25.11.2016 12:03:00,12.7
25.11.2016 13:03:15,12.7
25.11.2016 14:03:43,12.8
25.11.2016 15:03:55,12.8
25.11.2016 16:04:01,12.8
25.11.2016 17:04:07,12.8
25.11.2016 18:04:14,12.8
25.11.2016 19:04:20,13.4
