"Revenue, x","Revenue, y; Orders, y; Pageviews, y","Orders, x","Pageviews, x"
eb9fbd,8d1cf6,e7f4d9,988efe
592.75,2018-01-09_The Best of Bedding,13,2731
319.8,2018-01-09_Buzzing in Blue,14,1210
61.94,2018-01-09_Bracelets Under $25,3,269
1092.59,2018-01-09_Designer Pre-Loved Handbags,22,1905
43.96,2018-01-09_Deals to Love,2,343
757.78,2018-01-10_Winter Sparkles,40,4160
0,2018-01-10_Birthstone Beauties,0,484
105.89,2018-01-10_Trend-setting Turquoise,7,958
11.98,2018-01-10_Twinkling CZ Jewels,1,306
202.88,2018-01-10_Our Best Watches,6,918
78.96,2018-01-11_Bedding  on a Budget,2,205
203.86,2018-01-11_Best Selling Earrings,12,311
0,2018-01-11_Silver & White Gold,0,1071
634.53,2018-01-11_Gorgeous Garnet,26,4339
237.62,2018-01-11_Beautiful Bracelets,14,514
14.98,2018-01-12_Colorful Creations,1,156
62.93,2018-01-12_Top Picks in Gadget,4,461
61.95,2018-01-12_Statement Ring Savings,3,372
0,2018-01-12_Teardrop Trends,0,245
