"Total, x; Category, x; Event, x; Marketing, x; Suggested, x; Other, x","Total, y","Category, y","Event, y","Marketing, y","Suggested, y","Other, y"
b09e99,c05537,507f2b,23ae5b,681760,bb744d,0fc3a8
2017-09-14,7429.78,1068.69,1918.79,577.61,3171.09,693.6
2017-09-15,5592.45,998.89,1543.95,413.71,2101.14,534.76
2017-09-16,4972.56,888.42,1878.64,296.73,1485.07,423.7
2017-09-17,4140.48,1038.45,1111.19,215.84,1493.18,281.82
2017-09-18,3652.55,643.53,1214.18,374.72,1180.3,239.82
2017-09-19,6023.46,974.49,2148.67,862.46,1456.13,581.71
2017-09-20,5039.66,740.5,1888.71,775.32,1404.27,230.86
2017-09-21,5461.23,840.52,2197.53,669.18,1405.22,348.78
2017-09-22,6144.8,855.41,2267.25,501.59,2168.77,351.78
2017-09-23,6619.3,995.4,2700.58,700.45,2029.97,192.9
2017-09-24,5648.43,1183.31,2109.41,771.44,1464.34,119.93
2017-09-25,3979.35,1060.45,1489.98,469.59,894.39,64.94
2017-09-26,5632.48,502.61,2182.34,733.79,1636.99,576.75
2017-09-27,4723.06,731.56,1590.04,680.52,1273.21,447.73
2017-09-28,5627.49,736.41,1581.76,674.65,1900.19,734.48
2017-09-29,3136.73,653.57,937.14,333.79,1155.28,56.95
2017-09-30,4852.57,452.65,1920.56,488.59,1826.89,163.88
2017-10-01,6829.57,936.44,3368.75,597.51,1380.27,546.6
2017-10-02,6087.06,1075.05,1633.82,839.33,2152.17,386.69
2017-10-03,3964.55,1117.33,1018.33,331.71,1067.38,429.8
2017-10-04,4595.85,886.5,1806.74,621.42,1097.31,183.88
2017-10-05,4332.88,615.63,1800.62,532.48,1087.32,296.83
2017-10-06,4813.08,975.46,1800.89,470.58,1124.43,441.72
2017-10-07,4977.7,962.48,1906.95,611.05,1305.3,191.92
2017-10-08,5093.61,634.51,2089.66,611.54,1589.03,168.87
2017-10-09,5531.85,613.63,2125.98,923.85,1723.95,144.44
2017-10-10,4282.2,647.54,1828.81,550.55,1130.39,124.91
2017-10-11,5609.35,1077.44,1913.65,408.67,1888.81,320.78
2017-10-12,3898.64,441.69,1882.08,331.71,1086.29,156.87
2017-10-13,4459.18,1047.67,1616.82,477.56,1179.22,137.91
2017-10-14,4475.58,723.58,1649.52,551.5,1378.08,172.9
2017-10-15,6883.87,1350.23,2779.31,833.3,1627.23,293.8
2017-10-16,6408.78,1287.18,2525.36,795.37,1557.05,243.82
2017-10-17,5305.39,1340.74,1172.76,833.31,1465.52,493.06
2017-10-18,5133.55,513.63,2062.83,721.42,1412.98,422.69
2017-10-19,4306.96,512.32,1858.78,529.79,1172.25,233.82
2017-10-20,5055.83,1219.31,1659.7,352.71,1633.22,190.89
2017-10-21,4472.97,817.46,1816.77,503.64,1077.28,257.82
2017-10-22,4490.09,980.42,1638.92,773.42,855.47,241.86
2017-10-23,5933.18,1325.27,1824.56,740.4,1841.08,201.87
2017-10-24,6143.15,1328.43,1871.64,688.47,1679.88,574.73
2017-10-25,5102.37,646.6,1654.11,458.64,2112.17,230.85
2017-10-26,5696.11,1008.53,1309.92,1034.71,1360.18,982.77
2017-10-27,4884.36,565.35,1306.54,364.71,1821.4,826.36
2017-10-28,4849.33,1023.37,1652.53,718.41,1386.08,68.94
2017-10-29,4307.65,785.39,1080.35,799.85,1372.24,269.82
2017-10-30,3483.14,821.5,1038.15,393.31,1083.29,146.89
2017-10-31,3185.64,508.65,1213.8,113.91,1023.45,325.83
2017-11-01,4430.7,1111.45,1493.51,469.62,1222.23,133.89
2017-11-02,5569.15,701.42,1946.61,578.54,2088.74,253.84
2017-11-03,6062.76,1141.95,1817.83,1026.35,1675.88,400.75
2017-11-04,7355.07,2018.86,2424.15,658.46,2139.69,113.91
2017-11-05,5304.63,839.5,1844.86,782.34,1475.16,362.77
2017-11-06,4256.98,991.37,962.26,787.28,1413.14,102.93
2017-11-07,5674.15,1171.09,1486.73,665.45,1549.26,801.62
2017-11-08,6723.54,1403.76,1842.67,1004.24,2077.07,395.8
2017-11-09,5855.87,945.36,2060.29,788.42,1722.05,339.75
