"up, x; down, x; ping, x","up, y","down, y","ping, y"
474f26,ed8385,dbec5c,e35ee4
2016-08-26 23:29:47,8.96,56.33,7.418
2016-08-27 00:09:49,9.18,56.91,14.364
2016-08-27 00:49:53,9.43,56.01,15.732
2016-08-27 01:29:55,9.43,56.8,14.707
2016-08-27 02:09:58,9.43,56.81,15.282
2016-08-27 02:50:00,9.43,56.93,14.572
2016-08-27 03:30:03,9.44,56.93,12.553
2016-08-27 04:10:09,9.42,56.8,14.88
2016-08-27 04:50:09,9.34,56.19,18.508
2016-08-27 05:30:11,9.45,56.81,14.129
2016-08-27 06:10:15,9.34,56.8,15.081
2016-08-27 06:50:17,9.43,56.92,14.904
2016-08-27 07:30:19,9.42,56.87,12.929
2016-08-27 08:10:23,9.4,56.9,14.863
2016-08-27 08:50:25,9.41,56.81,15.079
2016-08-27 09:30:26,9.32,56.81,14.334
2016-08-27 10:10:30,9.44,56.8,17.533
2016-08-27 10:51:28,7.81,12.94,15.628
2016-08-27 11:30:36,9.45,56.91,14.555
2016-08-27 12:10:39,9.38,56.93,14.54
2016-08-27 12:50:42,9.32,56.67,13.119
2016-08-27 13:30:44,9.43,56.78,14.638
2016-08-27 14:10:47,9.41,56.21,14.664
2016-08-27 14:50:50,9.39,56.78,14.601
2016-08-27 15:30:52,8.63,56.11,18.673
2016-08-27 16:10:56,9.31,56.08,18.19
2016-08-27 16:50:58,9.38,56.91,17.511
2016-08-27 17:31:00,9.23,56.79,15.94
2016-08-27 18:11:03,9.39,56.93,14.49
2016-08-27 18:51:05,9.42,56.94,12.975
2016-08-27 19:31:09,9.37,56.57,19.001
2016-08-27 20:11:12,9.43,56.78,15.213
2016-08-27 20:51:14,9.4,56.81,14.659
2016-08-27 21:31:18,9.23,56.58,15.083
2016-08-27 22:11:20,9.43,56.8,15.943
2016-08-27 22:51:23,9.36,56.58,14.38
2016-08-27 23:31:26,9.43,56.84,17.779
2016-08-28 00:11:30,8.03,56.59,16.03
2016-08-28 00:51:31,9.43,56.75,14.538
2016-08-28 01:31:34,9.4,56.93,14.374
2016-08-28 02:11:37,9.42,56.88,15.074
2016-08-28 02:51:40,9.3,56.06,16.896
2016-08-28 03:31:43,9.44,56.69,14.777
2016-08-28 04:11:45,9.27,56.1,18.317
2016-08-28 04:51:48,9.43,56.81,18.473
2016-08-28 05:31:51,9.39,56.8,16.393
2016-08-28 06:11:56,8.68,56.93,16.795
2016-08-28 06:51:56,9.41,56.44,18.373
2016-08-28 07:31:59,9.28,56.01,18.53
2016-08-28 08:12:02,9.22,56.81,15.722
2016-08-28 08:52:05,9.41,56.93,14.453
2016-08-28 09:32:08,9.4,56.78,20.126
2016-08-28 10:12:10,9.28,55.89,18.59
2016-08-28 10:52:12,9.21,55.89,18.473
2016-08-28 11:32:16,9.27,55.88,18.917
2016-08-28 12:12:19,9.25,56.1,18.588
2016-08-28 12:52:21,9.41,56.66,16.186
2016-08-28 13:32:24,8.84,56.58,13.892
2016-08-28 14:12:26,9.4,56.46,16.487
2016-08-28 14:52:29,9.37,56.88,13.281
2016-08-28 15:32:32,9.4,56.44,16.351
2016-08-28 16:12:35,9.14,55.05,21.775
2016-08-28 16:52:38,9.41,56.8,19.879
2016-08-28 17:32:41,8.63,56.1,18.983
2016-08-28 18:12:43,9.42,56.94,12.131
2016-08-28 18:52:44,9.27,56.8,14.137
2016-08-28 19:32:51,7.73,52.34,17.505
2016-08-28 20:12:53,9.05,55.66,18.641
2016-08-28 20:52:54,9.37,56.59,14.112
2016-08-28 21:32:57,9.26,56.07,15.758
2016-08-28 22:12:59,9.38,56.81,17.596
2016-08-28 22:53:02,9.37,56.89,15.065
2016-08-28 23:33:05,9.43,56.79,14.915
2016-08-29 00:13:08,9.43,56.58,9.482
2016-08-29 00:53:16,8.9,46.35,23.088
2016-08-29 01:33:15,9.36,54.94,16.478
2016-08-29 02:13:17,9.33,53.12,17.133
2016-08-29 02:53:19,9.26,56.11,18.678
2016-08-29 03:33:25,9.27,56.17,18.694
2016-08-29 04:13:24,9.41,56.79,18.111
2016-08-29 04:53:27,9.36,56.57,15.709
2016-08-29 05:33:30,9.39,56.94,16.765
2016-08-29 06:13:33,9.38,56.94,16.591
2016-08-29 06:53:35,9.39,56.92,16.593
2016-08-29 07:33:39,9.37,56.36,16.106
2016-08-29 08:13:41,9.37,56.93,14.554
2016-08-29 08:55:34,9.35,11.78,16.853
2016-08-29 09:33:47,9.41,56.56,17.736
2016-08-29 10:13:50,9.02,55.98,18.131
2016-08-29 10:53:52,9.18,56.93,15.127
2016-08-29 11:33:43,9.34,56.9,15.587
2016-08-29 12:13:46,9.41,56.25,11.624
2016-08-29 12:53:49,9.38,55.89,16.215
2016-08-29 13:33:51,9.26,55.77,13.052
2016-08-29 14:13:54,9.42,56.81,10.352
2016-08-29 14:53:57,9.43,56.93,12.39
2016-08-29 15:35:42,8.82,56.79,10.315
2016-08-29 16:15:44,9.19,55.88,12.795
2016-08-29 16:55:48,8.9,56.81,11.432
2016-08-29 17:35:50,9.22,55.09,11.603
2016-08-29 18:15:53,9.3,56.91,11.67
2016-08-29 18:55:55,9.37,56.86,15.592
2016-08-29 19:35:57,9.3,56.18,17.126
2016-08-29 20:16:00,9.42,56.92,19.14
2016-08-29 20:56:04,9.29,56.1,18.75
2016-08-29 21:36:05,8.75,56.78,15.504
2016-08-29 22:16:09,9.35,56.81,15.402
2016-08-29 22:56:12,9.39,56.82,14.814
2016-08-29 23:28:48,9.36,56.78,18.375
2016-08-29 23:57:54,9.44,56.86,7.835
2016-08-30 00:37:54,9.34,55.7,18.193
2016-08-30 01:17:58,7.74,56.92,17.614
2016-08-30 01:58:00,9.38,56.46,20.2
2016-08-30 02:38:02,9.41,56.93,16.92
2016-08-30 03:18:05,9.38,56.78,14.726
2016-08-30 03:58:08,9.36,56.79,14.354
2016-08-30 04:38:07,9.34,40.93,15.008
2016-08-30 05:18:14,9.14,56.92,18.204
2016-08-30 05:58:16,9.37,56.79,17.851
2016-08-30 06:40:59,9.32,8.44,17.067
2016-08-30 07:18:22,9.43,56.91,17.57
2016-08-30 07:58:29,8.73,56.18,18.789
2016-08-30 08:38:27,9.4,56.79,17.466
2016-08-30 09:18:28,9.27,56.9,16.298
2016-08-30 09:58:33,9.3,56.08,16.067
2016-08-30 10:38:35,9.38,56.91,13.315
2016-08-30 11:18:38,9.39,56.9,13.548
2016-08-30 11:58:40,9.4,56.9,13.909
2016-08-30 12:38:42,8.99,56.89,13.286
2016-08-30 13:18:47,9.19,55.72,12.975
2016-08-30 13:58:50,9.37,56.85,15.418
2016-08-30 14:38:52,9.44,56.93,11.854
2016-08-30 15:18:54,9.24,56.08,15.924
2016-08-30 15:58:58,9.43,56.81,12.084
2016-08-30 16:39:00,9.41,56.8,11.58
2016-08-30 17:19:03,9.35,56.89,11.512
2016-08-30 17:59:06,9.43,55.77,15.88
2016-08-30 18:39:08,9.37,56.94,12.273
2016-08-30 19:19:10,9.35,56.57,14.218
2016-08-30 19:59:14,9.42,54.11,14.037
2016-08-30 20:39:16,9.42,56.93,12.817
2016-08-30 21:19:19,9.22,56.99,11.749
2016-08-30 21:59:22,9.08,56.94,12.135
2016-08-30 22:39:25,9.44,55.51,14.163
2016-08-30 23:19:27,9.41,56.56,14.358
2016-08-30 23:59:30,9.38,56.91,15.609
2016-08-31 00:39:33,9.44,56.44,14.311
2016-08-31 01:20:00,8.9,6.61,14.292
2016-08-31 01:59:38,9.36,56.06,13.277
2016-08-31 02:39:41,9.23,55.88,16.166
2016-08-31 03:19:43,9.35,56.8,13.362
2016-08-31 03:59:46,9.43,56.94,13.614
2016-08-31 04:39:49,9.39,56.92,11.848
2016-08-31 05:19:52,9.37,56.8,13.606
2016-08-31 05:59:54,9.32,56.58,10.316
2016-08-31 06:39:59,9.38,56.92,10.154
2016-08-31 07:20:02,9.43,56.9,10.556
2016-08-31 08:00:03,9.41,56.95,12.022
2016-08-31 08:40:06,9.38,56.94,14.753
2016-08-31 09:20:08,9.41,56.81,11.968
2016-08-31 10:00:10,9.35,55.65,14.566
2016-08-31 10:40:13,9.45,56.93,13.432
2016-08-31 11:20:16,9.44,56.75,11.797
2016-08-31 12:00:19,9.44,56.23,13.114
2016-08-31 12:40:21,9.4,56.94,12.038
2016-08-31 13:20:23,9.21,56.78,14.037
2016-08-31 14:00:27,9.44,56.0,13.261
2016-08-31 14:40:30,9.41,56.54,11.354
2016-08-31 15:20:32,9.41,56.79,10.603
2016-08-31 16:00:35,9.39,56.81,11.178
2016-08-31 16:40:38,9.33,56.93,11.533
2016-08-31 17:20:41,8.73,56.91,9.609
2016-08-31 18:00:42,9.36,56.8,13.334
2016-08-31 18:40:46,9.29,56.21,15.717
2016-08-31 19:20:49,9.37,56.94,11.591
2016-08-31 20:00:51,9.41,56.94,11.621
2016-08-31 20:40:54,9.21,56.58,10.153
2016-08-31 21:20:57,9.19,54.43,11.929
2016-08-31 22:00:59,9.46,56.81,11.596
2016-08-31 22:41:02,9.4,56.46,10.279
2016-08-31 23:21:05,9.44,55.76,11.81
2016-09-01 00:01:08,9.34,54.75,9.942
2016-09-01 00:41:10,9.43,56.75,13.698
2016-09-01 01:21:12,9.4,56.94,11.228
2016-09-01 02:01:16,9.44,56.94,13.479
2016-09-01 02:41:18,9.31,56.92,11.289
2016-09-01 03:21:21,9.38,56.94,13.226
2016-09-01 04:01:24,8.87,56.94,9.891
2016-09-01 04:41:26,9.4,56.91,13.631
2016-09-01 05:21:35,9.4,52.5,16.175
2016-09-01 06:01:31,9.41,56.94,13.131
2016-09-01 06:41:33,8.84,56.94,9.931
2016-09-01 07:21:37,9.45,56.94,11.601
2016-09-01 08:01:39,9.42,56.93,12.498
2016-09-01 08:41:43,9.25,55.41,10.444
2016-09-01 09:21:45,9.39,56.92,16.734
2016-09-01 10:01:50,9.44,56.79,10.242
2016-09-01 10:41:51,9.41,56.93,14.12
2016-09-01 11:21:54,9.43,56.94,11.069
2016-09-01 12:01:56,9.4,56.94,12.197
2016-09-01 12:41:59,9.43,56.81,14.445
2016-09-01 13:22:02,8.6,56.16,15.645
2016-09-01 14:02:04,9.29,56.93,13.753
2016-09-01 14:42:07,9.35,56.93,11.438
2016-09-01 15:22:10,9.37,56.91,11.596
2016-09-01 16:02:12,9.38,56.82,11.2
2016-09-01 16:42:17,9.43,56.89,14.463
2016-09-01 17:22:18,9.42,56.94,11.5
2016-09-01 18:02:21,9.43,56.58,14.004
2016-09-01 18:42:24,9.43,56.37,15.421
2016-09-01 19:22:26,9.35,56.8,11.384
2016-09-01 20:02:29,9.39,56.78,13.236
2016-09-01 20:42:31,9.4,56.76,9.651
2016-09-01 21:22:34,9.43,56.91,13.314
2016-09-01 22:02:37,9.39,56.06,13.611
2016-09-01 22:42:39,9.36,56.94,13.362
2016-09-01 23:22:42,9.33,56.47,13.637
2016-09-02 00:02:45,9.38,56.92,11.844
2016-09-02 00:42:48,9.44,56.89,12.096
2016-09-02 01:22:52,9.44,56.1,13.07
2016-09-02 02:02:52,9.29,55.88,11.617
2016-09-02 02:42:55,9.25,55.88,15.435
2016-09-02 03:22:58,9.44,56.81,10.144
2016-09-02 04:03:01,9.44,56.94,11.671
2016-09-02 04:43:04,9.3,56.81,10.546
2016-09-02 05:23:07,9.4,56.87,11.762
2016-09-02 06:03:10,9.44,56.92,13.575
2016-09-02 06:43:13,9.42,56.81,13.571
2016-09-02 07:23:15,9.42,56.94,11.936
2016-09-02 08:03:18,9.26,56.09,12.624
2016-09-02 08:43:23,8.89,56.82,13.095
2016-09-02 09:23:24,9.44,56.35,12.956
2016-09-02 10:03:27,8.87,56.78,13.562
2016-09-02 10:43:30,9.25,56.14,15.267
2016-09-02 11:23:31,9.42,56.78,12.921
2016-09-02 12:03:37,9.43,56.99,14.518
2016-09-02 12:43:37,9.36,56.92,11.243
2016-09-02 13:23:39,9.41,56.56,13.37
2016-09-02 14:04:14,9.38,31.13,10.898
2016-09-02 14:43:45,9.28,56.22,15.533
2016-09-02 15:23:48,9.43,56.91,10.228
2016-09-02 16:03:50,9.42,56.81,10.213
2016-09-02 16:43:53,9.39,56.93,14.305
2016-09-02 17:23:56,9.42,56.91,10.503
2016-09-02 18:03:57,9.38,56.91,11.507
2016-09-02 18:44:01,9.44,56.8,10.735
2016-09-02 19:24:04,9.35,56.94,11.269
2016-09-02 20:04:07,9.42,56.54,13.818
2016-09-02 20:44:09,9.41,56.1,13.742
2016-09-02 21:24:12,9.45,56.94,10.15
2016-09-02 22:04:15,9.4,56.76,13.964
2016-09-02 22:44:19,9.41,56.81,12.238
2016-09-02 23:24:22,9.37,52.83,14.151
2016-09-03 00:04:24,8.89,49.43,14.317
2016-09-03 00:44:27,9.43,55.73,10.809
2016-09-03 01:24:31,9.39,57.0,11.416
2016-09-03 02:04:31,9.46,56.92,10.038
2016-09-03 02:44:33,9.37,56.8,10.37
2016-09-03 03:24:37,9.4,56.95,12.089
2016-09-03 04:04:39,9.44,56.94,13.174
2016-09-03 04:44:41,9.39,56.93,14.596
2016-09-03 05:24:46,8.7,56.89,11.632
2016-09-03 06:04:47,9.45,56.95,11.915
2016-09-03 06:44:50,9.41,56.94,9.896
2016-09-03 07:24:52,9.41,56.93,13.649
2016-09-03 08:04:58,9.43,56.81,11.539
2016-09-03 08:44:58,9.44,56.93,10.469
2016-09-03 09:25:01,9.38,56.94,13.493
2016-09-03 10:05:04,9.3,56.89,11.334
2016-09-03 10:45:06,9.41,56.94,9.568
2016-09-03 11:25:09,9.23,56.11,12.603
2016-09-03 12:05:12,9.44,56.81,10.202
2016-09-03 12:45:14,9.41,56.79,11.56
2016-09-03 13:25:17,9.41,56.0,14.452
2016-09-03 14:05:20,9.42,56.81,13.896
2016-09-03 14:45:22,8.77,56.81,11.778
2016-09-03 15:25:25,8.98,56.46,10.013
2016-09-03 16:05:28,9.45,56.92,9.974
2016-09-03 16:45:32,9.15,52.97,11.434
2016-09-03 17:25:33,9.39,56.69,11.386
