"Ping (ms), x; Download (Mbit/s), x; Upload (Mbit/s), x","Ping (ms), y","Download (Mbit/s), y","Upload (Mbit/s), y"
f7f9ea,8baa66,20122f,f3f12d
2017-11-05 07:00:02,6.157,131.24,255.31
2017-11-05 08:00:01,10.458,762.77,85.51
2017-11-05 09:00:02,8.784,376.08,34.71
2017-11-05 11:00:02,11.623,404.83,118.97
2017-11-05 12:00:01,8.164,122.23,10.53
2017-11-05 13:00:02,23.296,135.04,74.23
2017-11-05 15:00:02,10.67,193.20,137.43
2017-11-05 16:00:02,20.11,57.03,114.13
2017-11-05 17:00:02,7.259,189.53,146.66
2017-11-05 18:00:02,4.94,201.89,1.84
2017-11-05 20:00:02,10.901,261.32,146.55
2017-11-05 21:00:03,5.764,278.34,241.74
2017-11-05 22:00:02,4.817,29.37,4.47
2017-11-05 23:00:02,9.301,377.86,122.91
2017-11-06 00:00:02,11.5,552.88,69.45
2017-11-06 01:00:02,7.475,430.72,61.83
2017-11-06 02:00:02,10.491,150.32,7.31
2017-11-06 03:00:02,6.794,79.82,49.90
2017-11-06 05:00:03,10.655,580.28,140.16
2017-11-06 06:00:01,6.534,3.93,16.76
2017-11-06 07:00:02,6.852,813.04,55.53
2017-11-06 08:00:04,10.401,139.60,126.42
2017-11-06 09:00:01,70.306,293.46,171.91
2017-11-06 10:00:04,16.552,5.53,2.64
2017-11-06 11:00:02,4.742,148.87,5.58
2017-11-06 12:00:02,178.157,574.15,89.90
2017-11-06 13:00:02,7.441,121.83,132.15
2017-11-06 16:00:06,4.313,62.76,2.41
2017-11-06 17:00:09,6.301,581.57,20.03
2017-11-06 18:00:02,11.393,492.54,55.36
2017-11-06 19:00:01,25.091,176.21,42.64
2017-11-06 21:00:08,36.57,235.52,150.57
2017-11-07 00:00:02,39.701,9.18,27.85
2017-11-07 01:00:06,4.822,658.93,19.09
2017-11-07 02:00:01,4.626,75.17,5.05
2017-11-07 03:00:02,9.673,194.70,262.32
2017-11-07 05:00:02,13.373,353.52,147.26
2017-11-07 07:00:02,10.624,618.62,145.55
2017-11-07 09:00:02,19.798,446.53,142.29
2017-11-07 10:00:02,21.205,245.73,95.02
