"Download, x; Upload, x","Download, y","Upload, y"
18f39e,5ff804,419a46
2017-12-01 00:01:01,10.23,3.4
2017-12-01 06:01:01,18.34,3.44
2017-12-01 12:01:01,16.19,3.52
2017-12-01 18:01:01,8.75,3.21
2017-12-02 00:01:01,12.63,3.34
2017-12-02 06:01:01,16.89,3.52
2017-12-02 12:01:01,17.74,3.66
2017-12-02 18:01:01,8.05,3.18
2017-12-03 00:01:01,15.46,3.29
2017-12-03 06:01:01,18.11,3.54
2017-12-03 12:01:01,18.38,3.46
2017-12-03 18:01:01,18.38,3.43
2017-12-04 00:01:01,17.85,3.56
2017-12-04 06:01:01,18.67,3.5
2017-12-04 12:01:01,13.08,3.61
2017-12-04 18:01:01,19.05,3.56
2017-12-05 00:01:01,18.52,3.69
2017-12-05 06:01:01,17.64,3.54
2017-12-05 12:01:01,17.37,3.41
2017-12-05 18:01:01,18.05,3.54
2017-12-06 00:01:01,17.42,3.59
2017-12-06 06:01:01,16.85,3.59
2017-12-06 12:01:01,19.28,3.55
2017-12-06 18:01:01,19.3,3.29
2017-12-07 00:01:01,17.29,3.47
2017-12-07 06:01:01,8.08,3.22
2017-12-07 12:01:01,18.9,3.35
2017-12-07 18:01:01,13.19,3.45
2017-12-08 00:01:01,18.46,3.43
2017-12-08 06:01:01,18.25,3.56
2017-12-08 12:01:01,18.08,3.44
2017-12-08 18:01:01,16.9,3.47
2017-12-09 00:01:01,17.12,3.35
2017-12-09 06:01:01,14.92,3.52
2017-12-09 12:01:01,17.61,3.39
2017-12-09 18:01:01,9.51,3.41
2017-12-10 00:01:01,1.76,3.69
2017-12-10 06:01:01,12.17,3.87
2017-12-10 12:01:01,14.16,3.58
2017-12-10 18:01:01,2.73,3.29
2017-12-11 00:01:01,6.39,3.78
2017-12-11 06:01:01,13.82,3.81
2017-12-11 12:01:01,17.86,3.57
2017-12-11 18:01:02,5.35,3.22
2017-12-12 00:01:01,17.53,3.26
2017-12-12 06:01:01,14.73,3.57
2017-12-12 12:01:01,16.91,3.52
