x,y
2df18b,8ab089
2017-12-01 00:01:01,53.454
2017-12-01 06:01:01,42.774
2017-12-01 12:01:01,49.502
2017-12-01 18:01:01,58.364
2017-12-02 00:01:01,49.103
2017-12-02 06:01:01,44.728
2017-12-02 12:01:01,48.518
2017-12-02 18:01:01,55.284
2017-12-03 00:01:01,49.963
2017-12-03 06:01:01,44.916
2017-12-03 12:01:01,50.508
2017-12-03 18:01:01,48.357
2017-12-04 00:01:01,55.244
2017-12-04 06:01:01,37.796
2017-12-04 12:01:01,46.451
2017-12-04 18:01:01,45.466
2017-12-05 00:01:01,43.995
2017-12-05 06:01:01,43.639
2017-12-05 12:01:01,46.809
2017-12-05 18:01:01,43.287
2017-12-06 00:01:01,49.084
2017-12-06 06:01:01,47.502
2017-12-06 12:01:01,42.201
2017-12-06 18:01:01,42.803
2017-12-07 00:01:01,41.215
2017-12-07 06:01:01,47.936
2017-12-07 12:01:01,45.815
2017-12-07 18:01:01,58.728
2017-12-08 00:01:01,49.912
2017-12-08 06:01:01,44.863
2017-12-08 12:01:01,41.969
2017-12-08 18:01:01,52.795
2017-12-09 00:01:01,46.286
2017-12-09 06:01:01,43.238
2017-12-09 12:01:01,48.326
2017-12-09 18:01:01,52.48
2017-12-10 00:01:01,110.391
2017-12-10 06:01:01,48.97
2017-12-10 12:01:01,45.738
2017-12-10 18:01:01,61.628
2017-12-11 00:01:01,48.278
2017-12-11 06:01:01,53.18
2017-12-11 12:01:01,47.776
2017-12-11 18:01:02,61.484
2017-12-12 00:01:01,44.403
2017-12-12 06:01:01,47.151
2017-12-12 12:01:01,40.797
2017-12-12 18:01:01,41.223
2017-12-13 00:01:01,56.609
2017-12-13 06:01:01,41.612
2017-12-13 12:01:01,47.508
2017-12-13 18:01:01,44.284
2017-12-14 00:01:01,46.659
2017-12-14 06:01:01,37.528
2017-12-14 12:01:01,45.029
2017-12-14 18:01:01,48.196
2017-12-15 00:01:01,43.911
2017-12-15 06:01:01,42.235
2017-12-15 12:01:01,50.744
2017-12-15 18:01:01,43.598
2017-12-16 00:01:01,47.894
2017-12-17 12:01:01,48.333
2017-12-17 18:01:01,57.652
2017-12-18 00:01:01,54.28
2017-12-18 06:01:01,38.775
2017-12-18 18:01:01,53.313
2017-12-19 00:01:01,44.69
2017-12-19 06:01:01,44.769
2017-12-19 12:01:01,49.035
2017-12-19 18:01:01,47.821
2017-12-20 00:01:01,49.541
2017-12-20 06:01:01,44.584
2017-12-20 12:01:01,59.534
2017-12-20 18:01:01,52.176
2017-12-21 00:01:01,44.924
2017-12-21 06:01:01,45.469
2017-12-21 12:01:01,54.515
2017-12-21 18:01:01,50.962
2017-12-22 00:01:01,52.5
2017-12-22 06:01:01,46.517
2017-12-22 12:01:01,55.253
2017-12-22 18:01:01,57.023
2017-12-23 00:01:01,49.192
2017-12-23 06:01:01,47.288
2017-12-23 12:01:01,46.765
2017-12-23 18:01:01,57.585
2017-12-24 00:01:01,51.533
2017-12-24 06:01:01,47.116
2017-12-24 12:01:01,49.029
2017-12-24 18:01:01,45.934
2017-12-25 12:01:01,102.481
2017-12-25 18:01:01,43.692
2017-12-26 00:01:01,52.693
2017-12-26 06:01:01,46.591
2017-12-26 12:01:01,52.782
2017-12-26 18:01:01,47.409
2017-12-27 00:01:01,47.238
2017-12-27 06:01:01,42.55
2017-12-27 12:01:02,47.354
2017-12-27 18:01:01,47.676
2017-12-28 00:01:01,56.803
2017-12-28 06:01:01,46.863
2017-12-28 12:01:01,44.428
2017-12-28 18:01:01,44.055
2017-12-29 00:01:01,42.01
2017-12-29 06:01:01,47.577
2017-12-29 12:01:01,47.822
2017-12-29 18:01:01,46.172
2017-12-30 00:01:01,42.412
2017-12-30 06:01:01,44.968
2017-12-30 12:01:01,49.294
2017-12-30 18:01:01,61.496
2017-12-31 00:01:01,43.376
2017-12-31 06:01:01,46.301
2017-12-31 12:01:01,50.732
2017-12-31 18:01:01,56.735
2018-01-01 00:01:01,47.004
2018-01-01 06:01:02,45.625
2018-01-01 12:01:01,55.999
2018-01-01 18:01:01,86.478
2018-01-02 00:01:02,40.121
2018-01-02 06:01:01,42.766
2018-01-02 12:01:01,46.566
2018-01-02 18:01:01,99.0
2018-01-03 00:01:01,48.557
2018-01-03 06:01:01,56.272
2018-01-03 12:01:01,52.074
2018-01-03 18:01:01,51.657
2018-01-04 00:01:01,46.462
2018-01-04 06:01:02,45.759
2018-01-04 12:01:01,57.386
2018-01-04 18:01:01,45.179
2018-01-05 00:01:01,42.585
2018-01-05 06:01:01,47.787
2018-01-05 12:01:01,45.373
2018-01-05 18:01:01,48.691
2018-01-06 00:01:01,59.632
2018-01-06 06:01:01,46.056
Ping: 57.89,44.032
Ping: 59.117,47.412
2018-01-08 00:01:01,61.093
2018-01-08 06:01:01,40.015
2018-01-08 12:01:01,49.905
2018-01-08 18:01:01,49.821
2018-01-09 00:01:01,105.271
2018-01-09 06:01:01,45.844
2018-01-09 12:01:01,53.057
2018-01-09 18:01:01,49.269
2018-01-10 00:01:01,45.236
2018-01-10 06:01:01,45.658
2018-01-10 12:01:01,47.002
2018-01-10 18:01:01,46.05
2018-01-11 00:01:01,47.528
2018-01-11 06:01:01,48.461
2018-01-11 12:01:01,44.201
2018-01-11 18:01:01,47.752
2018-01-12 00:01:01,
2018-01-12 06:01:01,
2018-01-12 12:01:01,
