x,y
8fc098,a20684
04/11/2017 00:42:10,79.9
04/11/2017 01:42:13,79.9
04/11/2017 02:42:15,79.9
04/11/2017 03:42:18,79.9
04/11/2017 04:42:20,79.9
04/11/2017 05:42:23,79.9
04/11/2017 06:42:26,79.9
04/11/2017 07:42:28,79.9
04/11/2017 08:42:31,79.9
04/11/2017 09:42:33,79.9
04/11/2017 10:42:36,79.9
04/11/2017 11:42:38,79.9
04/11/2017 12:42:41,79.9
04/11/2017 13:42:44,79.9
04/11/2017 14:42:49,79.9
04/11/2017 15:42:59,79.9
04/11/2017 16:43:02,79.9
04/11/2017 17:43:12,79.9
04/11/2017 18:43:19,79.9
04/11/2017 19:43:24,79.9
04/11/2017 20:43:29,79.9
04/11/2017 21:43:39,79.9
04/11/2017 22:43:42,79.9
04/11/2017 23:43:44,79.9
05/11/2017 00:43:47,79.9
05/11/2017 01:43:50,79.9
05/11/2017 02:43:53,79.9
05/11/2017 03:43:55,79.9
05/11/2017 04:43:57,79.9
05/11/2017 05:44:00,79.9
05/11/2017 06:44:02,79.9
05/11/2017 07:44:04,79.9
05/11/2017 08:44:07,79.9
05/11/2017 09:44:12,79.9
05/11/2017 10:44:17,79.9
05/11/2017 11:44:20,79.9
05/11/2017 12:44:22,79.9
05/11/2017 13:44:24,79.9
05/11/2017 14:44:27,79.9
05/11/2017 15:44:29,79.9
05/11/2017 16:44:37,79.9
05/11/2017 17:44:40,79.9
05/11/2017 18:44:44,79.9
05/11/2017 19:44:48,79.93
05/11/2017 20:44:53,79.97
05/11/2017 21:44:55,79.96
05/11/2017 22:44:57,79.91
05/11/2017 23:45:00,79.85
06/11/2017 00:45:02,79.88
06/11/2017 01:45:05,79.9
06/11/2017 02:45:07,79.89
06/11/2017 03:45:10,79.89
06/11/2017 04:45:12,79.89
06/11/2017 05:45:15,79.88
06/11/2017 06:45:17,79.88
06/11/2017 07:45:19,79.85
06/11/2017 08:45:22,80.14
06/11/2017 09:45:24,80.03
06/11/2017 10:45:27,80.04
06/11/2017 11:45:29,79.87
06/11/2017 12:45:32,79.75
06/11/2017 13:45:34,79.69
06/11/2017 14:45:36,79.75
06/11/2017 15:45:38,79.46
06/11/2017 16:45:41,79.14
06/11/2017 17:45:43,79.13
06/11/2017 18:45:47,79.13
06/11/2017 19:45:51,79.03
06/11/2017 20:46:21,79.02
06/11/2017 21:46:24,79.01
06/11/2017 22:46:27,79.02
06/11/2017 23:46:29,79.04
07/11/2017 00:46:32,79.05
07/11/2017 01:46:35,79.0
07/11/2017 02:46:37,79.04
07/11/2017 03:46:40,79.03
07/11/2017 04:46:42,78.99
07/11/2017 05:46:44,79.04
07/11/2017 06:46:47,79.02
07/11/2017 07:46:49,79.02
07/11/2017 08:46:51,78.87
07/11/2017 09:46:53,78.35
07/11/2017 10:46:57,78.91
07/11/2017 11:47:01,78.77
07/11/2017 12:47:07,78.77
07/11/2017 13:47:09,78.75
07/11/2017 14:47:12,78.96
07/11/2017 15:47:14,78.98
07/11/2017 16:47:17,78.83
07/11/2017 17:47:19,78.82
07/11/2017 18:47:21,78.8
07/11/2017 19:47:24,78.8
07/11/2017 20:47:26,78.81
07/11/2017 21:47:29,78.82
07/11/2017 22:47:32,78.8
07/11/2017 23:47:34,78.87
08/11/2017 00:47:37,78.8
08/11/2017 01:47:40,78.84
08/11/2017 02:47:43,78.82
08/11/2017 03:47:46,78.85
08/11/2017 04:47:49,78.86
08/11/2017 05:47:51,78.86
08/11/2017 06:47:54,78.88
08/11/2017 07:47:56,79.01
08/11/2017 08:47:59,79.01
08/11/2017 09:48:05,78.72
08/11/2017 10:48:07,78.94
08/11/2017 11:48:10,78.99
08/11/2017 12:48:13,78.89
08/11/2017 13:48:15,78.96
08/11/2017 14:48:18,79.25
08/11/2017 15:48:20,79.35
08/11/2017 16:48:23,79.53
08/11/2017 17:48:26,79.53
08/11/2017 18:48:31,79.53
08/11/2017 19:48:35,79.53
08/11/2017 20:48:40,79.51
08/11/2017 21:48:47,79.48
08/11/2017 22:48:49,79.5
08/11/2017 23:48:52,79.52
09/11/2017 00:48:56,79.5
09/11/2017 01:48:58,79.52
09/11/2017 02:49:01,79.45
09/11/2017 03:49:03,79.43
09/11/2017 04:49:05,79.44
09/11/2017 05:49:07,79.44
09/11/2017 06:49:09,79.44
09/11/2017 07:49:11,79.43
09/11/2017 08:49:14,79.05
09/11/2017 09:49:16,79.34
09/11/2017 10:49:20,79.39
09/11/2017 11:49:26,79.09
09/11/2017 12:49:29,79.0
09/11/2017 13:49:31,79.03
09/11/2017 14:49:34,79.1
09/11/2017 15:49:37,79.2
09/11/2017 16:49:39,79.64
09/11/2017 17:49:42,79.62
09/11/2017 18:49:45,79.49
09/11/2017 19:49:49,79.46
09/11/2017 20:49:52,79.47
09/11/2017 21:49:56,79.54
09/11/2017 22:49:58,79.54
09/11/2017 23:50:01,79.53
10/11/2017 00:50:03,79.56
10/11/2017 01:50:06,79.54
10/11/2017 02:50:08,79.54
10/11/2017 03:50:11,79.51
10/11/2017 04:50:14,79.51
10/11/2017 05:50:17,79.54
10/11/2017 06:50:20,79.49
10/11/2017 07:50:22,79.59
10/11/2017 08:50:26,79.1
10/11/2017 09:50:28,79.21
10/11/2017 10:50:31,79.21
10/11/2017 11:50:33,79.13
10/11/2017 12:50:35,79.13
10/11/2017 13:50:38,79.11
10/11/2017 14:50:40,79.2
10/11/2017 15:50:44,78.99
10/11/2017 16:50:46,78.97
10/11/2017 17:50:48,79.08
10/11/2017 18:50:50,79.44
10/11/2017 19:50:53,79.11
10/11/2017 20:50:56,79.12
10/11/2017 21:50:58,79.16
10/11/2017 22:51:00,79.31
10/11/2017 23:51:02,79.14
11/11/2017 00:51:05,79.14
11/11/2017 01:51:08,79.14
11/11/2017 02:51:10,79.14
11/11/2017 03:51:13,79.14
11/11/2017 04:51:16,79.14
11/11/2017 05:51:18,79.14
11/11/2017 06:51:20,79.14
11/11/2017 07:51:23,79.14
11/11/2017 08:51:28,79.14
11/11/2017 09:51:33,79.14
11/11/2017 10:51:37,79.14
11/11/2017 11:51:40,79.14
11/11/2017 12:51:42,79.14
11/11/2017 13:51:44,79.14
11/11/2017 14:51:47,79.14
11/11/2017 15:51:50,79.14
11/11/2017 16:51:53,79.14
11/11/2017 17:51:55,79.14
11/11/2017 18:52:01,79.14
11/11/2017 19:52:04,79.14
11/11/2017 20:52:07,79.14
11/11/2017 21:52:13,79.14
11/11/2017 22:52:16,79.14
11/11/2017 23:52:19,79.14
12/11/2017 00:52:21,79.14
12/11/2017 01:52:24,79.14
12/11/2017 02:52:27,79.14
12/11/2017 03:52:29,79.14
12/11/2017 04:52:31,79.14
12/11/2017 05:52:34,79.14
12/11/2017 06:52:36,79.14
12/11/2017 07:52:39,79.14
12/11/2017 08:52:43,79.14
12/11/2017 09:52:46,79.14
12/11/2017 10:52:48,79.14
12/11/2017 11:52:51,79.14
12/11/2017 12:52:53,79.14
12/11/2017 13:52:56,79.14
12/11/2017 14:52:58,79.14
12/11/2017 15:53:00,79.14
12/11/2017 16:53:03,79.14
12/11/2017 17:53:06,79.14
12/11/2017 18:53:10,79.14
12/11/2017 19:53:12,79.14
12/11/2017 20:53:15,79.18
12/11/2017 21:53:17,79.3
12/11/2017 22:53:20,79.25
12/11/2017 23:53:24,79.52
13/11/2017 00:53:26,79.42
13/11/2017 01:53:28,79.46
13/11/2017 02:53:31,79.48
13/11/2017 03:53:33,79.5
13/11/2017 04:53:36,79.46
13/11/2017 05:53:39,79.45
13/11/2017 06:53:41,79.48
13/11/2017 07:53:44,79.59
13/11/2017 08:53:46,79.2
13/11/2017 09:53:49,79.56
