x,y,z,color
02ab03,9837c3,4afa5e,e85039
-9.7633249369,-5.9804764721,-1.1165881431,1.0
5.7176201032,-4.9777835086,-9.168924731,0.0
5.1706398818,-5.495419578,-7.0099196417,0.0
-4.6429027248,-9.1584876655,-2.3671797143,0.0
8.3033822686,5.4617954474,1.7920725177,0.0
-0.6784188478,4.066870519,10.8328805732,0.0
5.5441326777,-1.4431236796,-9.2568291566,1.0
-11.5915734174,2.8461739805,1.1851898817,0.0
8.8239162177,4.1300758618,-6.0895170692,1.0
-4.5143546997,-0.115407437,10.5515946058,0.0
-8.4288021972,-7.9737159904,2.8339411272,1.0
2.1546165503,-0.6393566355,11.6775594837,1.0
7.6697390823,7.7219355407,-2.1876309879,1.0
-7.5306339388,6.2800729406,6.7184957216,1.0
3.2650658315,9.6656353393,4.0779833285,1.0
9.2743302451,5.2140618271,-3.6030484818,1.0
10.9854393413,-3.8891383992,2.3781789667,1.0
-5.6966232394,-1.8305749301,-10.314814097,1.0
-5.8022827835,-9.268870438,-3.0360665896,0.0
-5.2098302645,-2.14149448,-8.3744510204,1.0
-9.6087389152,1.4029974165,-4.0757864771,0.0
-3.6290265231,-1.0664899837,10.0112018207,1.0
-1.8646507091,4.4740493483,8.9131494368,0.0
4.0579604496,-4.3622601786,-8.3718982391,0.0
-1.9408557959,1.8319676475,11.1281556559,0.0
-5.4673720879,-9.2927507729,-1.7955784765,0.0
5.1207118404,-9.3263900872,-2.3024865178,0.0
-6.7535368623,4.9527313276,-8.3160598348,0.0
9.0652627832,0.1089107428,5.0436796979,1.0
3.3626305204,-8.9048784467,5.2044084699,0.0
-11.4315424189,2.953712301,-0.5041772274,0.0
1.6439688121,11.0522395466,-1.479647476,0.0
-7.6317204008,-6.0838320326,-4.5980134344,1.0
0.3115926248,-11.4114553569,-0.9825070084,0.0
0.9270478451,4.5774570138,-9.2556368655,1.0
6.9529250138,-8.5971825454,1.9930092681,1.0
4.5544328601,-1.7555638558,-10.7137996542,1.0
-0.3210474612,8.7650182058,7.6501035514,1.0
-8.0572623708,3.9617941136,7.2922719658,0.0
-0.3706435529,-10.6255162196,4.4009764185,0.0
-5.5814361549,-1.8847785865,-9.4454385444,0.0
-2.8560474672,9.1680250942,4.905941199,0.0
10.4076827185,-1.7321953033,-2.4293170049,1.0
-5.4960537352,5.4213934109,-7.2650700164,0.0
-0.85694019,8.7072926168,5.2615848427,1.0
8.9570779642,-4.4960840024,5.1187177522,0.0
-1.0803596287,-11.7421986592,-1.9582849436,0.0
8.5537443432,-0.153538827,-7.4726628985,0.0
-8.5803852894,3.6357342393,-6.3996603092,0.0
3.635398377,-2.8095721267,-10.5222718484,1.0
5.2513224836,4.335593447,9.4123495376,0.0
-6.8456171188,8.0431040858,-3.2488117833,1.0
-4.3141796451,8.5014325992,3.965439207,1.0
1.5945616778,7.6477359977,-6.4669377841,1.0
-4.3382880811,10.0343974647,0.9330300831,0.0
6.504505101,-0.8006557819,8.7601110082,0.0
7.403471942,-7.9657829602,-2.6238338681,0.0
-9.2741582008,3.5951868113,-5.7698098014,1.0
9.9813337792,0.4224339979,2.5427342946,0.0
-5.178660216,8.5446595403,-4.9107595592,0.0
2.2109498085,1.7840943928,9.8671381613,1.0
9.5281569194,-3.0764833328,-5.5948557764,0.0
3.9576307615,-0.4371366064,-11.2484597359,1.0
0.2470433841,-10.0533926722,-2.4639670499,0.0
-3.2329774643,-4.7709856285,9.9069509308,0.0
-8.1985295374,-4.9911365764,-5.2606610353,0.0
8.1497440718,-1.9050189215,7.4953689707,1.0
3.0669513182,-6.0925378159,9.4051916485,0.0
8.6153538484,3.6326835498,7.2996306322,1.0
1.7353348559,2.0057117627,9.8597699466,0.0
0.5743220684,-10.5816771128,-3.5677350359,0.0
-10.997935845,2.5906397675,1.9231629381,1.0
-3.84286726,5.1855073045,-9.0054442058,0.0
-3.9186063468,3.2448330186,9.1145303182,1.0
2.4347257007,-1.6104581685,-9.8405788066,1.0
5.0527392814,-8.5540258857,2.0692769649,0.0
-9.3955324664,-3.1396732185,-1.6958651437,1.0
6.9203454673,0.4916721771,8.5346886131,1.0
-10.2952259616,3.0244215494,-3.6189809821,1.0
-5.353286186,-1.3133817554,9.4202382102,0.0
-3.8269287012,5.5921083784,7.520986011,1.0
-1.5291221147,-8.7084641427,6.232440533,0.0
2.3776940936,9.3482458604,3.4244835508,1.0
-1.1612491071,10.0366606413,0.1125603994,0.0
-8.2290248126,5.8423951525,-5.2718494367,0.0
-5.435897459,1.2239286997,8.9288470953,1.0
3.14823311,-9.6414478327,0.3662322939,0.0
-9.2704493886,-4.3424423782,-4.5927868764,1.0
2.6949937593,4.3996992185,-10.4667464597,0.0
-2.561229313,8.0513311317,7.6998560547,1.0
0.913429174,-9.8259412162,-5.461561443,0.0
0.6895668848,-5.0764835019,-10.7021955937,1.0
8.5095316108,-3.7905861849,-6.7532135568,1.0
-5.567053011,-8.7037819726,-1.9839174922,1.0
2.8987720673,-10.4617382429,-3.2921246293,1.0
3.683507235,-3.321798114,-10.9038807309,0.0
-5.806675278,2.7229796913,9.1751306977,1.0
-6.1576864283,-3.2915246547,-8.5048912165,0.0
10.3510808584,-0.2585763604,-4.8037398152,0.0
-9.3916555674,-4.1109249945,-5.2015349926,1.0
-0.9064567425,-10.3619832489,5.5874774836,1.0
8.7658934096,5.7889688741,-3.5042491911,0.0
10.3000820365,4.0268711785,-0.6977802584,1.0
0.0686306129,5.9263105924,8.8432764315,0.0
-3.1647713423,-1.6722058337,10.6152374601,1.0
-2.6088264184,-9.4038258411,-6.5311439019,1.0
11.287661059,0.8326592046,-3.9315426064,0.0
-5.0182972509,-4.44892494,-7.6732765562,1.0
9.1638094694,-0.6409609144,-6.7600949565,0.0
-5.9912545075,8.5802663035,-3.7814695465,0.0
1.9729899869,-6.5110256291,8.76529429,1.0
-6.3996991284,8.3137168268,2.6660243154,0.0
-10.964217288,-1.5676128897,-3.1374050957,0.0
-9.4523191728,-1.5343046613,2.9466951142,0.0
7.5267366243,-6.651082801,-1.8745923925,1.0
0.5948550878,-8.4882896299,-5.7169496649,0.0
-5.7181124235,-9.570089571,-1.8057398651,0.0
-8.2300434584,-5.7893853455,-5.7263268601,1.0
-6.6405583958,-6.596174893,-4.0894396127,1.0
-3.7903311955,-10.6891084972,-0.3394834319,0.0
-6.8370837002,-8.3986067564,-4.6806183948,0.0
10.3412649037,2.6608633051,-2.8902680072,1.0
-2.5193405836,-8.8737174931,7.6536226982,1.0
-1.9870187425,-9.4931128962,5.1735296796,1.0
-2.2207577183,-9.7174614825,4.2469039675,1.0
6.5344424001,7.2829655333,-2.9480028007,1.0
7.4606810166,4.6243976323,5.042297756,0.0
-8.1196545051,7.2242460097,0.4511757273,1.0
9.0796292106,-5.0085380748,1.5064886157,0.0
-4.6398664422,0.3915343912,10.4068472472,0.0
7.4554497437,7.1740622278,4.3610675635,1.0
5.390778624,-3.1216341392,9.0806404946,0.0
-0.3973475666,-8.2386621262,6.9492266107,1.0
3.3082936425,8.2534530669,-6.2585246914,1.0
-4.6102755074,-3.3118534429,-9.2303294251,0.0
