"Download (Mbit/s), x; Upload (Mbit/s), x; Ping (ms), x (1)","Download (Mbit/s), y (1)","Upload (Mbit/s), y (1)","Ping (ms), y (1)"
e8df04,99e46b,a57e8f,8925df
2017-11-05 08:00:00,19.16,1.99,44.884
2017-11-05 09:00:00,19.1,1.74,48.225
2017-11-05 10:00:00,19.55,1.89,43.746
2017-11-05 11:00:00,18.83,1.96,42.403
2017-11-05 12:00:00,16.14,1.86,41.558
2017-11-05 13:00:00,17.4,1.92,49.703
2017-11-05 14:00:00,18.97,1.54,42.004
2017-11-05 15:00:00,15.4,1.92,43.993
2017-11-05 16:00:00,17.94,1.9,48.036
2017-11-05 17:00:00,18.63,1.98,43.889
2017-11-05 18:00:00,16.67,1.94,53.065
2017-11-05 19:00:00,18.99,1.94,45.782
2017-11-05 20:00:00,17.7,1.96,63.2
2017-11-05 21:00:00,19.11,1.9,66.619
2017-11-05 22:00:00,15.16,1.86,45.531
2017-11-05 23:00:00,15.46,1.96,49.554
2017-11-06 00:00:00,19.04,1.94,45.586
2017-11-06 01:00:00,19.5,1.97,40.599
2017-11-06 02:00:00,19.61,1.95,45.577
2017-11-06 03:00:00,19.61,1.88,42.266
2017-11-06 04:00:00,19.54,1.87,40.371
2017-11-06 05:00:00,19.65,1.95,41.609
2017-11-06 06:00:00,19.65,1.97,43.359
2017-11-06 07:00:00,16.19,1.93,44.255
2017-11-06 08:00:00,19.62,1.94,45.442
2017-11-06 09:00:00,19.42,1.97,42.513
2017-11-06 10:00:00,18.77,1.94,49.196
2017-11-06 11:00:00,19.5,1.96,43.978
2017-11-06 12:00:00,18.93,1.94,43.838
2017-11-06 13:00:00,19.42,1.88,44.876
2017-11-06 14:00:00,15.67,1.97,50.819
2017-11-06 15:00:00,18.17,1.93,45.645
2017-11-06 16:00:00,19.38,1.93,40.1
2017-11-06 17:00:00,17.85,1.98,44.981
2017-11-06 18:00:00,14.73,1.94,43.985
2017-11-06 19:00:00,17.6,1.93,52.435
2017-11-06 21:00:00,18.57,1.93,38.829
2017-11-06 23:00:00,10.95,1.95,43.215
2017-11-07 00:00:00,15.84,1.93,52.396
2017-11-07 01:00:00,18.65,1.83,40.432
2017-11-07 02:00:00,18.5,1.93,44.98
2017-11-07 03:00:00,18.32,1.92,44.613
2017-11-07 04:00:00,18.29,1.92,57.513
2017-11-07 05:00:00,17.36,1.84,54.117
2017-11-07 06:00:00,19.35,1.93,52.338
2017-11-07 07:00:00,18.69,1.98,52.425
2017-11-07 08:00:00,19.62,1.94,52.314
2017-11-07 09:00:00,19.32,1.95,42.477
2017-11-07 10:00:00,19.6,1.98,45.019
2017-11-07 11:00:00,19.43,1.84,46.578
2017-11-07 12:00:00,17.02,0.11,46.561
2017-11-07 13:00:00,18.09,1.97,46.647
2017-11-07 14:00:00,11.49,1.96,44.783
2017-11-07 15:00:00,15.45,1.97,49.902
2017-11-07 16:00:00,18.05,1.96,42.411
2017-11-07 17:00:00,12.15,1.97,51.418
2017-11-07 18:00:00,16.49,1.84,48.242
2017-11-07 19:00:00,12.31,1.96,47.306
2017-11-07 20:00:00,17.29,1.95,65.775
2017-11-07 21:00:00,13.79,1.94,55.536
2017-11-07 22:00:00,17.76,1.88,45.747
2017-11-07 23:00:00,8.65,1.92,85.711
2017-11-08 00:00:00,18.56,1.97,53.141
2017-11-08 01:00:00,19.54,1.89,49.166
2017-11-08 02:00:00,19.62,1.95,44.07
2017-11-08 03:00:00,19.52,1.98,50.001
2017-11-08 04:00:00,19.64,1.97,44.089
2017-11-08 05:00:00,19.59,1.98,44.775
2017-11-08 06:00:00,19.21,1.94,48.286
2017-11-08 07:00:00,19.26,1.94,37.433
2017-11-08 08:00:00,19.55,1.97,50.0
2017-11-08 09:00:00,19.54,1.95,47.297
2017-11-08 10:00:00,19.33,1.96,45.737
2017-11-08 11:00:00,19.28,1.97,44.931
2017-11-08 12:00:00,16.67,1.93,46.585
2017-11-08 13:00:00,19.18,1.93,50.815
2017-11-08 14:00:00,18.43,1.98,49.889
2017-11-08 15:00:00,18.83,1.96,45.803
2017-11-08 16:00:00,18.93,1.97,53.136
2017-11-08 17:00:00,19.06,1.97,38.973
2017-11-08 18:00:00,9.98,1.89,51.598
2017-11-08 19:00:00,11.47,1.83,63.555
2017-11-08 20:00:00,17.78,1.98,48.29
2017-11-08 21:00:00,11.61,1.88,49.574
2017-11-08 22:00:00,7.84,1.97,77.408
2017-11-08 23:00:00,9.17,1.98,51.421
2017-11-09 00:00:00,17.5,1.94,41.211
2017-11-09 01:00:00,19.57,1.93,52.286
2017-11-09 02:00:00,18.7,1.79,39.386
2017-11-09 03:00:00,18.55,1.93,45.666
2017-11-09 04:00:00,19.52,1.97,44.953
2017-11-09 05:00:00,19.52,1.99,58.253
2017-11-09 06:00:00,19.47,1.94,49.072
2017-11-09 07:00:00,19.35,1.94,49.076
2017-11-09 08:00:00,19.4,1.94,47.613
2017-11-09 09:00:00,19.5,1.99,48.216
2017-11-09 10:00:00,19.5,1.88,48.977
2017-11-09 11:00:00,19.4,1.97,59.873
2017-11-09 12:00:00,19.54,1.98,55.689
2017-11-09 13:00:00,17.8,1.98,55.614
2017-11-09 14:00:00,18.05,1.98,48.215
2017-11-09 15:00:00,15.36,1.97,48.27
2017-11-09 16:00:00,15.76,1.94,47.368
2017-11-09 17:00:00,18.75,1.94,48.254
2017-11-09 18:00:00,17.37,1.92,59.065
2017-11-09 19:00:00,4.74,1.95,95.776
2017-11-09 20:00:00,13.87,1.97,50.726
2017-11-09 21:00:00,3.23,1.94,71.58
2017-11-09 22:00:00,1.49,1.91,44.997
2017-11-09 23:00:00,15.1,1.96,40.734
2017-11-10 00:00:00,16.51,1.82,47.389
2017-11-10 01:00:00,18.35,1.98,47.326
2017-11-10 02:00:00,10.21,1.97,49.009
2017-11-10 03:00:00,19.09,1.89,62.377
2017-11-10 04:00:00,19.47,1.96,39.904
2017-11-10 05:00:00,19.47,1.98,41.573
2017-11-10 06:00:00,19.4,1.94,53.242
2017-11-10 07:00:00,18.79,1.98,49.387
2017-11-10 08:00:00,18.72,1.93,52.523
2017-11-10 09:00:00,19.25,1.95,35.735
2017-11-10 10:00:00,19.35,1.98,46.533
2017-11-10 11:00:00,18.58,1.94,47.436
2017-11-10 12:00:00,18.03,0.07,79.901
2017-11-10 13:00:00,18.67,1.94,39.087
2017-11-10 14:00:00,12.95,1.91,44.083
2017-11-10 15:00:00,10.85,1.91,64.872
2017-11-10 16:00:00,17.86,1.99,75.105
2017-11-10 17:00:00,14.47,1.89,49.818
2017-11-10 18:00:00,18.36,1.82,84.003
2017-11-10 19:00:00,7.66,1.91,65.699
2017-11-10 20:00:00,9.48,1.92,60.736
2017-11-10 21:00:00,5.96,1.96,70.78
2017-11-10 22:00:00,10.79,1.96,67.305
2017-11-10 23:00:00,13.18,1.95,79.095
2017-11-11 00:00:00,17.5,1.96,57.313
2017-11-11 01:00:00,18.01,1.92,45.732
2017-11-11 02:00:00,18.77,1.97,52.271
2017-11-11 03:00:00,18.43,1.96,47.629
2017-11-11 04:00:00,18.74,1.96,40.705
2017-11-11 05:00:00,18.63,1.94,41.585
2017-11-11 06:00:00,19.59,1.95,49.085
2017-11-11 07:00:00,19.39,1.94,49.119
2017-11-11 08:00:00,19.54,1.96,51.581
2017-11-11 09:00:00,17.3,1.98,48.256
2017-11-11 10:00:00,19.42,1.94,58.24
2017-11-11 11:00:00,18.39,1.94,47.448
2017-11-11 12:00:00,17.92,1.97,69.894
2017-11-11 13:00:00,12.81,1.88,53.183
2017-11-11 14:00:00,15.71,1.81,73.047
2017-11-11 15:00:00,17.5,1.87,49.835
2017-11-11 16:00:00,10.89,1.94,55.942
2017-11-11 17:00:00,11.35,1.92,53.421
2017-11-11 18:00:00,12.45,1.95,44.856
2017-11-11 19:00:00,16.82,1.93,55.731
2017-11-11 20:00:00,8.71,1.98,61.544
2017-11-11 21:00:00,7.8,1.98,40.707
2017-11-11 22:00:00,14.15,1.93,47.333
2017-11-11 23:00:00,16.5,1.92,52.255
2017-11-12 00:00:00,13.93,1.96,52.072
2017-11-12 01:00:00,18.01,1.96,55.905
2017-11-12 02:00:00,17.6,1.97,44.008
2017-11-12 03:00:00,18.77,1.95,46.514
2017-11-12 04:00:00,19.18,1.96,54.9
2017-11-12 05:00:00,19.31,1.93,60.059
2017-11-12 06:00:00,19.62,1.96,44.079
2017-11-12 07:00:00,19.59,1.96,49.764
2017-11-12 08:00:00,19.18,1.98,52.373
2017-11-12 09:00:00,19.42,1.93,46.343
2017-11-12 10:00:00,14.68,1.9,56.528
2017-11-12 11:00:00,14.13,1.93,44.038
2017-11-12 12:00:00,17.7,1.97,53.345
2017-11-12 13:00:00,17.58,1.96,57.159
2017-11-12 14:00:00,18.17,1.93,50.615
2017-11-12 15:00:00,12.83,1.95,50.671
2017-11-12 16:00:00,12.25,1.97,45.433
2017-11-12 17:00:00,19.33,1.95,45.648
2017-11-12 18:00:00,15.46,1.91,62.541
2017-11-12 19:00:00,14.97,1.93,49.807
2017-11-12 20:00:00,17.82,1.97,56.462
2017-11-12 21:00:00,17.55,1.87,45.539
2017-11-12 22:00:00,12.79,1.91,70.924
2017-11-12 23:00:00,17.48,1.97,54.148
2017-11-13 00:00:00,18.9,1.96,48.026
2017-11-13 01:00:00,19.23,1.97,45.644
2017-11-13 02:00:00,19.54,1.96,42.537
2017-11-13 03:00:00,19.61,1.95,41.632
2017-11-13 04:00:00,19.57,1.97,54.156
2017-11-13 05:00:00,19.5,1.98,39.159
2017-11-13 06:00:00,19.54,1.96,44.147
2017-11-13 07:00:00,19.65,1.94,46.469
2017-11-13 08:00:00,19.52,1.95,46.623
2017-11-13 09:00:00,14.96,1.96,42.487
2017-11-13 11:00:00,16.76,1.92,49.187
2017-11-13 12:00:00,14.34,1.93,41.552
2017-11-13 13:00:00,18.46,1.96,50.728
2017-11-13 14:00:00,18.83,1.94,74.786
2017-11-13 15:00:00,9.1,1.96,63.243
2017-11-13 16:00:00,18.77,1.93,47.365
2017-11-13 17:00:00,16.78,1.92,44.902
2017-11-13 18:00:00,18.81,1.94,52.216
2017-11-13 19:00:00,15.26,1.89,52.269
2017-11-13 20:00:00,16.26,1.93,50.693
2017-11-13 21:00:00,16.15,1.88,60.56
2017-11-13 22:00:00,16.76,1.91,49.071
2017-11-13 23:00:00,8.56,1.95,84.044
2017-11-14 00:00:00,17.86,1.95,54.899
2017-11-14 01:00:00,19.47,1.98,41.583
2017-11-14 02:00:00,19.54,1.92,47.412
2017-11-14 03:00:00,19.61,1.97,48.218
2017-11-14 04:00:00,19.61,1.93,53.213
2017-11-14 05:00:00,19.55,1.96,43.215
2017-11-14 06:00:00,19.62,1.94,42.426
2017-11-14 07:00:00,19.64,1.94,39.901
2017-11-14 08:00:00,19.54,1.97,44.805
2017-11-14 09:00:00,19.52,1.96,49.857
2017-11-14 10:00:00,18.38,1.9,62.404
2017-11-14 11:00:00,18.43,1.9,43.252
2017-11-14 12:00:00,16.87,0.0,70.717
2017-11-14 13:00:00,16.95,1.94,50.937
2017-11-14 14:00:00,16.89,1.93,70.734
2017-11-14 15:00:00,17.56,0.13,90.799
2017-11-14 16:00:00,18.56,1.94,58.733
2017-11-14 17:00:00,15.53,1.92,44.924
2017-11-14 18:00:00,11.9,1.9,49.904
2017-11-14 19:00:00,14.09,1.93,53.186
2017-11-14 20:00:00,8.45,1.91,67.792
2017-11-14 21:00:00,14.28,1.8,64.073
2017-11-14 22:00:00,12.53,1.9,67.044
2017-11-14 23:00:00,18.13,1.91,50.642
2017-11-15 00:00:00,14.0,1.91,58.909
2017-11-15 01:00:00,19.03,1.96,50.65
2017-11-15 02:00:00,18.9,1.94,51.565
2017-11-15 03:00:00,18.92,1.95,45.748
2017-11-15 04:00:00,18.93,1.95,49.95
2017-11-15 05:00:00,18.93,1.93,58.276
2017-11-15 06:00:00,19.02,1.88,44.1
2017-11-15 07:00:00,18.96,1.91,43.134
2017-11-15 08:00:00,18.95,1.94,51.598
2017-11-15 09:00:00,18.7,1.91,51.601
2017-11-15 10:00:00,18.83,1.94,48.127
2017-11-15 11:00:00,18.39,0.38,66.553
2017-11-15 12:00:00,18.76,1.93,53.231
2017-11-15 13:00:00,18.77,1.93,58.959
2017-11-15 14:00:00,12.95,1.92,59.491
2017-11-15 15:00:00,14.97,1.91,58.954
2017-11-15 16:00:00,17.96,1.9,58.263
2017-11-15 17:00:00,14.97,1.97,43.127
2017-11-15 18:00:00,14.97,1.95,52.426
2017-11-15 19:00:00,16.23,1.86,51.59
2017-11-15 20:00:00,15.2,1.8,52.785
2017-11-15 21:00:00,17.0,1.89,61.026
2017-11-15 22:00:00,14.48,1.87,46.586
2017-11-15 23:00:00,16.58,1.93,59.075
2017-11-16 00:00:00,18.66,1.94,48.977
2017-11-16 01:00:00,18.24,1.94,49.939
2017-11-16 02:00:00,18.86,1.93,58.082
2017-11-16 03:00:00,18.79,1.95,49.896
2017-11-16 04:00:00,18.83,1.94,50.717
2017-11-16 05:00:00,18.86,1.92,53.258
2017-11-16 06:00:00,17.92,1.91,57.417
2017-11-16 07:00:00,18.82,1.92,54.091
2017-11-16 08:00:00,18.76,1.95,46.615
2017-11-16 09:00:00,18.56,1.96,49.107
2017-11-16 10:00:00,17.3,1.88,55.759
2017-11-16 11:00:00,17.97,1.94,47.433
2017-11-16 12:00:00,18.13,1.97,48.261
2017-11-16 13:00:00,17.92,1.92,52.411
2017-11-16 14:00:00,15.61,1.92,49.878
2017-11-16 15:00:00,17.56,1.97,54.06
2017-11-16 16:00:00,17.4,1.95,62.318
2017-11-16 17:00:00,17.54,1.77,52.296
2017-11-16 18:00:00,13.24,1.97,56.586
2017-11-16 19:00:00,12.34,1.93,67.335
2017-11-16 20:00:00,9.2,1.88,39.142
2017-11-16 21:00:00,11.18,1.92,51.585
2017-11-16 22:00:00,6.66,1.96,117.378
2017-11-16 23:00:00,15.45,1.93,51.521
2017-11-17 00:00:00,12.35,1.91,54.052
2017-11-17 01:00:00,18.26,1.92,52.399
2017-11-17 02:00:00,18.69,1.95,50.727
2017-11-17 03:00:00,19.14,1.95,49.886
2017-11-17 04:00:00,19.18,1.96,52.293
2017-11-17 05:00:00,19.26,1.94,51.583
2017-11-17 06:00:00,19.18,1.96,58.132
2017-11-17 07:00:00,18.65,1.92,54.883
2017-11-17 08:00:00,18.97,1.87,41.579
2017-11-17 09:00:00,18.97,1.95,55.725
2017-11-17 10:00:00,19.25,1.92,44.691
2017-11-17 11:00:00,17.82,1.93,52.438
2017-11-17 12:00:00,19.23,1.91,58.074
2017-11-17 13:00:00,18.61,1.92,61.876
