"genesis-vision, x; Moving Average 8, x; Moving Average 40, x; Volume, x; Bollinger Bands, x; Trace 5, x",close,high,low,open,"Moving Average 8, y","Moving Average 40, y","Volume, y",color,"Bollinger Bands, y","Trace 5, y"
fdefce,fbaf5b,6317e7,88612f,d65c6e,bd41d7,ea333a,a1faca,12372b,cbd2b2,e6ef66
2017-11-15,2.68,2.68,1.8,2.01,,,255.0996268657,#17BECF,,
2017-11-16,2.74,3.8,2.54,2.68,,,1294.9416058394,#17BECF,,
2017-11-17,2.16,3.18,2.09,2.79,,,565.7962962963,#7F7F7F,,
2017-11-18,2.11,2.57,1.64,2.13,,,378.1312796209,#7F7F7F,,
2017-11-19,2.17,2.37,1.92,2.1,,,352.9751152074,#17BECF,,
2017-11-20,2.47,2.69,1.89,2.17,,,483.8299595142,#17BECF,,
2017-11-21,2.79,3.41,2.07,2.5,,,983.4157706093,#17BECF,,
2017-11-22,2.75,3.38,2.73,2.83,2.48375,,581.4036363636,#7F7F7F,,
2017-11-23,2.64,3.04,2.64,2.74,2.47875,,292.5185606061,#7F7F7F,,
2017-11-24,3.09,3.09,2.48,2.64,2.5225,,242.4307443366,#17BECF,3.2083483289,1.9116516711
2017-11-25,3.54,3.55,2.94,3.09,2.695,,304.3785310734,#17BECF,3.5448486463,1.7471513537
2017-11-26,5.26,5.47,3.45,3.45,3.08875,,726.5323193916,#17BECF,4.7844381487,1.0115618513
2017-11-27,8.27,9.19,5.25,5.25,3.85125,,1641.0278113664,#17BECF,7.3146968992,-0.2966968992
2017-11-28,6.18,8.83,6.09,8.19,4.315,,1101.001618123,#7F7F7F,7.9219977256,-0.0899977256
2017-11-29,5.37,6.73,4.43,6.17,4.6375,,1177.6387337058,#7F7F7F,8.131846221,0.340153779
2017-11-30,7.05,7.6,5.07,5.45,5.175,,979.504964539,#17BECF,8.741047758,0.646952242
2017-12-01,6.46,7.14,6.17,6.93,5.6525,,193.3653250774,#7F7F7F,9.004968109,1.117031891
2017-12-02,6.72,7.37,5.62,6.46,6.10625,,261.6011904762,#17BECF,9.1598890073,1.7561109927
2017-12-03,6.8,7.09,5.93,6.73,6.51375,,152.9926470588,#17BECF,9.0686649972,2.6793350028
2017-12-04,6.34,6.81,6.07,6.81,6.64875,,139.6047318612,#7F7F7F,8.7264923893,3.6715076107
