"bitcoin, x; Moving Average 8, x; Moving Average 40, x; Volume, x; Bollinger Bands, x; Trace 5, x",close,high,low,open,"Moving Average 8, y","Moving Average 40, y","Volume, y",color,"Bollinger Bands, y","Trace 5, y"
00517a,9fb4cd,5f5e90,575fed,1a9260,7b9805,769f8b,c253bb,616406,dc90a6,01e6e3
2013-04-28,134.21,135.98,132.1,135.3,,,,#7F7F7F,,
2013-04-29,144.54,147.49,134.0,134.44,,,,#17BECF,,
2013-04-30,139.0,146.93,134.05,144.0,,,,#7F7F7F,,
2013-05-01,116.99,139.89,107.72,139.0,,,,#7F7F7F,,
2013-05-02,105.21,125.6,92.28,116.38,,,,#7F7F7F,,
2013-05-03,97.75,108.13,79.1,106.25,,,,#7F7F7F,,
2013-05-04,112.5,115.0,92.5,98.1,,,,#17BECF,,
2013-05-05,115.91,118.8,107.14,112.9,120.76375,,,#17BECF,,
2013-05-06,112.3,124.66,106.64,115.98,118.025,,,#7F7F7F,,
2013-05-07,111.5,113.44,97.7,112.25,113.895,,,#7F7F7F,149.4127735621,88.5692264379
2013-05-08,113.57,115.78,109.6,109.6,110.71625,,,#17BECF,145.5044426194,88.3495573806
2013-05-09,112.67,113.46,109.26,113.2,110.17625,,,#7F7F7F,134.7329363782,92.7470636218
2013-05-10,117.2,122.0,111.55,112.8,111.675,,,#17BECF,123.4476705502,99.6723294498
2013-05-11,115.24,118.68,113.01,117.7,113.86125,,,#7F7F7F,122.9649414698,99.8050585302
2013-05-12,115.0,117.45,113.44,115.64,114.17375,,,#7F7F7F,123.2587906002,101.4692093998
2013-05-13,117.98,118.7,114.5,114.82,114.4325,,,#17BECF,118.8148015613,109.9591984387
2013-05-14,111.5,119.8,110.25,117.98,114.3325,,,#7F7F7F,118.9434750617,109.6305249383
2013-05-15,114.22,115.81,103.5,111.4,114.6725,,,#17BECF,118.6332068982,109.6027931018
2013-05-16,118.76,118.76,112.2,114.22,115.32125,,,#17BECF,119.925431326,109.602568674
2013-05-17,123.02,125.3,116.57,118.21,116.615,,,#17BECF,122.7204965525,109.1115034475
2013-05-18,123.5,125.25,122.3,123.5,117.4025,,,#7F7F7F,124.9734760111,108.8445239889
2013-05-19,121.99,124.5,119.57,123.21,118.24625,,,#7F7F7F,125.8823290775,109.7996709225
2013-05-20,122.0,123.62,120.12,122.5,119.12125,,,#7F7F7F,126.7556926441,109.8863073559
2013-05-21,122.88,123.0,121.21,122.02,119.73375,,,#17BECF,127.6622062274,110.5077937726
2013-05-22,123.89,124.0,122.0,122.89,121.2825,,,#17BECF,128.5121923666,111.4358076334
2013-05-23,126.7,126.93,123.1,123.8,122.8425,,,#17BECF,130.2193864389,111.4726135611
2013-05-24,133.2,133.85,125.72,126.3,124.6475,,,#17BECF,132.8110200499,113.2209799501
2013-05-25,131.98,133.22,128.9,133.1,125.7675,,,#7F7F7F,133.9161403857,115.6678596143
2013-05-26,133.48,136.0,130.62,131.99,127.015,,,#17BECF,135.8031786276,116.7248213724
2013-05-27,129.75,135.47,124.7,133.5,127.985,,,#7F7F7F,136.4083652659,117.4656347341
2013-05-28,129.0,130.58,125.6,129.77,128.86,,,#7F7F7F,136.706742344,118.267257656
2013-05-29,132.3,132.59,127.66,129.0,130.0375,,,#17BECF,137.3012304864,119.7347695136
2013-05-30,128.8,132.25,127.0,132.25,130.65125,,,#7F7F7F,136.6975632465,121.6984367535
2013-05-31,129.0,129.9,126.4,128.8,130.93875,,,#17BECF,135.8808556966,123.7391443034
2013-06-01,129.3,129.78,127.2,128.81,130.45125,,,#17BECF,134.8336227442,125.8683772558
2013-06-02,122.29,129.4,115.05,129.3,129.24,,,#7F7F7F,136.4050032076,123.4149967924
2013-06-03,122.22,122.5,116.0,122.5,127.8325,,,#7F7F7F,136.4473668325,121.1766331675
2013-06-04,121.42,123.84,119.1,120.74,126.79125,,,#17BECF,136.309789024,119.202210976
2013-06-05,121.65,123.47,119.9,121.4,125.8725,,,#17BECF,134.876964515,118.269035485
2013-06-06,118.0,123.1,117.25,121.9,124.085,121.8105,,#7F7F7F,134.9373305146,115.8586694854
2013-06-07,111.5,119.0,106.42,118.97,121.9225,121.24275,,#7F7F7F,136.196614089,111.099385911
2013-06-08,108.3,111.42,107.3,111.0,119.335,120.33675,,#7F7F7F,135.5060403827,106.9899596173
2013-06-09,100.0,108.99,88.5,107.89,115.6725,119.36175,,#7F7F7F,136.8541168328,99.8818831672
2013-06-10,106.35,110.1,95.0,100.44,113.68,119.09575,,#17BECF,134.3482162376,97.8577837624
2013-06-11,108.9,109.6,104.0,106.35,112.015,119.188,,#17BECF,130.1889516171,97.9370483829
2013-06-12,108.15,111.79,106.73,109.0,110.35625,119.448,,#7F7F7F,128.031389498,97.266610502
2013-06-13,104.0,110.3,100.53,108.78,108.15,119.2355,,#7F7F7F,125.469322372,96.184677628
2013-06-14,99.98,104.7,98.0,103.95,105.8975,118.83725,,#7F7F7F,122.6968504503,94.6691495497
2013-06-15,99.99,103.7,98.0,100.0,104.45875,118.5295,,#7F7F7F,118.1097680522,94.9242319478
2013-06-16,99.51,101.6,98.95,99.8,103.36,118.22975,,#7F7F7F,113.7462612138,95.5897387862
2013-06-17,101.7,102.21,99.0,99.9,103.5725,117.933,,#17BECF,111.5184862911,95.8575137089
2013-06-18,107.4,111.11,101.03,101.95,103.70375,117.80125,,#17BECF,111.2105498721,95.9854501279
2013-06-19,108.25,110.22,105.75,107.05,103.6225,117.5775,,#17BECF,112.0905016937,96.7554983063
2013-06-20,110.15,114.3,107.5,108.25,103.8725,117.45025,,#17BECF,113.233632242,96.372367758
2013-06-21,109.5,114.99,107.69,111.29,104.56,117.31275,,#7F7F7F,113.4306500084,96.2953499916
2013-06-22,108.3,109.96,107.51,109.5,105.6,117.07075,,#7F7F7F,113.4717124302,96.2842875698
2013-06-23,107.6,108.8,106.23,108.2,106.55125,116.97325,,#7F7F7F,113.968767053,96.507232947
2013-06-24,102.74,108.33,100.98,107.9,106.955,116.68625,,#7F7F7F,113.661005994,97.366994006
2013-06-25,103.95,106.47,101.01,102.09,107.23625,116.316,,#17BECF,113.2039609724,98.6160390276
2013-06-26,104.0,105.49,102.79,103.33,106.81125,115.8405,,#17BECF,112.3358549887,100.3821450113
