"bitshares, x; Moving Average 8, x; Moving Average 40, x; Volume, x; Bollinger Bands, x; Trace 5, x",close,high,low,open,"Moving Average 8, y","Moving Average 40, y","Volume, y",color,"Bollinger Bands, y","Trace 5, y"
19cb35,70f582,93df57,4048f3,bdd18a,16e671,917eae,014563,f4ec29,5c8641,6da988
2017-10-12,0.049118,0.051315,0.048029,0.049085,,,113194.1447127326,#17BECF,,
2017-10-13,0.053578,0.05499,0.046058,0.049521,,,124841.3527940573,#17BECF,,
2017-10-14,0.051105,0.054447,0.050075,0.053837,,,61183.2501712161,#7F7F7F,,
2017-10-15,0.050607,0.052812,0.049676,0.050936,,,51197.6604027111,#7F7F7F,,
2017-10-16,0.056209,0.069259,0.04946,0.050543,,,253139.1770001245,#17BECF,,
2017-10-17,0.055195,0.063722,0.054212,0.05594,,,90615.6354742277,#7F7F7F,,
2017-10-18,0.056197,0.057647,0.049644,0.055196,,,86596.4375322526,#17BECF,,
2017-10-19,0.052308,0.056345,0.051545,0.056345,0.053039625,,48374.8183834213,#7F7F7F,,
2017-10-20,0.049977,0.052938,0.048214,0.052326,0.053147,,72040.1384636933,#7F7F7F,,
2017-10-21,0.054017,0.055224,0.048904,0.049909,0.053201875,,60655.9046226188,#17BECF,0.0580133092,0.0476488908
2017-10-22,0.052607,0.054756,0.050423,0.054282,0.053389625,,38848.4422225179,#7F7F7F,0.0576754399,0.0486845601
2017-10-23,0.049859,0.052679,0.049198,0.052418,0.053296125,,52963.7577969875,#7F7F7F,0.0577503327,0.0478658673
2017-10-24,0.053069,0.055471,0.049339,0.04949,0.052903625,,67949.085153291,#17BECF,0.0577998466,0.0482091534
2017-10-25,0.05229,0.05394,0.050027,0.053255,0.0525405,,41484.4138458596,#7F7F7F,0.0577050935,0.0486405065
2017-10-26,0.052257,0.053698,0.051257,0.052486,0.052048,,29049.3139675067,#7F7F7F,0.0567929671,0.0487622329
2017-10-27,0.052926,0.054169,0.051481,0.052322,0.05212525,,36389.1093224502,#17BECF,0.056198561,0.048902839
2017-10-28,0.051667,0.0537,0.051422,0.05307,0.0523365,,27477.1130508835,#7F7F7F,0.0547116654,0.0494837346
2017-10-29,0.054771,0.055904,0.051666,0.05202,0.05243075,,44522.6488470176,#17BECF,0.0554616561,0.0492263439
