x,y
536d31,b05a63
2017-06-22,09
2017-06-23,0
2017-06-24,13
2017-06-25,13
2017-06-26,18
2017-06-27,13
2017-06-28,13
2017-06-29,13
2017-06-30,12
2017-07-01,14
2017-07-02,14
2017-07-03,14
2017-07-04,13
2017-07-05,0
2017-07-06,14
2017-07-07,13
2017-07-08,0
2017-07-09,13
2017-07-10,12
2017-07-11,13
2017-07-12,12
2017-07-13,12
2017-07-14,12
2017-07-15,13
2017-07-16,12
2017-07-17,11
2017-07-18,12
2017-07-19,12
2017-07-20,10
2017-07-21,12
2017-07-22,14
2017-07-23,13
2017-07-24,14
2017-07-25,13
2017-07-26,13
2017-07-27,15
2017-07-28,12
2017-07-29,04
2017-07-30,14
2017-07-31,0
2017-08-01,0
2017-08-02,0
2017-08-03,21
2017-08-04,15
2017-08-05,14
2017-08-06,15
2017-08-07,14
2017-08-08,13
2017-08-09,12
2017-08-10,13
2017-08-11,12
2017-08-12,12
2017-08-13,13
2017-08-14,12
2017-08-15,12
2017-08-16,12
2017-08-17,11
2017-08-18,12
2017-08-19,12
2017-08-20,13
2017-08-21,11
2017-08-22,10
2017-08-23,11
2017-08-24,11
2017-08-25,12
2017-08-26,11
2017-08-27,12
2017-08-28,11
2017-08-29,11
2017-08-30,11
2017-08-31,11
2017-09-01,11
2017-09-02,11
2017-09-03,13
2017-09-04,11
2017-09-05,10
2017-09-06,09
2017-09-07,14
2017-09-08,11
2017-09-09,09
2017-09-10,11
2017-09-11,10
2017-09-12,10
2017-09-13,14
2017-09-14,10
2017-09-15,10
2017-09-16,09
2017-09-17,10
2017-09-18,10
2017-09-19,09
2017-09-20,10
2017-09-21,10
2017-09-22,10
2017-09-23,09
2017-09-24,10
2017-09-25,15
2017-09-26,09
2017-09-27,09
2017-09-28,09
2017-09-29,08
2017-09-30,09
2017-10-01,09
2017-10-02,10
2017-10-03,0
2017-10-04,0
2017-10-05,0
2017-10-06,0
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,0
2017-10-11,0
2017-10-12,0
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,0
2017-10-18,0
2017-10-19,0
2017-10-20,0
2017-10-21,0
2017-10-22,0
2017-10-23,0
2017-10-24,0
2017-10-25,0
2017-10-26,0
2017-10-27,0
2017-10-28,0
2017-10-29,0
2017-10-30,0
2017-10-31,0
2017-11-01,0
2017-11-02,0
2017-11-03,0
2017-11-07,0
2017-11-08,14
2017-11-09,13
2017-11-10,12
2017-11-11,10
2017-11-12,11
2017-11-13,11
2017-11-14,11
2017-11-15,12
2017-11-16,12
2017-11-17,11
2017-11-18,12
2017-11-19,09
2017-11-20,11
2017-11-21,12
2017-11-22,11
2017-11-23,12
2017-11-24,12
2017-11-25,11
2017-11-26,13
2017-11-27,12
2017-11-28,0
2017-11-29,20
2017-11-30,15
2017-12-01,12
2017-12-02,13
2017-12-03,13
2017-12-04,11
2017-12-05,11
2017-12-06,12
2017-12-07,11
2017-12-08,11
2017-12-09,12
2017-12-10,12
2017-12-11,11
2017-12-12,03
2017-12-13,09
2017-12-14,09
2017-12-15,09
2017-12-16,09
2017-12-17,10
2017-12-18,10
2017-12-19,10
2017-12-20,10
2017-12-21,09
2017-12-22,11
2017-12-23,10
2017-12-24,09
2017-12-25,09
2017-12-26,10
2017-12-27,10
2017-12-28,09
2017-12-29,09
2017-12-30,09
2017-12-31,09
2018-01-01,08
2018-01-02,09
2018-01-03,09
2018-01-04,09
2018-01-05,09
2018-01-06,17
2018-01-07,12
2018-01-08,13
2018-01-09,12
2018-01-10,13
2018-01-11,13
2018-01-12,19
