x,y
12549f,822b90
-2.1373335177,-0.0225567068
0.0768829722,-0.5966060037
0.6144373696,-0.6056688893
-0.7097564576,1.1406058908
2.0709212269,-0.3846245135
-1.2856369898,0.6720649271
1.2299440204,0.81398433
1.0836308728,-0.155684683
0.2781567141,-0.2527046512
-0.2110606061,-0.5890484609
0.2365582165,0.0016291344
1.2088686325,-1.1346423123
-0.7401915417,-2.5509569081
0.9392948629,-0.9546918257
0.3350846762,-0.2660398476
0.0416113278,-0.9860607289
0.6570591929,-1.1842318359
0.9604103221,-0.9867597535
-0.3237652007,-1.8019664124
-0.0236485874,1.1535951718
-0.8144254022,0.2756583818
0.3324713225,1.1507740037
0.6325560348,-2.461319015
1.2210747937,0.3349590228
-0.2069732588,-0.6661486544
-0.7692807187,0.1661050484
-0.3968929089,0.3261737138
1.3349567726,-1.2087697648
0.231690717,-2.5811347228
-0.3503506245,-1.1928038312
0.0655790464,-1.7617746399
0.07468765,-0.9635457917
1.739436986,1.3125953429
-1.3617688828,0.6779553572
-1.3951480869,-2.9259809425
1.2940187345,-1.25239252
1.4936759231,-0.4913794087
1.188505535,0.1160743237
0.0380505156,-1.1158747284
-0.1849358199,-0.6448778768
-0.0810358406,0.4149974229
-0.3804958318,-0.4503920199
1.090829728,0.3538269536
-1.7765313408,-0.8472626237
-1.5392709313,0.2973562409
0.1771020807,-0.7556959229
0.3989662198,0.6938937227
1.0246743437,0.4598187885
0.0395280961,-0.9706449554
-0.1904760257,-0.3070954683
0.7573001289,0.3256086264
0.3533071284,-0.4604549477
-0.9372837397,-0.1762085294
-1.6473321435,0.3146374031
-0.3166614811,0.2714643984
1.4376004987,0.3106089686
0.0171509196,-0.9222946254
1.9116705,-1.3258505734
0.8097657856,1.1329473375
-0.563773361,-0.748141886
0.3403520058,0.141734454
2.3727910512,-0.3945746265
0.1972002052,0.4603900642
-0.1438029462,1.4981890329
0.5436012952,0.3356778487
0.5514433878,0.8681558402
-0.5912572324,1.4686053831
-0.2493133297,1.1399803865
-1.4684422398,-0.2182694754
0.3717399506,-0.342846768
0.1140215238,-1.3993531428
0.2394865452,-0.1811987316
0.5127670065,0.2401266785
-0.1164337939,0.5094042748
0.4997325788,0.671465389
0.1888100928,1.4597095082
0.2495405612,-1.506473557
-0.1220407487,1.21586913
0.4588637149,0.2968594535
-1.6466791734,-0.5250710187
-1.2437365364,1.3932988731
-0.9752716906,-1.6024197525
1.1630139197,-0.2754481261
0.629625774,2.7729737859
0.2714233783,-2.1813399942
-0.7213468303,-0.4201638013
-0.5290773545,-0.5992092464
0.7060770057,1.8610270041
0.2786443922,-1.3449047855
1.6933577138,0.0220819291
0.1047012593,-0.3422532431
-0.0282530769,0.4829248826
0.5733139373,1.4176699085
0.9326776194,-0.6123933385
-0.5750046092,0.020935849
-1.1081981229,-0.264064757
-1.3653703078,0.126868113
0.2662251622,-2.3172854201
-0.5391433989,1.147890631
-2.0385519223,-0.2230257511
0.0579061382,1.322996593
-0.571291194,-2.0368510539
0.1670930173,-0.9946411329
-0.3543700717,0.8429272679
-2.2857589449,-1.2662870717
-0.1960383542,-0.1596758535
0.3061783129,0.2622413873
0.990641089,-1.1287665766
-1.15029781,-0.0274686821
0.6326619168,0.4224894056
-0.5329840368,-0.3950084682
-0.7567318441,-0.8431236102
0.207214668,1.1630296408
-0.5171775444,0.8110964937
-1.5143031507,0.9468312161
1.3683131336,0.2678026612
-0.5700163575,1.4064071475
0.671447987,0.5234297529
1.671428905,-0.5551203696
-0.1172667383,-0.6819811002
-0.4307656354,0.5096047473
-1.1763045509,0.1268825074
-0.3137492543,-0.3766079207
2.3075798507,-1.0907943897
-0.8950498962,-0.5041442436
1.8287122932,-1.2600341097
-1.2998498349,1.9116706132
-0.2966957827,-0.0749244341
-1.0687091964,1.5683253587
1.0172359936,-1.0354765067
-2.7615788982,0.4762056877
0.6565013605,1.8162708617
1.8064189413,-2.6894709534
0.3673692067,-0.4748105316
