type,marker.size,ysrc,name
box,2,ALvinYu:500:dfb1fd,83~99
box,2,ALvinYu:500:b742e6,215以下
box,2,ALvinYu:500:2f1bc3,220~247
box,2,ALvinYu:500:e9da3a,557~597
box,2,ALvinYu:500:18cc39,860~990
box,2,ALvinYu:500:dd7d63,國小以下
box,2,ALvinYu:500:871583,中級
box,2,ALvinYu:500:ac670d,600~677
box,2,ALvinYu:500:67bbd2,優級
box,2,ALvinYu:500:eecb91,100~170
box,2,ALvinYu:500:73aaf0,173~217
box,2,ALvinYu:500:5fd10b,220~465
box,2,ALvinYu:500:3151a5,3.5以下
box,2,ALvinYu:500:0bbaa0,33~60
box,2,ALvinYu:500:329805,403以下
box,2,ALvinYu:500:7f16b6,407~497
box,2,ALvinYu:500:cb01a3,470~725
box,2,ALvinYu:500:2e1783,4~5.5
box,2,ALvinYu:500:0a6fee,500~553
box,2,ALvinYu:500:00688f,6~7
box,2,ALvinYu:500:2129f4,730~855
box,2,ALvinYu:500:7369b5,中高級
box,2,ALvinYu:500:fb6382,初級
box,2,ALvinYu:500:e46f94,國中
box,2,ALvinYu:500:7fb31e,大學
box,2,ALvinYu:500:52a8e0,研究所以上
box,2,ALvinYu:500:dbe0a3,高中
box,2,ALvinYu:500:eecb91,高級
box,2,ALvinYu:500:d1930a,61~82
box,2,ALvinYu:500:71b673,7.5~8.5
box,2,ALvinYu:500:b10a1e,8.5以上
