type,ysrc,xsrc,name
bar,Umbric:105:305727,Umbric:105:c19ca7,[csgofast-fast]
bar,Umbric:105:305727,Umbric:105:c19ca7,[csgo-blackjack]
bar,Umbric:105:305727,Umbric:105:c19ca7,[csgofast-double]
bar,Umbric:105:305727,Umbric:105:c19ca7,[csgofast]
bar,Umbric:105:63671e,Umbric:105:c19ca7,[csgo-lounge]
bar,Umbric:105:0c3ce8,Umbric:105:c19ca7,[jersey2]
bar,Umbric:105:305727,Umbric:105:c19ca7,[fanobet]
bar,Umbric:105:305727,Umbric:105:c19ca7,[saloon2]
bar,Umbric:105:71efe6,Umbric:105:c19ca7,[csgo-big]
bar,Umbric:105:305727,Umbric:105:c19ca7,[easyplay]
