line.color,type,marker.color,uid,ysrc,marker.line.color,fillcolor,xsrc,showlegend,name
,box,"rgb(31, 119, 180)",,adioses:115:d590e6,,"rgb(255,255,255)",,False,11/01/18
,box,"rgb(31, 119, 180)",,adioses:115:60716a,,"rgb(255,255,255)",,False,12/01/18
,box,"rgb(31, 119, 180)",,adioses:115:91ffd1,,"rgb(255,255,255)",,False,13/01/18
,box,"rgb(31, 119, 180)",,adioses:115:796dc8,,"rgb(255,255,255)",,False,14/01/18
,box,"rgb(31, 119, 180)",,adioses:115:e51c23,,"rgb(255,255,255)",,False,15/01/18
,box,"rgb(31, 119, 180)",,adioses:115:371584,,"rgb(255,255,255)",,False,16/01/18
,box,"rgb(31, 119, 180)",,adioses:115:180d22,,"rgb(255,255,255)",,False,17/01/18
,box,"rgb(31, 119, 180)",,adioses:115:c2bcaa,,"rgb(255,255,255)",,False,18/01/18
,box,"rgb(31, 119, 180)",,adioses:115:c927d5,,"rgb(255,255,255)",,False,19/01/18
,box,"rgb(31, 119, 180)",,adioses:115:c74e34,,"rgb(255,255,255)",,False,20/01/18
,box,"rgb(31, 119, 180)",,adioses:115:663ea4,,"rgb(255,255,255)",,False,21/01/18
"rgb(31, 119, 180)",scatter,,0077fc,adioses:115:d65712,"rgb(31, 119, 180)",,adioses:115:725ccd,,Ultima Corrida
