type,marker.color,autobinx,uid,ysrc,autobiny,visible,xsrc,name
bar,"rgb(31, 119, 180)",True,bdbfdc,arathichirakkalhouse:4:a411b4,True,,arathichirakkalhouse:4:7aac2e,TVM
bar,"rgb(255, 127, 14)",True,19229b,arathichirakkalhouse:4:46452d,True,,arathichirakkalhouse:4:7aac2e,KCH
bar,"rgb(44, 160, 44)",True,542f8c,arathichirakkalhouse:4:870f27,True,,arathichirakkalhouse:4:7aac2e,KOZ
bar,"rgb(214, 39, 40)",True,a573f0,arathichirakkalhouse:4:a3e781,True,True,arathichirakkalhouse:4:7aac2e,BLR
bar,"rgb(148, 103, 189)",True,dd3317,arathichirakkalhouse:4:999bcc,True,,arathichirakkalhouse:4:7aac2e,HUB
bar,"rgb(140, 86, 75)",True,bc4c12,arathichirakkalhouse:4:61f921,True,,arathichirakkalhouse:4:7aac2e,CHN
bar,"rgb(227, 119, 194)",True,5754b0,arathichirakkalhouse:4:0093d8,True,,arathichirakkalhouse:4:7aac2e,NGL
bar,"rgb(127, 127, 127)",True,32a230,arathichirakkalhouse:4:981ba0,True,,arathichirakkalhouse:4:7aac2e,MDI
bar,"rgb(188, 189, 34)",True,6bf8e1,arathichirakkalhouse:4:9d88f0,True,,arathichirakkalhouse:4:7aac2e,CBE
bar,"rgb(23, 190, 207)",True,58dddc,arathichirakkalhouse:4:9082ca,True,,arathichirakkalhouse:4:7aac2e,HYD
bar,"rgb(31, 119, 180)",True,51b76c,arathichirakkalhouse:4:37134a,True,,arathichirakkalhouse:4:7aac2e,VIZ
bar,"rgb(255, 127, 14)",True,22ec62,arathichirakkalhouse:4:6f33a9,True,,arathichirakkalhouse:4:7aac2e,MUM
bar,"rgb(44, 160, 44)",True,d5eb9f,arathichirakkalhouse:4:065f23,True,,arathichirakkalhouse:4:7aac2e,AHD
bar,"rgb(214, 39, 40)",True,90613b,arathichirakkalhouse:4:e3190d,True,,arathichirakkalhouse:4:7aac2e,DLI
