type,marker.sizesrc,marker.line.width,ysrc,text,mode,xsrc,name,legendgroup,marker.size,marker.color,textsrc,marker.opacity,showlegend
scatter,,1,bpatoutset:11:3b8e94,20035,line,bpatoutset:11:3e4647,20035,20035,2,#fec44f,,0.9,
scatter,bpatoutset:11:5c83fe,1,bpatoutset:11:0b47e5,,markers,bpatoutset:11:64fb08,20035,20035,,red,bpatoutset:11:fe6e8f,0.7,False
scatter,,1,bpatoutset:11:05e4d4,,markers,bpatoutset:11:f845cc,20035,20035,10,green,bpatoutset:11:1d348e,0.7,False
scatter,,1,bpatoutset:11:5cb35d,20037,line,bpatoutset:11:3e4647,20037,20037,2,#fec44f,,0.9,
scatter,bpatoutset:11:7459aa,1,bpatoutset:11:a8a346,,markers,bpatoutset:11:d49f89,20037,20037,,red,bpatoutset:11:b6fb0a,0.7,False
scatter,,1,bpatoutset:11:119953,,markers,bpatoutset:11:eee0f0,20037,20037,10,green,bpatoutset:11:01c8e4,0.7,False
scatter,,1,bpatoutset:11:7bfe83,20041,line,bpatoutset:11:3e4647,20041,20041,2,#fec44f,,0.9,
scatter,bpatoutset:11:887dfd,1,bpatoutset:11:41c460,,markers,bpatoutset:11:6d340c,20041,20041,,red,bpatoutset:11:ad7ed1,0.7,False
scatter,,1,,,markers,,20041,20041,10,green,,0.7,False
scatter,,1,bpatoutset:11:e61cde,20042,line,bpatoutset:11:3e4647,20042,20042,2,#fec44f,,0.9,
scatter,bpatoutset:11:887dfd,1,bpatoutset:11:1c37a2,,markers,bpatoutset:11:0c6499,20042,20042,,red,bpatoutset:11:ad7ed1,0.7,False
scatter,,1,bpatoutset:11:e5e452,,markers,bpatoutset:11:0a21a3,20042,20042,10,green,bpatoutset:11:ca001d,0.7,False
scatter,,1,bpatoutset:11:684b08,20043,line,bpatoutset:11:3e4647,20043,20043,2,#fec44f,,0.9,
scatter,bpatoutset:11:5c83fe,1,bpatoutset:11:09f3ae,,markers,bpatoutset:11:b70808,20043,20043,,red,bpatoutset:11:fe6e8f,0.7,False
scatter,,1,bpatoutset:11:555e69,,markers,bpatoutset:11:d3a335,20043,20043,10,green,bpatoutset:11:ee9d21,0.7,False
scatter,,1,bpatoutset:11:241adc,20045,line,bpatoutset:11:3e4647,20045,20045,2,#fec44f,,0.9,
scatter,,1,,,markers,,20045,20045,,red,,0.7,False
scatter,,1,bpatoutset:11:0ebd14,,markers,bpatoutset:11:d3a335,20045,20045,10,green,bpatoutset:11:ee9d21,0.7,False
scatter,,1,bpatoutset:11:201368,20046,line,bpatoutset:11:3e4647,20046,20046,2,#fec44f,,0.9,
scatter,bpatoutset:11:5c83fe,1,bpatoutset:11:5ca0c2,,markers,bpatoutset:11:7a2ed2,20046,20046,,red,bpatoutset:11:fe6e8f,0.7,False
scatter,,1,bpatoutset:11:5c2cc2,,markers,bpatoutset:11:5f6b68,20046,20046,10,green,bpatoutset:11:ad1768,0.7,False
scatter,,1,bpatoutset:11:62c991,20047,line,bpatoutset:11:3e4647,20047,20047,2,#fec44f,,0.9,
scatter,,1,,,markers,,20047,20047,,red,,0.7,False
scatter,,1,bpatoutset:11:5956dd,,markers,bpatoutset:11:e6e6fa,20047,20047,10,green,bpatoutset:11:01c8e4,0.7,False
scatter,,1,bpatoutset:11:e3c758,20048,line,bpatoutset:11:3e4647,20048,20048,2,#fec44f,,0.9,
scatter,,1,,,markers,,20048,20048,,red,,0.7,False
scatter,,1,bpatoutset:11:6b85de,,markers,bpatoutset:11:c16579,20048,20048,10,green,bpatoutset:11:ca001d,0.7,False
scatter,,1,bpatoutset:11:9a8168,20049,line,bpatoutset:11:3e4647,20049,20049,2,#fec44f,,0.9,
scatter,bpatoutset:11:0c9c40,1,bpatoutset:11:093b7f,,markers,bpatoutset:11:e4b2e1,20049,20049,,red,bpatoutset:11:96482b,0.7,False
scatter,,1,bpatoutset:11:44f236,,markers,bpatoutset:11:bad036,20049,20049,10,green,bpatoutset:11:cdc0ce,0.7,False
scatter,,1,bpatoutset:11:28ada4,20050,line,bpatoutset:11:3e4647,20050,20050,2,#fec44f,,0.9,
scatter,,1,,,markers,,20050,20050,,red,,0.7,False
scatter,,1,bpatoutset:11:4edb31,,markers,bpatoutset:11:c6e409,20050,20050,10,green,bpatoutset:11:32e1e6,0.7,False
scatter,,1,bpatoutset:11:bf80f4,20051,line,bpatoutset:11:3e4647,20051,20051,2,#fec44f,,0.9,
scatter,bpatoutset:11:887dfd,1,bpatoutset:11:b38bc5,,markers,bpatoutset:11:2f2559,20051,20051,,red,bpatoutset:11:ad7ed1,0.7,False
scatter,,1,bpatoutset:11:2b45c2,,markers,bpatoutset:11:eb20ba,20051,20051,10,green,bpatoutset:11:ca001d,0.7,False
scatter,,1,bpatoutset:11:7e07bf,20054,line,bpatoutset:11:ed019f,20054,20054,2,#fec44f,,0.9,
scatter,bpatoutset:11:6feeea,1,bpatoutset:11:8e9e84,,markers,bpatoutset:11:529765,20054,20054,,red,bpatoutset:11:631b90,0.7,False
scatter,,1,bpatoutset:11:ffa51c,,markers,bpatoutset:11:e06c1b,20054,20054,10,green,bpatoutset:11:32e1e6,0.7,False
scatter,,1,bpatoutset:11:254213,20057,line,bpatoutset:11:3e4647,20057,20057,2,#fec44f,,0.9,
