type,yaxis,xaxis,ysrc,line.width,xsrc,line.dash,mode,line.color,name
scatter,y1,x1,erasmocf.ufrgs:90:7d0e40,1.5,erasmocf.ufrgs:90:60b244,solid,lines,"rgba (31, 119, 180, 1)",close
scatter,y1,x1,erasmocf.ufrgs:90:56f4dd,1.5,erasmocf.ufrgs:90:60b244,solid,lines,"rgba (255, 127, 14, 1)",MA180
scatter,y1,x1,erasmocf.ufrgs:90:eec7c1,1.5,erasmocf.ufrgs:90:60b244,solid,lines,"rgba (44, 160, 44, 1)",MA90
scatter,y1,x1,erasmocf.ufrgs:90:0cbd56,1.5,erasmocf.ufrgs:90:60b244,solid,lines,"rgba (214, 39, 40, 1)",MA30
scatter,y1,x1,erasmocf.ufrgs:90:c6b0bb,1.5,erasmocf.ufrgs:90:60b244,solid,lines,"rgba (148, 103, 189, 1)",MA15
scatter,y1,x1,erasmocf.ufrgs:90:ca79b7,1.5,erasmocf.ufrgs:90:60b244,solid,lines,"rgba (140, 86, 75, 1)",MA7
scatter,y1,x1,erasmocf.ufrgs:90:9ec534,1.5,erasmocf.ufrgs:90:60b244,solid,lines,"rgba (227, 119, 194, 1)",MA1
scatter,y2,x1,erasmocf.ufrgs:90:86406c,1.5,erasmocf.ufrgs:90:60b244,solid,lines,"rgba (31, 119, 180, 1)",log_MA1/7
scatter,y2,x1,erasmocf.ufrgs:90:8f4ca4,1.5,erasmocf.ufrgs:90:60b244,solid,lines,"rgba (255, 127, 14, 1)",log_MA7/15
scatter,y2,x1,erasmocf.ufrgs:90:a9bb01,1.5,erasmocf.ufrgs:90:60b244,solid,lines,"rgba (44, 160, 44, 1)",log_MA15/30
