type,yaxis,ysrc,visible,xsrc,name
scatter,,hraisinghani:21:33ffd1,legendonly,hraisinghani:21:15e2b1,quadx_usd
scatter,,hraisinghani:21:13a12a,legendonly,hraisinghani:21:15e2b1,gemini
scatter,,hraisinghani:21:14eb39,legendonly,hraisinghani:21:15e2b1,cexio
scatter,y2,hraisinghani:21:13a1c0,legendonly,hraisinghani:21:0b049b,quadx_fx
scatter,y2,hraisinghani:21:1b35f5,,hraisinghani:21:0b049b,gemini_quadx
scatter,y2,hraisinghani:21:626477,,hraisinghani:21:0b049b,gemini_cexio
scatter,y2,hraisinghani:21:c6bfbe,legendonly,hraisinghani:21:0b049b,quadx_fx_reverse
scatter,y2,hraisinghani:21:2052f2,legendonly,hraisinghani:21:0b049b,bitfinex_cexio
scatter,y2,hraisinghani:21:bdd1a3,legendonly,hraisinghani:21:0b049b,bitfinex_quadx
scatter,y2,hraisinghani:21:47b981,,hraisinghani:21:0b049b,quadx_cexio
scatter,y2,hraisinghani:21:d1be41,,hraisinghani:21:0b049b,quadx_bitfinex
scatter,y2,hraisinghani:21:a15350,legendonly,hraisinghani:21:0b049b,exmo_quadx
scatter,y2,hraisinghani:21:740052,,hraisinghani:21:0b049b,exmo_cexio
scatter,y2,hraisinghani:21:cadbf8,legendonly,hraisinghani:21:0b049b,quadx_cad_bitfinex
scatter,y2,hraisinghani:21:64e4ba,legendonly,hraisinghani:21:0b049b,quadx_cad_gemini
scatter,y2,hraisinghani:21:6a36d9,legendonly,hraisinghani:21:0b049b,cexio_bitfinex
scatter,y2,hraisinghani:21:7f064d,legendonly,hraisinghani:21:0b049b,cexio_exmo
scatter,y2,hraisinghani:21:7d5281,legendonly,hraisinghani:21:0b049b,cexio_gemini
