ysrc,xsrc,name
jose.maria.merchan:22:81906b,jose.maria.merchan:22:cd8ede,total_audioBitRateIncoming
jose.maria.merchan:22:5ea1b1,jose.maria.merchan:22:cd8ede,total_audioBitRateOutgoing
jose.maria.merchan:22:d79db6,jose.maria.merchan:22:cd8ede,total_videoBitRateIncoming
jose.maria.merchan:22:80620d,jose.maria.merchan:22:cd8ede,total_videoBitRateOutgoing
jose.maria.merchan:22:cd0877,jose.maria.merchan:22:cd8ede,total_callLegsActive
jose.maria.merchan:22:4e8297,jose.maria.merchan:22:cd8ede,cmsc1.customer.com_audioBitRateIncoming
jose.maria.merchan:22:342554,jose.maria.merchan:22:cd8ede,cmsc1.customer.com_audioBitRateOutgoing
jose.maria.merchan:22:36f92d,jose.maria.merchan:22:cd8ede,cmsc1.customer.com_videoBitRateIncoming
jose.maria.merchan:22:5adacb,jose.maria.merchan:22:cd8ede,cmsc1.customer.com_videoBitRateOutgoing
jose.maria.merchan:22:1de600,jose.maria.merchan:22:cd8ede,cmsc2.customer.com_audioBitRateIncoming
jose.maria.merchan:22:36c6a1,jose.maria.merchan:22:cd8ede,cmsc2.customer.com_audioBitRateOutgoing
jose.maria.merchan:22:3de598,jose.maria.merchan:22:cd8ede,cmsc2.customer.com_videoBitRateIncoming
jose.maria.merchan:22:c9fcba,jose.maria.merchan:22:cd8ede,cmsc2.customer.com_videoBitRateOutgoing
jose.maria.merchan:22:296f04,jose.maria.merchan:22:cd8ede,cmsc3.customer.com_audioBitRateIncoming
jose.maria.merchan:22:c77af6,jose.maria.merchan:22:cd8ede,cmsc3.customer.com_audioBitRateOutgoing
jose.maria.merchan:22:76ed4a,jose.maria.merchan:22:cd8ede,cmsc3.customer.com_videoBitRateIncoming
jose.maria.merchan:22:60b3c2,jose.maria.merchan:22:cd8ede,cmsc3.customer.com_videoBitRateOutgoing
jose.maria.merchan:22:f552f8,jose.maria.merchan:22:cd8ede,cmsc4.customer.com_audioBitRateIncoming
jose.maria.merchan:22:23dc13,jose.maria.merchan:22:cd8ede,cmsc4.customer.com_audioBitRateOutgoing
jose.maria.merchan:22:c1ea18,jose.maria.merchan:22:cd8ede,cmsc4.customer.com_videoBitRateIncoming
jose.maria.merchan:22:09714a,jose.maria.merchan:22:cd8ede,cmsc4.customer.com_videoBitRateOutgoing
