type,hoverinfo,latsrc,hovertext,lonsrc,line.width,locationmode,mode,line.color
scattergeo,text,kasia521:1:51ebb7,DEN_ABQ,kasia521:1:1eff38,1,USA-states,lines,red
scattergeo,text,kasia521:1:486b92,DEN_AMA,kasia521:1:e39e7c,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:e92152,DEN_ANC,kasia521:1:ede659,1,USA-states,lines,red
scattergeo,text,kasia521:1:9a6909,DEN_ASE,kasia521:1:edbdeb,1,USA-states,lines,red
scattergeo,text,kasia521:1:5bf2b7,DEN_ATL,kasia521:1:62f103,1,USA-states,lines,blue
scattergeo,text,kasia521:1:b9f1fe,DEN_AUS,kasia521:1:5308c5,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:f7f739,DEN_BDL,kasia521:1:ce174a,1,USA-states,lines,blue
scattergeo,text,kasia521:1:12f67c,DEN_BFF,kasia521:1:a85d83,1,USA-states,lines,
scattergeo,text,kasia521:1:85ba0b,DEN_BFL,kasia521:1:d4892d,1,USA-states,lines,magenta
scattergeo,text,kasia521:1:95cd39,DEN_BHM,kasia521:1:aed12b,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:61115b,DEN_BIL,kasia521:1:a99b9c,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:f61020,DEN_BIS,kasia521:1:272bf5,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:e2bdad,DEN_BNA,kasia521:1:ced783,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:742eed,DEN_BOI,kasia521:1:eec253,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:0f52f7,DEN_BOS,kasia521:1:25bfc2,1,USA-states,lines,red
scattergeo,text,kasia521:1:236d58,DEN_BUR,kasia521:1:e1024a,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:429a90,DEN_BWI,kasia521:1:155906,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:1a024d,DEN_BZN,kasia521:1:4264f6,1,USA-states,lines,blue
scattergeo,text,kasia521:1:76ad70,DEN_CAK,kasia521:1:00ca76,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:cb40fe,DEN_CDC,kasia521:1:47360c,1,USA-states,lines,red
scattergeo,text,kasia521:1:6d5dfb,DEN_CID,kasia521:1:31014e,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:4710ac,DEN_CLE,kasia521:1:285066,1,USA-states,lines,magenta
scattergeo,text,kasia521:1:5f9c44,DEN_CLT,kasia521:1:d6806a,1,USA-states,lines,blue
scattergeo,text,kasia521:1:f7d9ce,DEN_CMH,kasia521:1:71998f,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:5ce354,DEN_COD,kasia521:1:2b2bd7,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:d850bc,DEN_COS,kasia521:1:7f0327,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:95ec56,DEN_CPR,kasia521:1:37b227,1,USA-states,lines,blue
scattergeo,text,kasia521:1:d49a60,DEN_CVG,kasia521:1:efee0a,1,USA-states,lines,blue
scattergeo,text,kasia521:1:38cb3b,DEN_DAY,kasia521:1:ef26b5,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:b0fb9b,DEN_DCA,kasia521:1:6943d9,1,USA-states,lines,blue
scattergeo,text,kasia521:1:89e6a9,DEN_DFW,kasia521:1:586399,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:d36bb8,DEN_DRO,kasia521:1:1db86d,1,USA-states,lines,blue
scattergeo,text,kasia521:1:17e308,DEN_DSM,kasia521:1:5c67cb,1,USA-states,lines,red
scattergeo,text,kasia521:1:d59446,DEN_DTW,kasia521:1:714803,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:33d347,DEN_EGE,kasia521:1:abe3f8,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:5f9d34,DEN_ELP,kasia521:1:878c4e,1,USA-states,lines,blue
scattergeo,text,kasia521:1:43edfb,DEN_EUG,kasia521:1:34a5ff,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:c4bb75,DEN_EWR,kasia521:1:57480b,1,USA-states,lines,red
scattergeo,text,kasia521:1:36a997,DEN_FAR,kasia521:1:995ce7,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:736f68,DEN_FAT,kasia521:1:941338,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:cf151a,DEN_FCA,kasia521:1:50e8a2,1,USA-states,lines,magenta
scattergeo,text,kasia521:1:187c44,DEN_FLL,kasia521:1:942008,1,USA-states,lines,blue
scattergeo,text,kasia521:1:08aca2,DEN_FSD,kasia521:1:65fd9a,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:2975aa,DEN_FWA,kasia521:1:7f8694,1,USA-states,lines,
scattergeo,text,kasia521:1:c5fbbd,DEN_GEG,kasia521:1:64569f,1,USA-states,lines,red
scattergeo,text,kasia521:1:2b821a,DEN_GJT,kasia521:1:607a1a,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:764bb1,DEN_GRR,kasia521:1:73c7a5,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:9f1a3b,DEN_GTF,kasia521:1:395be2,1,USA-states,lines,red
scattergeo,text,kasia521:1:1f0f2b,DEN_GUC,kasia521:1:04d3fa,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:f3593a,DEN_HDN,kasia521:1:01b427,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:2c3bb1,DEN_HLN,kasia521:1:62baf0,1,USA-states,lines,
scattergeo,text,kasia521:1:80db73,DEN_HNL,kasia521:1:991158,1,USA-states,lines,blue
scattergeo,text,kasia521:1:f7ff9e,DEN_HOU,kasia521:1:1ebb7b,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:b72eed,DEN_HSV,kasia521:1:4778f4,1,USA-states,lines,magenta
scattergeo,text,kasia521:1:afcc92,DEN_IAD,kasia521:1:c2be93,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:aacaf3,DEN_IAH,kasia521:1:a27092,1,USA-states,lines,blue
scattergeo,text,kasia521:1:748f37,DEN_ICT,kasia521:1:d1ba73,1,USA-states,lines,red
scattergeo,text,kasia521:1:a79a46,DEN_IDA,kasia521:1:0c66f7,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:90ed5c,DEN_IND,kasia521:1:b2bed9,1,USA-states,lines,blue
scattergeo,text,kasia521:1:d80dc8,DEN_JAC,kasia521:1:f6ce8f,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:bfc2bd,DEN_JAX,kasia521:1:df6ee5,1,USA-states,lines,red
scattergeo,text,kasia521:1:9144b3,DEN_JFK,kasia521:1:b63415,1,USA-states,lines,red
scattergeo,text,kasia521:1:9e40cd,DEN_KOA,kasia521:1:530659,1,USA-states,lines,red
scattergeo,text,kasia521:1:096501,DEN_LAS,kasia521:1:1afec3,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:beeedb,DEN_LAX,kasia521:1:493ee8,1,USA-states,lines,red
scattergeo,text,kasia521:1:ba8e58,DEN_LGA,kasia521:1:3d4261,1,USA-states,lines,red
scattergeo,text,kasia521:1:46db14,DEN_LIH,kasia521:1:40279a,1,USA-states,lines,red
scattergeo,text,kasia521:1:fdda7d,DEN_LIT,kasia521:1:865595,1,USA-states,lines,
scattergeo,text,kasia521:1:5d2191,DEN_LNK,kasia521:1:70e6bc,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:69124e,DEN_MCI,kasia521:1:0fd763,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:421e9c,DEN_MCO,kasia521:1:3dba5c,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:f17b9e,DEN_MDW,kasia521:1:13ca39,1,USA-states,lines,blue
scattergeo,text,kasia521:1:cf8670,DEN_MEM,kasia521:1:fa5f94,1,USA-states,lines,blue
scattergeo,text,kasia521:1:423db5,DEN_MFR,kasia521:1:578664,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:3e79a8,DEN_MIA,kasia521:1:bb9c9b,1,USA-states,lines,red
scattergeo,text,kasia521:1:e4f006,DEN_MKE,kasia521:1:87b067,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:34782e,DEN_MLI,kasia521:1:266eb4,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:a0254b,DEN_MRY,kasia521:1:65393e,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:fb90e6,DEN_MSN,kasia521:1:c7f00a,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:cb6383,DEN_MSO,kasia521:1:b10441,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:7f1b6e,DEN_MSP,kasia521:1:048ed4,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:58e522,DEN_MSY,kasia521:1:e1cbcc,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:459f3a,DEN_MTJ,kasia521:1:a68ce7,1,USA-states,lines,blue
scattergeo,text,kasia521:1:7d984e,DEN_OAK,kasia521:1:9290d6,1,USA-states,lines,yellow
scattergeo,text,kasia521:1:704e25,DEN_OGG,kasia521:1:3a6765,1,USA-states,lines,red
