ysrc,line.width,visible,xsrc,name,line.color
maxk:5:60e470,6,False,maxk:5:a1bf8d,𝜈 = 0.0,00CED1
maxk:5:00b8f0,6,False,maxk:5:a1bf8d,𝜈 = 0.1,00CED1
maxk:5:835b7d,6,False,maxk:5:a1bf8d,𝜈 = 0.2,00CED1
maxk:5:53c178,6,False,maxk:5:a1bf8d,𝜈 = 0.3,00CED1
maxk:5:fe2eee,6,False,maxk:5:a1bf8d,𝜈 = 0.4,00CED1
maxk:5:3c8926,6,False,maxk:5:a1bf8d,𝜈 = 0.5,00CED1
maxk:5:214b4c,6,False,maxk:5:a1bf8d,𝜈 = 0.6,00CED1
maxk:5:d07ad3,6,False,maxk:5:a1bf8d,𝜈 = 0.7,00CED1
maxk:5:41ba06,6,False,maxk:5:a1bf8d,𝜈 = 0.8,00CED1
maxk:5:662fc2,6,False,maxk:5:a1bf8d,𝜈 = 0.9,00CED1
maxk:5:6bbc44,6,True,maxk:5:a1bf8d,𝜈 = 1.0,00CED1
maxk:5:374497,6,False,maxk:5:a1bf8d,𝜈 = 1.1,00CED1
maxk:5:890a78,6,False,maxk:5:a1bf8d,𝜈 = 1.2,00CED1
maxk:5:e60b44,6,False,maxk:5:a1bf8d,𝜈 = 1.3,00CED1
maxk:5:2d1c79,6,False,maxk:5:a1bf8d,𝜈 = 1.4,00CED1
maxk:5:b2acc0,6,False,maxk:5:a1bf8d,𝜈 = 1.5,00CED1
maxk:5:d27442,6,False,maxk:5:a1bf8d,𝜈 = 1.6,00CED1
maxk:5:e34698,6,False,maxk:5:a1bf8d,𝜈 = 1.7,00CED1
maxk:5:462e00,6,False,maxk:5:a1bf8d,𝜈 = 1.8,00CED1
maxk:5:728b49,6,False,maxk:5:a1bf8d,𝜈 = 1.9,00CED1
maxk:5:bd5b45,6,False,maxk:5:a1bf8d,𝜈 = 2.0,00CED1
maxk:5:a36cb3,6,False,maxk:5:a1bf8d,𝜈 = 2.1,00CED1
maxk:5:d32691,6,False,maxk:5:a1bf8d,𝜈 = 2.2,00CED1
maxk:5:8caf7b,6,False,maxk:5:a1bf8d,𝜈 = 2.3,00CED1
maxk:5:6b70c7,6,False,maxk:5:a1bf8d,𝜈 = 2.4,00CED1
maxk:5:31dded,6,False,maxk:5:a1bf8d,𝜈 = 2.5,00CED1
maxk:5:561e5a,6,False,maxk:5:a1bf8d,𝜈 = 2.6,00CED1
maxk:5:fb4014,6,False,maxk:5:a1bf8d,𝜈 = 2.7,00CED1
maxk:5:298192,6,False,maxk:5:a1bf8d,𝜈 = 2.8,00CED1
maxk:5:8e0d66,6,False,maxk:5:a1bf8d,𝜈 = 2.9,00CED1
maxk:5:dcdcb7,6,False,maxk:5:a1bf8d,𝜈 = 3.0,00CED1
maxk:5:ed1b26,6,False,maxk:5:a1bf8d,𝜈 = 3.1,00CED1
maxk:5:43c944,6,False,maxk:5:a1bf8d,𝜈 = 3.2,00CED1
maxk:5:f91daa,6,False,maxk:5:a1bf8d,𝜈 = 3.3,00CED1
maxk:5:0f9015,6,False,maxk:5:a1bf8d,𝜈 = 3.4,00CED1
maxk:5:c66b83,6,False,maxk:5:a1bf8d,𝜈 = 3.5,00CED1
maxk:5:c2b7ab,6,False,maxk:5:a1bf8d,𝜈 = 3.6,00CED1
maxk:5:1b5a9f,6,False,maxk:5:a1bf8d,𝜈 = 3.7,00CED1
maxk:5:50de52,6,False,maxk:5:a1bf8d,𝜈 = 3.8,00CED1
maxk:5:febc16,6,False,maxk:5:a1bf8d,𝜈 = 3.9,00CED1
maxk:5:cdfb79,6,False,maxk:5:a1bf8d,𝜈 = 4.0,00CED1
maxk:5:2b95a2,6,False,maxk:5:a1bf8d,𝜈 = 4.1,00CED1
maxk:5:0deff8,6,False,maxk:5:a1bf8d,𝜈 = 4.2,00CED1
maxk:5:633961,6,False,maxk:5:a1bf8d,𝜈 = 4.3,00CED1
maxk:5:c19979,6,False,maxk:5:a1bf8d,𝜈 = 4.4,00CED1
maxk:5:eda62a,6,False,maxk:5:a1bf8d,𝜈 = 4.5,00CED1
maxk:5:cac2e9,6,False,maxk:5:a1bf8d,𝜈 = 4.6,00CED1
maxk:5:311688,6,False,maxk:5:a1bf8d,𝜈 = 4.7,00CED1
maxk:5:2ea647,6,False,maxk:5:a1bf8d,𝜈 = 4.8,00CED1
maxk:5:96cac0,6,False,maxk:5:a1bf8d,𝜈 = 4.9,00CED1
