type,ysrc,mode,xsrc,name
scatter,qton:72:10e9ca,lines,qton:72:91511d,audit-ngm_staging
scatter,qton:72:a704b4,lines,qton:72:aa6e6e,capita-ngm_staging
scatter,qton:72:1800bb,lines,qton:72:f91fb2,ch4-ngm_staging
scatter,qton:72:e0a594,lines,qton:72:5d1c02,ch4_staging
scatter,qton:72:53b39d,lines,qton:72:5613db,demo_staging
scatter,qton:72:335ab9,lines,qton:72:bf8768,dna_staging
scatter,qton:72:0174bd,lines,qton:72:77610a,fsm_staging
scatter,qton:72:c3b14c,lines,qton:72:bd4a3a,g4s-ngm_staging
scatter,qton:72:0ad1b9,lines,qton:72:9237ee,gasworks_staging
scatter,qton:72:e75fd9,lines,qton:72:365867,gbenergy_staging
scatter,qton:72:10ac08,lines,qton:72:7a5e1c,lobstergoat_staging
scatter,qton:72:ec9e1c,lines,qton:72:0d0a27,magnum_staging
scatter,qton:72:8a61c6,lines,qton:72:b0fb4a,ndsmetering_staging
scatter,qton:72:e8dde3,lines,qton:72:b30363,ngg-ngm_staging
scatter,qton:72:c745d4,lines,qton:72:7f6627,optimum_staging
scatter,qton:72:da724c,lines,qton:72:4f51b8,orion_staging
scatter,qton:72:e716f3,lines,qton:72:3cca9d,ovo_staging
scatter,qton:72:3e57e8,lines,qton:72:f043a9,penspen-ngm_staging
scatter,qton:72:6e3240,lines,qton:72:24fa0c,pndaly_staging
scatter,qton:72:25c40e,lines,qton:72:ca4fc8,providorgroup_staging
scatter,qton:72:52005f,lines,qton:72:c776b3,ic-ngm_staging
scatter,qton:72:f261fd,lines,qton:72:38372c,rapid_staging
scatter,qton:72:fa8c13,lines,qton:72:ca1249,sgn-ngm_staging
scatter,qton:72:30973f,lines,qton:72:41687d,sgn_staging
scatter,qton:72:3bde8b,lines,qton:72:d934f0,sgsm_staging
scatter,qton:72:0b4422,lines,qton:72:46aa40,smartmetering_staging
scatter,qton:72:50bc5e,lines,qton:72:946052,smservices_staging
scatter,qton:72:e2caf9,lines,qton:72:fb1232,sp-ovo_staging
scatter,qton:72:f3c144,lines,qton:72:d5e8be,ukpn_staging
scatter,qton:72:72c0ac,lines,qton:72:49db73,utilita_staging
scatter,qton:72:7fc101,lines,qton:72:8638d3,w2w_staging
scatter,qton:72:5a7af8,lines,qton:72:4370cb,wolseley_staging
scatter,qton:72:5bd33e,lines,qton:72:c2b735,wwu-ngm_staging
