type,hoverinfo,latsrc,opacity,lonsrc,marker.size,marker.color,marker.line.width,textsrc,marker.line.color,line.width,mode,line.color
scattergeo,none,sunnymeal:1:f104be,1,sunnymeal:1:22e73b,,,,,,10.0,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:fad484,1,sunnymeal:1:4f0dc6,,,,,,4.0450612783,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:5a5955,1,sunnymeal:1:795b85,,,,,,3.8570396172,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:600f79,1,sunnymeal:1:fce96c,,,,,,3.8001806166,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:039605,1,sunnymeal:1:72803c,,,,,,2.7593721545,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:ad781d,1,sunnymeal:1:79f830,,,,,,2.6824617231,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:e52620,1,sunnymeal:1:5c7fb3,,,,,,2.3108078536,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:32f472,1,sunnymeal:1:ae20c3,,,,,,2.144532772,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:f573d8,1,sunnymeal:1:e4ebc6,,,,,,2.1349212364,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:763de2,1,sunnymeal:1:62beb7,,,,,,2.0622625538,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:2f0474,1,sunnymeal:1:dc1977,,,,,,1.6074236409,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:28280c,1,sunnymeal:1:3c81d9,,,,,,1.5532760242,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:416289,1,sunnymeal:1:849f50,,,,,,1.4215113083,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:f4e762,1,sunnymeal:1:07f3a5,,,,,,1.3365820124,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:166bf8,1,sunnymeal:1:14afd6,,,,,,1.3352124433,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:513fbe,1,sunnymeal:1:588fe4,,,,,,1.1284640864,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:d82dff,1,sunnymeal:1:a94b50,,,,,,1.1115819857,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:a0e55a,1,sunnymeal:1:6cc3ba,,,,,,1.0978478657,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:523561,1,sunnymeal:1:948b8d,,,,,,1.0958185977,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:edc100,1,sunnymeal:1:93e79c,,,,,,1.0849933443,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:07c6d2,1,sunnymeal:1:5f04a6,,,,,,1.07563907,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:b73150,1,sunnymeal:1:3585c2,,,,,,1.0463433146,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:58973c,1,sunnymeal:1:f564cb,,,,,,1.0448360413,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:602fc4,1,sunnymeal:1:7efc91,,,,,,1.0146863068,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:32f5cd,1,sunnymeal:1:4d37db,,,,,,0.9993168167,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:bf7e68,1,sunnymeal:1:7305a5,,,,,,0.9989229188,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:95068b,1,sunnymeal:1:ee135f,,,,,,0.9799805933,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:5decfb,1,sunnymeal:1:d828e0,,,,,,0.9575049291,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:3e7923,1,sunnymeal:1:597df3,,,,,,0.9549195071,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:44c59e,1,sunnymeal:1:55e0a8,,,,,,0.9450645875,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:843763,1,sunnymeal:1:1047f0,,,,,,0.9031939888,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:85aeb6,1,sunnymeal:1:f7a83c,,,,,,0.8901217027,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:c806dd,1,sunnymeal:1:3e7110,,,,,,0.8834233036,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:107fb0,1,sunnymeal:1:4d4c28,,,,,,0.8543922817,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:0ffd15,1,sunnymeal:1:dd8444,,,,,,0.8135528629,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:32f5cd,1,sunnymeal:1:afa54d,,,,,,0.8018245265,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:057d49,1,sunnymeal:1:26b7aa,,,,,,0.796906674,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:6e51f8,1,sunnymeal:1:5e6291,,,,,,0.7745665789,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:7a8171,1,sunnymeal:1:cd89e2,,,,,,0.7581936633,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:715e5d,1,sunnymeal:1:7d559c,,,,,,0.7545909386,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:a6932d,1,sunnymeal:1:f075a7,,,,,,0.7322262917,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:b85fa9,1,sunnymeal:1:dde9c9,,,,,,0.6929678018,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:4164ea,1,sunnymeal:1:028423,,,,,,0.6816952767,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:e6bb2c,1,sunnymeal:1:84453f,,,,,,0.6797151125,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:6298ff,1,sunnymeal:1:696a82,,,,,,0.6717517568,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:24c183,1,sunnymeal:1:006b75,,,,,,0.6714123001,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:a65f8a,1,sunnymeal:1:6772a6,,,,,,0.659425635,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:e59377,1,sunnymeal:1:f57e85,,,,,,0.6476610044,lines+markers,"rgb(231, 123, 118)"
scattergeo,none,sunnymeal:1:28280c,1,sunnymeal:1:8d109e,,,,,,0.6146995434,lines+markers,"rgb(231, 123, 118)"
