marker.size,hoverinfo,marker.color,ysrc,showlegend,xsrc,name
,,white,thedgcgroup:2467:cfa2d4,,thedgcgroup:2467:aa5d5e,
,,white,thedgcgroup:2467:cfa2d4,,thedgcgroup:2467:620e22,
,,white,thedgcgroup:2467:cfa2d4,,thedgcgroup:2467:641cd0,
,,white,thedgcgroup:2467:e549e6,,thedgcgroup:2467:ac191d,
,,white,thedgcgroup:2467:e549e6,,thedgcgroup:2467:78a3ca,
,,white,thedgcgroup:2467:e549e6,,thedgcgroup:2467:99e26c,
,,white,thedgcgroup:2467:e549e6,,thedgcgroup:2467:e48ba9,
,,white,thedgcgroup:2467:e549e6,,thedgcgroup:2467:00a19f,
,,white,thedgcgroup:2467:e549e6,,thedgcgroup:2467:3a4ae0,
,,white,thedgcgroup:2467:e549e6,,thedgcgroup:2467:d30061,
,,white,thedgcgroup:2467:e549e6,,thedgcgroup:2467:f2a52e,
1,none,"rgb(128, 128, 128)",thedgcgroup:2467:e549e6,True,thedgcgroup:2467:f2a52e,Post Season 
1,none,"rgb(0, 128, 128)",thedgcgroup:2467:cfa2d4,True,thedgcgroup:2467:f2a52e,Run ARC Scores
