vis_fid,locationmode,marker.reversescale,marker.cmin,hole,textposition,lowsrc,legendgroup,marker.line.width,stream.head,header.font.family,marker.colorsrc,colorbar.title,showscale,mode,marker.sizemode,stream.token,cauto,xbins.start,fill,zmin,textsrc,zmax,decreasing.line.color,transforms.type,cmin,line.dash,stream.maxpoints,cmax,increasing.line.color,cells.font.colorsrc,fillcolor,cells.font.family,xbins.end,header.line.width,cells.line.width,marker.line.color,line.fillcolor,widthsrc,error_y.arraysrc,valuessrc,orientation,hovertext,colorbar.x,marker.colorbar.xanchor,transforms.operation,zsmooth,connectgaps,highsrc,header.font.size,marker.colorbar.title,marker.color,marker.symbolsrc,line.color,header.fill.colorsrc,pointpos,cells.fill.colorsrc,marker.size,text,marker.fillcolor,marker.sizesrc,marker.cauto,autobiny,rsrc,cells.height,xbins.size,histnorm,jitter,marker.symbol,transforms.filterId,header.valuessrc,header.align,visible,header.font.colorsrc,columnwidthsrc,colorscale,cells.align,hoverinfo,boxpoints,line.shape,marker.autocolorscale,marker.colorbar.y,ytype,xtype,labelssrc,zsrc,header.line.color,transforms.enabled,lonsrc,opacity,name,uid,yaxis,boxmean,marker.colorscale,marker.showscale,marker.sizeref,cells.valuessrc,line.width,cells.font.size,surfaceaxis,cells.line.color,stream.fid,error_y.arrayminussrc,opensrc,marker.colorbar.yanchor,error_y.type,closesrc,marker.colorbar.x,marker.colorbar.lenmode,latsrc,error_y.symmetric,xaxis,marker.cmax,marker.colorbar.len,tsrc,showlegend,transforms.targetsrc,autobinx,header.height,type,marker.opacity,xsrc,ysrc,width,colorbar.y,marker.sizemin
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83~99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:dfb1fd,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215以下,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:b742e6,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220~247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:2f1bc3,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557~597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:e9da3a,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860~990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:18cc39,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,國小以下,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:dd7d63,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:871583,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600~677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:ac670d,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,優級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:67bbd2,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100~170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:eecb91,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173~217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:73aaf0,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220~465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:5fd10b,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5以下,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:3151a5,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33~60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:0bbaa0,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403以下,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:329805,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407~497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:7f16b6,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470~725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:cb01a3,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4~5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:2e1783,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500~553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:0a6fee,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6~7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:00688f,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730~855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:2129f4,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中高級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:7369b5,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,初級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:fb6382,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,國中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:e46f94,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大學,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:7fb31e,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,研究所以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:52a8e0,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:dbe0a3,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高級,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:eecb91,,,
ALvinYu:499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61~82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box,,,ALvinYu:500:d1930a,,,
